SRC_middle Query: Medium,Depth,# Hops,BBoxes,Data Size
"[20, 17, 26, 23]",4,4,"[20, 16, 28, 24]",64
"[19, 21, 25, 27]",2,2,"[16, 16, 32, 32]",256
"[2, 0, 8, 6]",4,4,"[0, 0, 8, 8]",64
"[3, 20, 9, 26]",2,2,"[0, 16, 16, 32]",256
"[6, 19, 12, 25]",3,3,"[4, 16, 12, 32]",128
"[26, 18, 32, 24]",4,4,"[24, 16, 32, 24]",64
"[3, 12, 9, 18]",2,2,"[0, 8, 16, 24]",256
"[2, 11, 8, 17]",3,3,"[0, 8, 8, 24]",128
"[26, 3, 32, 9]",3,3,"[24, 0, 32, 16]",128
"[1, 19, 7, 25]",3,3,"[0, 16, 8, 32]",128
"[0, 6, 6, 12]",4,4,"[0, 4, 8, 12]",64
"[5, 22, 11, 28]",4,4,"[4, 20, 12, 28]",64
"[3, 15, 9, 21]",2,2,"[0, 8, 16, 24]",256
"[6, 23, 12, 29]",3,3,"[4, 16, 12, 32]",128
"[25, 1, 31, 7]",4,4,"[24, 0, 32, 8]",64
"[21, 0, 27, 6]",4,4,"[20, 0, 28, 8]",64
"[17, 13, 23, 19]",4,4,"[16, 12, 24, 20]",64
"[19, 3, 25, 9]",2,2,"[16, 0, 32, 16]",256
"[26, 8, 32, 14]",4,4,"[24, 8, 32, 16]",64
"[2, 7, 8, 13]",3,3,"[0, 0, 8, 16]",128
"[2, 20, 8, 26]",4,4,"[0, 20, 8, 28]",64
"[9, 11, 15, 17]",3,3,"[8, 8, 16, 24]",128
"[13, 5, 19, 11]",4,4,"[12, 4, 20, 12]",64
"[1, 16, 7, 22]",4,4,"[0, 16, 8, 24]",64
"[14, 1, 20, 7]",4,4,"[12, 0, 20, 8]",64
"[19, 3, 25, 9]",2,2,"[16, 0, 32, 16]",256
"[22, 12, 28, 18]",4,4,"[20, 12, 28, 20]",64
"[6, 8, 12, 14]",4,4,"[4, 8, 12, 16]",64
"[11, 23, 17, 29]",2,2,"[8, 16, 24, 32]",256
"[15, 26, 21, 32]",2,2,"[8, 16, 24, 32]",256
