SRC_middle Query: Medium,Depth,# Hops,BBoxes,Data Size
"[21, 8, 27, 14]",4,4,"[20, 8, 28, 16]",64
"[13, 11, 19, 17]",3,3,"[12, 8, 20, 24]",128
"[21, 12, 27, 18]",4,4,"[20, 12, 28, 20]",64
"[8, 23, 14, 29]",3,3,"[8, 16, 16, 32]",128
"[2, 24, 8, 30]",4,4,"[0, 24, 8, 32]",64
"[5, 18, 11, 24]",4,4,"[4, 16, 12, 24]",64
"[7, 23, 13, 29]",2,2,"[0, 16, 16, 32]",256
"[6, 1, 12, 7]",4,4,"[4, 0, 12, 8]",64
"[24, 1, 30, 7]",4,4,"[24, 0, 32, 8]",64
"[16, 25, 22, 31]",4,4,"[16, 24, 24, 32]",64
"[2, 22, 8, 28]",4,4,"[0, 20, 8, 28]",64
"[14, 7, 20, 13]",3,3,"[12, 0, 20, 16]",128
"[14, 22, 20, 28]",4,4,"[12, 20, 20, 28]",64
"[24, 24, 30, 30]",4,4,"[24, 24, 32, 32]",64
"[21, 4, 27, 10]",4,4,"[20, 4, 28, 12]",64
"[19, 20, 25, 26]",2,2,"[16, 16, 32, 32]",256
"[16, 9, 22, 15]",4,4,"[16, 8, 24, 16]",64
"[0, 19, 6, 25]",3,3,"[0, 16, 8, 32]",128
"[4, 11, 10, 17]",3,3,"[4, 8, 12, 24]",128
"[21, 11, 27, 17]",3,3,"[20, 8, 28, 24]",128
"[11, 26, 17, 32]",2,2,"[8, 16, 24, 32]",256
"[9, 16, 15, 22]",4,4,"[8, 16, 16, 24]",64
"[20, 22, 26, 28]",4,4,"[20, 20, 28, 28]",64
"[8, 4, 14, 10]",4,4,"[8, 4, 16, 12]",64
"[0, 15, 6, 21]",3,3,"[0, 8, 8, 24]",128
"[25, 23, 31, 29]",3,3,"[24, 16, 32, 32]",128
"[26, 6, 32, 12]",4,4,"[24, 4, 32, 12]",64
"[19, 12, 25, 18]",2,2,"[16, 8, 32, 24]",256
"[10, 15, 16, 21]",3,3,"[8, 8, 16, 24]",128
"[9, 14, 15, 20]",4,4,"[8, 12, 16, 20]",64
"[4, 15, 10, 21]",3,3,"[4, 8, 12, 24]",128
"[26, 9, 32, 15]",4,4,"[24, 8, 32, 16]",64
"[25, 22, 31, 28]",4,4,"[24, 20, 32, 28]",64
"[10, 11, 16, 17]",3,3,"[8, 8, 16, 24]",128
"[20, 19, 26, 25]",3,3,"[20, 16, 28, 32]",128
"[12, 12, 18, 18]",4,4,"[12, 12, 20, 20]",64
"[18, 12, 24, 18]",4,4,"[16, 12, 24, 20]",64
"[22, 16, 28, 22]",4,4,"[20, 16, 28, 24]",64
"[9, 21, 15, 27]",4,4,"[8, 20, 16, 28]",64
"[26, 24, 32, 30]",4,4,"[24, 24, 32, 32]",64
"[18, 26, 24, 32]",4,4,"[16, 24, 24, 32]",64
"[7, 6, 13, 12]",2,2,"[0, 0, 16, 16]",256
"[13, 6, 19, 12]",4,4,"[12, 4, 20, 12]",64
"[8, 16, 14, 22]",4,4,"[8, 16, 16, 24]",64
"[5, 16, 11, 22]",4,4,"[4, 16, 12, 24]",64
"[4, 25, 10, 31]",4,4,"[4, 24, 12, 32]",64
"[19, 16, 25, 22]",2,2,"[16, 8, 32, 24]",256
"[24, 17, 30, 23]",4,4,"[24, 16, 32, 24]",64
"[24, 16, 30, 22]",4,4,"[24, 16, 32, 24]",64
"[26, 26, 32, 32]",4,4,"[24, 24, 32, 32]",64
"[20, 15, 26, 21]",3,3,"[20, 8, 28, 24]",128
"[10, 8, 16, 14]",4,4,"[8, 8, 16, 16]",64
"[13, 9, 19, 15]",4,4,"[12, 8, 20, 16]",64
"[14, 20, 20, 26]",4,4,"[12, 20, 20, 28]",64
"[16, 1, 22, 7]",4,4,"[16, 0, 24, 8]",64
"[25, 23, 31, 29]",3,3,"[24, 16, 32, 32]",128
"[6, 8, 12, 14]",4,4,"[4, 8, 12, 16]",64
"[14, 22, 20, 28]",4,4,"[12, 20, 20, 28]",64
"[2, 0, 8, 6]",4,4,"[0, 0, 8, 8]",64
"[6, 19, 12, 25]",3,3,"[4, 16, 12, 32]",128
"[3, 8, 9, 14]",2,2,"[0, 8, 16, 24]",256
"[25, 0, 31, 6]",4,4,"[24, 0, 32, 8]",64
"[26, 6, 32, 12]",4,4,"[24, 4, 32, 12]",64
"[5, 19, 11, 25]",3,3,"[4, 16, 12, 32]",128
"[5, 21, 11, 27]",4,4,"[4, 20, 12, 28]",64
"[11, 19, 17, 25]",2,2,"[8, 16, 24, 32]",256
"[25, 8, 31, 14]",4,4,"[24, 8, 32, 16]",64
"[0, 21, 6, 27]",4,4,"[0, 20, 8, 28]",64
"[21, 0, 27, 6]",4,4,"[20, 0, 28, 8]",64
"[0, 19, 6, 25]",3,3,"[0, 16, 8, 32]",128
"[5, 26, 11, 32]",4,4,"[4, 24, 12, 32]",64
"[9, 26, 15, 32]",4,4,"[8, 24, 16, 32]",64
"[7, 12, 13, 18]",2,2,"[0, 8, 16, 24]",256
"[26, 15, 32, 21]",3,3,"[24, 8, 32, 24]",128
"[23, 11, 29, 17]",2,2,"[16, 8, 32, 24]",256
"[11, 2, 17, 8]",2,2,"[8, 0, 24, 16]",256
"[18, 13, 24, 19]",4,4,"[16, 12, 24, 20]",64
"[25, 3, 31, 9]",3,3,"[24, 0, 32, 16]",128
"[22, 0, 28, 6]",4,4,"[20, 0, 28, 8]",64
"[24, 5, 30, 11]",4,4,"[24, 4, 32, 12]",64
"[0, 19, 6, 25]",3,3,"[0, 16, 8, 32]",128
"[17, 8, 23, 14]",4,4,"[16, 8, 24, 16]",64
"[11, 23, 17, 29]",2,2,"[8, 16, 24, 32]",256
"[6, 12, 12, 18]",4,4,"[4, 12, 12, 20]",64
"[6, 10, 12, 16]",4,4,"[4, 8, 12, 16]",64
"[5, 25, 11, 31]",4,4,"[4, 24, 12, 32]",64
"[5, 15, 11, 21]",3,3,"[4, 8, 12, 24]",128
"[21, 4, 27, 10]",4,4,"[20, 4, 28, 12]",64
"[19, 18, 25, 24]",2,2,"[16, 8, 32, 24]",256
"[16, 13, 22, 19]",4,4,"[16, 12, 24, 20]",64
"[18, 20, 24, 26]",4,4,"[16, 20, 24, 28]",64
"[7, 0, 13, 6]",2,2,"[0, 0, 16, 16]",256
"[1, 13, 7, 19]",4,4,"[0, 12, 8, 20]",64
"[19, 1, 25, 7]",2,2,"[16, 0, 32, 16]",256
"[20, 20, 26, 26]",4,4,"[20, 20, 28, 28]",64
"[20, 4, 26, 10]",4,4,"[20, 4, 28, 12]",64
"[16, 2, 22, 8]",4,4,"[16, 0, 24, 8]",64
"[13, 9, 19, 15]",4,4,"[12, 8, 20, 16]",64
"[10, 20, 16, 26]",4,4,"[8, 20, 16, 28]",64
"[20, 26, 26, 32]",4,4,"[20, 24, 28, 32]",64
"[19, 6, 25, 12]",2,2,"[16, 0, 32, 16]",256
"[22, 1, 28, 7]",4,4,"[20, 0, 28, 8]",64
"[10, 4, 16, 10]",4,4,"[8, 4, 16, 12]",64
"[10, 21, 16, 27]",4,4,"[8, 20, 16, 28]",64
"[23, 8, 29, 14]",2,2,"[16, 8, 32, 24]",256
"[15, 15, 21, 21]",2,2,"[8, 8, 24, 24]",256
"[19, 10, 25, 16]",2,2,"[16, 8, 32, 24]",256
"[8, 20, 14, 26]",4,4,"[8, 20, 16, 28]",64
"[2, 14, 8, 20]",4,4,"[0, 12, 8, 20]",64
"[25, 24, 31, 30]",4,4,"[24, 24, 32, 32]",64
"[5, 3, 11, 9]",3,3,"[4, 0, 12, 16]",128
"[16, 8, 22, 14]",4,4,"[16, 8, 24, 16]",64
"[17, 22, 23, 28]",4,4,"[16, 20, 24, 28]",64
"[12, 19, 18, 25]",3,3,"[12, 16, 20, 32]",128
"[14, 13, 20, 19]",4,4,"[12, 12, 20, 20]",64
"[21, 5, 27, 11]",4,4,"[20, 4, 28, 12]",64
"[19, 13, 25, 19]",2,2,"[16, 8, 32, 24]",256
"[24, 4, 30, 10]",4,4,"[24, 4, 32, 12]",64
"[21, 21, 27, 27]",4,4,"[20, 20, 28, 28]",64
"[26, 24, 32, 30]",4,4,"[24, 24, 32, 32]",64
"[25, 3, 31, 9]",3,3,"[24, 0, 32, 16]",128
"[18, 24, 24, 30]",4,4,"[16, 24, 24, 32]",64
"[3, 26, 9, 32]",2,2,"[0, 16, 16, 32]",256
"[5, 23, 11, 29]",3,3,"[4, 16, 12, 32]",128
"[15, 9, 21, 15]",2,2,"[8, 8, 24, 24]",256
"[21, 23, 27, 29]",3,3,"[20, 16, 28, 32]",128
"[3, 21, 9, 27]",2,2,"[0, 16, 16, 32]",256
"[24, 13, 30, 19]",4,4,"[24, 12, 32, 20]",64
"[8, 8, 14, 14]",4,4,"[8, 8, 16, 16]",64
"[25, 3, 31, 9]",3,3,"[24, 0, 32, 16]",128
"[20, 11, 26, 17]",3,3,"[20, 8, 28, 24]",128
"[16, 26, 22, 32]",4,4,"[16, 24, 24, 32]",64
"[17, 25, 23, 31]",4,4,"[16, 24, 24, 32]",64
"[2, 0, 8, 6]",4,4,"[0, 0, 8, 8]",64
"[1, 19, 7, 25]",3,3,"[0, 16, 8, 32]",128
"[0, 24, 6, 30]",4,4,"[0, 24, 8, 32]",64
"[4, 3, 10, 9]",3,3,"[4, 0, 12, 16]",128
"[13, 12, 19, 18]",4,4,"[12, 12, 20, 20]",64
"[25, 15, 31, 21]",3,3,"[24, 8, 32, 24]",128
"[0, 10, 6, 16]",4,4,"[0, 8, 8, 16]",64
"[20, 26, 26, 32]",4,4,"[20, 24, 28, 32]",64
"[4, 2, 10, 8]",4,4,"[4, 0, 12, 8]",64
"[22, 12, 28, 18]",4,4,"[20, 12, 28, 20]",64
"[20, 18, 26, 24]",4,4,"[20, 16, 28, 24]",64
"[23, 7, 29, 13]",2,2,"[16, 0, 32, 16]",256
"[1, 6, 7, 12]",4,4,"[0, 4, 8, 12]",64
"[13, 0, 19, 6]",4,4,"[12, 0, 20, 8]",64
"[1, 19, 7, 25]",3,3,"[0, 16, 8, 32]",128
"[25, 12, 31, 18]",4,4,"[24, 12, 32, 20]",64
"[4, 17, 10, 23]",4,4,"[4, 16, 12, 24]",64
"[23, 22, 29, 28]",2,2,"[16, 16, 32, 32]",256
"[9, 13, 15, 19]",4,4,"[8, 12, 16, 20]",64
"[12, 26, 18, 32]",4,4,"[12, 24, 20, 32]",64
"[17, 1, 23, 7]",4,4,"[16, 0, 24, 8]",64
"[23, 26, 29, 32]",2,2,"[16, 16, 32, 32]",256
"[14, 17, 20, 23]",4,4,"[12, 16, 20, 24]",64
"[4, 17, 10, 23]",4,4,"[4, 16, 12, 24]",64
"[4, 20, 10, 26]",4,4,"[4, 20, 12, 28]",64
"[6, 18, 12, 24]",4,4,"[4, 16, 12, 24]",64
"[5, 26, 11, 32]",4,4,"[4, 24, 12, 32]",64
"[2, 18, 8, 24]",4,4,"[0, 16, 8, 24]",64
"[15, 9, 21, 15]",2,2,"[8, 8, 24, 24]",256
"[8, 8, 14, 14]",4,4,"[8, 8, 16, 16]",64
"[6, 12, 12, 18]",4,4,"[4, 12, 12, 20]",64
"[21, 0, 27, 6]",4,4,"[20, 0, 28, 8]",64
"[20, 1, 26, 7]",4,4,"[20, 0, 28, 8]",64
"[16, 24, 22, 30]",4,4,"[16, 24, 24, 32]",64
"[24, 2, 30, 8]",4,4,"[24, 0, 32, 8]",64
"[0, 20, 6, 26]",4,4,"[0, 20, 8, 28]",64
"[9, 4, 15, 10]",4,4,"[8, 4, 16, 12]",64
"[24, 4, 30, 10]",4,4,"[24, 4, 32, 12]",64
"[26, 24, 32, 30]",4,4,"[24, 24, 32, 32]",64
"[16, 4, 22, 10]",4,4,"[16, 4, 24, 12]",64
"[3, 10, 9, 16]",2,2,"[0, 8, 16, 24]",256
"[0, 23, 6, 29]",3,3,"[0, 16, 8, 32]",128
"[26, 10, 32, 16]",4,4,"[24, 8, 32, 16]",64
"[26, 4, 32, 10]",4,4,"[24, 4, 32, 12]",64
"[10, 18, 16, 24]",4,4,"[8, 16, 16, 24]",64
"[24, 2, 30, 8]",4,4,"[24, 0, 32, 8]",64
"[2, 11, 8, 17]",3,3,"[0, 8, 8, 24]",128
"[6, 8, 12, 14]",4,4,"[4, 8, 12, 16]",64
"[14, 10, 20, 16]",4,4,"[12, 8, 20, 16]",64
"[21, 15, 27, 21]",3,3,"[20, 8, 28, 24]",128
"[15, 17, 21, 23]",2,2,"[8, 8, 24, 24]",256
"[16, 2, 22, 8]",4,4,"[16, 0, 24, 8]",64
"[2, 10, 8, 16]",4,4,"[0, 8, 8, 16]",64
"[14, 12, 20, 18]",4,4,"[12, 12, 20, 20]",64
"[24, 12, 30, 18]",4,4,"[24, 12, 32, 20]",64
"[17, 15, 23, 21]",3,3,"[16, 8, 24, 24]",128
"[17, 13, 23, 19]",4,4,"[16, 12, 24, 20]",64
"[16, 2, 22, 8]",4,4,"[16, 0, 24, 8]",64
"[7, 4, 13, 10]",2,2,"[0, 0, 16, 16]",256
"[20, 12, 26, 18]",4,4,"[20, 12, 28, 20]",64
"[26, 16, 32, 22]",4,4,"[24, 16, 32, 24]",64
"[10, 4, 16, 10]",4,4,"[8, 4, 16, 12]",64
"[2, 4, 8, 10]",4,4,"[0, 4, 8, 12]",64
"[4, 1, 10, 7]",4,4,"[4, 0, 12, 8]",64
"[12, 20, 18, 26]",4,4,"[12, 20, 20, 28]",64
"[18, 3, 24, 9]",3,3,"[16, 0, 24, 16]",128
"[21, 2, 27, 8]",4,4,"[20, 0, 28, 8]",64
"[16, 8, 22, 14]",4,4,"[16, 8, 24, 16]",64
"[18, 9, 24, 15]",4,4,"[16, 8, 24, 16]",64
"[11, 21, 17, 27]",2,2,"[8, 16, 24, 32]",256
"[23, 15, 29, 21]",2,2,"[16, 8, 32, 24]",256
"[12, 18, 18, 24]",4,4,"[12, 16, 20, 24]",64
"[26, 10, 32, 16]",4,4,"[24, 8, 32, 16]",64
"[23, 21, 29, 27]",2,2,"[16, 16, 32, 32]",256
"[19, 14, 25, 20]",2,2,"[16, 8, 32, 24]",256
"[16, 11, 22, 17]",3,3,"[16, 8, 24, 24]",128
"[7, 24, 13, 30]",2,2,"[0, 16, 16, 32]",256
"[16, 1, 22, 7]",4,4,"[16, 0, 24, 8]",64
"[23, 12, 29, 18]",2,2,"[16, 8, 32, 24]",256
"[25, 11, 31, 17]",3,3,"[24, 8, 32, 24]",128
"[10, 25, 16, 31]",4,4,"[8, 24, 16, 32]",64
"[16, 0, 22, 6]",4,4,"[16, 0, 24, 8]",64
"[7, 18, 13, 24]",2,2,"[0, 8, 16, 24]",256
"[2, 15, 8, 21]",3,3,"[0, 8, 8, 24]",128
"[3, 11, 9, 17]",2,2,"[0, 8, 16, 24]",256
"[13, 24, 19, 30]",4,4,"[12, 24, 20, 32]",64
"[19, 7, 25, 13]",2,2,"[16, 0, 32, 16]",256
"[17, 0, 23, 6]",4,4,"[16, 0, 24, 8]",64
"[16, 16, 22, 22]",4,4,"[16, 16, 24, 24]",64
"[3, 1, 9, 7]",2,2,"[0, 0, 16, 16]",256
"[18, 11, 24, 17]",3,3,"[16, 8, 24, 24]",128
"[1, 11, 7, 17]",3,3,"[0, 8, 8, 24]",128
"[5, 10, 11, 16]",4,4,"[4, 8, 12, 16]",64
"[8, 15, 14, 21]",3,3,"[8, 8, 16, 24]",128
"[15, 24, 21, 30]",2,2,"[8, 16, 24, 32]",256
"[13, 0, 19, 6]",4,4,"[12, 0, 20, 8]",64
"[25, 20, 31, 26]",4,4,"[24, 20, 32, 28]",64
"[24, 7, 30, 13]",3,3,"[24, 0, 32, 16]",128
"[20, 20, 26, 26]",4,4,"[20, 20, 28, 28]",64
"[15, 23, 21, 29]",2,2,"[8, 16, 24, 32]",256
"[23, 11, 29, 17]",2,2,"[16, 8, 32, 24]",256
"[21, 25, 27, 31]",4,4,"[20, 24, 28, 32]",64
"[26, 25, 32, 31]",4,4,"[24, 24, 32, 32]",64
"[23, 5, 29, 11]",2,2,"[16, 0, 32, 16]",256
"[1, 24, 7, 30]",4,4,"[0, 24, 8, 32]",64
"[23, 15, 29, 21]",2,2,"[16, 8, 32, 24]",256
"[16, 21, 22, 27]",4,4,"[16, 20, 24, 28]",64
"[5, 26, 11, 32]",4,4,"[4, 24, 12, 32]",64
"[12, 22, 18, 28]",4,4,"[12, 20, 20, 28]",64
"[9, 21, 15, 27]",4,4,"[8, 20, 16, 28]",64
"[18, 15, 24, 21]",3,3,"[16, 8, 24, 24]",128
"[6, 0, 12, 6]",4,4,"[4, 0, 12, 8]",64
"[22, 14, 28, 20]",4,4,"[20, 12, 28, 20]",64
"[19, 19, 25, 25]",2,2,"[16, 16, 32, 32]",256
"[26, 21, 32, 27]",4,4,"[24, 20, 32, 28]",64
"[5, 19, 11, 25]",3,3,"[4, 16, 12, 32]",128
"[14, 10, 20, 16]",4,4,"[12, 8, 20, 16]",64
"[18, 10, 24, 16]",4,4,"[16, 8, 24, 16]",64
"[13, 18, 19, 24]",4,4,"[12, 16, 20, 24]",64
"[24, 20, 30, 26]",4,4,"[24, 20, 32, 28]",64
"[4, 16, 10, 22]",4,4,"[4, 16, 12, 24]",64
"[13, 12, 19, 18]",4,4,"[12, 12, 20, 20]",64
"[7, 11, 13, 17]",2,2,"[0, 8, 16, 24]",256
"[12, 9, 18, 15]",4,4,"[12, 8, 20, 16]",64
"[7, 6, 13, 12]",2,2,"[0, 0, 16, 16]",256
"[8, 7, 14, 13]",3,3,"[8, 0, 16, 16]",128
"[17, 18, 23, 24]",4,4,"[16, 16, 24, 24]",64
"[11, 14, 17, 20]",2,2,"[8, 8, 24, 24]",256
"[7, 19, 13, 25]",2,2,"[0, 16, 16, 32]",256
"[10, 19, 16, 25]",3,3,"[8, 16, 16, 32]",128
"[20, 4, 26, 10]",4,4,"[20, 4, 28, 12]",64
"[10, 7, 16, 13]",3,3,"[8, 0, 16, 16]",128
"[4, 24, 10, 30]",4,4,"[4, 24, 12, 32]",64
"[8, 17, 14, 23]",4,4,"[8, 16, 16, 24]",64
"[5, 17, 11, 23]",4,4,"[4, 16, 12, 24]",64
"[22, 22, 28, 28]",4,4,"[20, 20, 28, 28]",64
"[19, 3, 25, 9]",2,2,"[16, 0, 32, 16]",256
"[14, 15, 20, 21]",3,3,"[12, 8, 20, 24]",128
"[6, 22, 12, 28]",4,4,"[4, 20, 12, 28]",64
"[5, 19, 11, 25]",3,3,"[4, 16, 12, 32]",128
"[11, 19, 17, 25]",2,2,"[8, 16, 24, 32]",256
"[7, 22, 13, 28]",2,2,"[0, 16, 16, 32]",256
"[25, 2, 31, 8]",4,4,"[24, 0, 32, 8]",64
"[17, 15, 23, 21]",3,3,"[16, 8, 24, 24]",128
"[6, 9, 12, 15]",4,4,"[4, 8, 12, 16]",64
"[12, 8, 18, 14]",4,4,"[12, 8, 20, 16]",64
"[16, 6, 22, 12]",4,4,"[16, 4, 24, 12]",64
"[11, 13, 17, 19]",2,2,"[8, 8, 24, 24]",256
"[10, 23, 16, 29]",3,3,"[8, 16, 16, 32]",128
"[0, 1, 6, 7]",4,4,"[0, 0, 8, 8]",64
"[6, 6, 12, 12]",4,4,"[4, 4, 12, 12]",64
"[19, 26, 25, 32]",2,2,"[16, 16, 32, 32]",256
"[5, 17, 11, 23]",4,4,"[4, 16, 12, 24]",64
"[14, 2, 20, 8]",4,4,"[12, 0, 20, 8]",64
"[8, 16, 14, 22]",4,4,"[8, 16, 16, 24]",64
"[9, 22, 15, 28]",4,4,"[8, 20, 16, 28]",64
"[15, 13, 21, 19]",2,2,"[8, 8, 24, 24]",256
"[26, 10, 32, 16]",4,4,"[24, 8, 32, 16]",64
"[21, 23, 27, 29]",3,3,"[20, 16, 28, 32]",128
"[22, 22, 28, 28]",4,4,"[20, 20, 28, 28]",64
"[12, 1, 18, 7]",4,4,"[12, 0, 20, 8]",64
"[3, 1, 9, 7]",2,2,"[0, 0, 16, 16]",256
"[10, 5, 16, 11]",4,4,"[8, 4, 16, 12]",64
"[24, 8, 30, 14]",4,4,"[24, 8, 32, 16]",64
"[19, 23, 25, 29]",2,2,"[16, 16, 32, 32]",256
"[17, 14, 23, 20]",4,4,"[16, 12, 24, 20]",64
"[9, 17, 15, 23]",4,4,"[8, 16, 16, 24]",64
"[13, 15, 19, 21]",3,3,"[12, 8, 20, 24]",128
"[11, 7, 17, 13]",2,2,"[8, 0, 24, 16]",256
"[21, 2, 27, 8]",4,4,"[20, 0, 28, 8]",64
"[23, 2, 29, 8]",2,2,"[16, 0, 32, 16]",256
"[25, 20, 31, 26]",4,4,"[24, 20, 32, 28]",64
"[2, 16, 8, 22]",4,4,"[0, 16, 8, 24]",64
"[0, 21, 6, 27]",4,4,"[0, 20, 8, 28]",64
"[18, 16, 24, 22]",4,4,"[16, 16, 24, 24]",64
"[10, 23, 16, 29]",3,3,"[8, 16, 16, 32]",128
"[26, 19, 32, 25]",3,3,"[24, 16, 32, 32]",128
"[3, 18, 9, 24]",2,2,"[0, 8, 16, 24]",256
"[7, 0, 13, 6]",2,2,"[0, 0, 16, 16]",256
"[1, 25, 7, 31]",4,4,"[0, 24, 8, 32]",64
"[3, 26, 9, 32]",2,2,"[0, 16, 16, 32]",256
"[23, 9, 29, 15]",2,2,"[16, 8, 32, 24]",256
"[2, 26, 8, 32]",4,4,"[0, 24, 8, 32]",64
"[18, 12, 24, 18]",4,4,"[16, 12, 24, 20]",64
"[22, 4, 28, 10]",4,4,"[20, 4, 28, 12]",64
"[24, 18, 30, 24]",4,4,"[24, 16, 32, 24]",64
"[19, 16, 25, 22]",2,2,"[16, 8, 32, 24]",256
"[6, 8, 12, 14]",4,4,"[4, 8, 12, 16]",64
"[9, 5, 15, 11]",4,4,"[8, 4, 16, 12]",64
"[5, 18, 11, 24]",4,4,"[4, 16, 12, 24]",64
"[7, 4, 13, 10]",2,2,"[0, 0, 16, 16]",256
"[4, 7, 10, 13]",3,3,"[4, 0, 12, 16]",128
"[8, 15, 14, 21]",3,3,"[8, 8, 16, 24]",128
"[25, 9, 31, 15]",4,4,"[24, 8, 32, 16]",64
"[4, 23, 10, 29]",3,3,"[4, 16, 12, 32]",128
"[19, 8, 25, 14]",2,2,"[16, 8, 32, 24]",256
"[6, 2, 12, 8]",4,4,"[4, 0, 12, 8]",64
"[4, 26, 10, 32]",4,4,"[4, 24, 12, 32]",64
"[21, 13, 27, 19]",4,4,"[20, 12, 28, 20]",64
"[5, 6, 11, 12]",4,4,"[4, 4, 12, 12]",64
"[18, 0, 24, 6]",4,4,"[16, 0, 24, 8]",64
"[11, 17, 17, 23]",2,2,"[8, 8, 24, 24]",256
"[21, 15, 27, 21]",3,3,"[20, 8, 28, 24]",128
"[21, 4, 27, 10]",4,4,"[20, 4, 28, 12]",64
"[24, 26, 30, 32]",4,4,"[24, 24, 32, 32]",64
"[23, 8, 29, 14]",2,2,"[16, 8, 32, 24]",256
"[2, 23, 8, 29]",3,3,"[0, 16, 8, 32]",128
"[22, 19, 28, 25]",3,3,"[20, 16, 28, 32]",128
"[22, 8, 28, 14]",4,4,"[20, 8, 28, 16]",64
"[25, 19, 31, 25]",3,3,"[24, 16, 32, 32]",128
"[23, 7, 29, 13]",2,2,"[16, 0, 32, 16]",256
"[0, 4, 6, 10]",4,4,"[0, 4, 8, 12]",64
"[26, 6, 32, 12]",4,4,"[24, 4, 32, 12]",64
"[23, 18, 29, 24]",2,2,"[16, 8, 32, 24]",256
"[21, 0, 27, 6]",4,4,"[20, 0, 28, 8]",64
"[13, 4, 19, 10]",4,4,"[12, 4, 20, 12]",64
"[4, 15, 10, 21]",3,3,"[4, 8, 12, 24]",128
"[17, 1, 23, 7]",4,4,"[16, 0, 24, 8]",64
"[16, 10, 22, 16]",4,4,"[16, 8, 24, 16]",64
"[7, 21, 13, 27]",2,2,"[0, 16, 16, 32]",256
"[5, 14, 11, 20]",4,4,"[4, 12, 12, 20]",64
"[10, 21, 16, 27]",4,4,"[8, 20, 16, 28]",64
"[14, 7, 20, 13]",3,3,"[12, 0, 20, 16]",128
"[20, 20, 26, 26]",4,4,"[20, 20, 28, 28]",64
"[23, 8, 29, 14]",2,2,"[16, 8, 32, 24]",256
"[21, 22, 27, 28]",4,4,"[20, 20, 28, 28]",64
"[6, 3, 12, 9]",3,3,"[4, 0, 12, 16]",128
"[11, 15, 17, 21]",2,2,"[8, 8, 24, 24]",256
"[8, 11, 14, 17]",3,3,"[8, 8, 16, 24]",128
"[17, 18, 23, 24]",4,4,"[16, 16, 24, 24]",64
"[9, 6, 15, 12]",4,4,"[8, 4, 16, 12]",64
"[9, 17, 15, 23]",4,4,"[8, 16, 16, 24]",64
"[12, 2, 18, 8]",4,4,"[12, 0, 20, 8]",64
"[5, 12, 11, 18]",4,4,"[4, 12, 12, 20]",64
"[3, 18, 9, 24]",2,2,"[0, 8, 16, 24]",256
"[20, 3, 26, 9]",3,3,"[20, 0, 28, 16]",128
"[16, 4, 22, 10]",4,4,"[16, 4, 24, 12]",64
"[22, 14, 28, 20]",4,4,"[20, 12, 28, 20]",64
"[4, 13, 10, 19]",4,4,"[4, 12, 12, 20]",64
"[8, 23, 14, 29]",3,3,"[8, 16, 16, 32]",128
"[17, 6, 23, 12]",4,4,"[16, 4, 24, 12]",64
"[24, 25, 30, 31]",4,4,"[24, 24, 32, 32]",64
"[5, 23, 11, 29]",3,3,"[4, 16, 12, 32]",128
"[2, 8, 8, 14]",4,4,"[0, 8, 8, 16]",64
"[14, 10, 20, 16]",4,4,"[12, 8, 20, 16]",64
"[12, 16, 18, 22]",4,4,"[12, 16, 20, 24]",64
"[1, 11, 7, 17]",3,3,"[0, 8, 8, 24]",128
"[26, 12, 32, 18]",4,4,"[24, 12, 32, 20]",64
"[23, 23, 29, 29]",2,2,"[16, 16, 32, 32]",256
"[12, 17, 18, 23]",4,4,"[12, 16, 20, 24]",64
"[4, 24, 10, 30]",4,4,"[4, 24, 12, 32]",64
"[22, 22, 28, 28]",4,4,"[20, 20, 28, 28]",64
"[17, 18, 23, 24]",4,4,"[16, 16, 24, 24]",64
"[4, 20, 10, 26]",4,4,"[4, 20, 12, 28]",64
"[1, 9, 7, 15]",4,4,"[0, 8, 8, 16]",64
"[19, 14, 25, 20]",2,2,"[16, 8, 32, 24]",256
"[16, 24, 22, 30]",4,4,"[16, 24, 24, 32]",64
"[18, 13, 24, 19]",4,4,"[16, 12, 24, 20]",64
"[6, 14, 12, 20]",4,4,"[4, 12, 12, 20]",64
"[6, 12, 12, 18]",4,4,"[4, 12, 12, 20]",64
"[2, 3, 8, 9]",3,3,"[0, 0, 8, 16]",128
"[17, 12, 23, 18]",4,4,"[16, 12, 24, 20]",64
"[3, 16, 9, 22]",2,2,"[0, 8, 16, 24]",256
"[21, 14, 27, 20]",4,4,"[20, 12, 28, 20]",64
"[23, 20, 29, 26]",2,2,"[16, 16, 32, 32]",256
"[5, 1, 11, 7]",4,4,"[4, 0, 12, 8]",64
"[6, 7, 12, 13]",3,3,"[4, 0, 12, 16]",128
"[7, 3, 13, 9]",2,2,"[0, 0, 16, 16]",256
"[19, 12, 25, 18]",2,2,"[16, 8, 32, 24]",256
"[13, 2, 19, 8]",4,4,"[12, 0, 20, 8]",64
"[26, 17, 32, 23]",4,4,"[24, 16, 32, 24]",64
"[6, 16, 12, 22]",4,4,"[4, 16, 12, 24]",64
"[6, 6, 12, 12]",4,4,"[4, 4, 12, 12]",64
"[15, 2, 21, 8]",2,2,"[8, 0, 24, 16]",256
"[6, 3, 12, 9]",3,3,"[4, 0, 12, 16]",128
"[16, 4, 22, 10]",4,4,"[16, 4, 24, 12]",64
"[19, 6, 25, 12]",2,2,"[16, 0, 32, 16]",256
