SRC_exhaustive Query: Small,Depth,BBoxes,Data Size
"[12, 13, 13, 14]",6,"[10, 10, 12, 12]",4
"[1, 8, 2, 9]",0,"[0, 0, 16, 16]",256
"[15, 12, 16, 13]",6,"[8, 0, 10, 2]",4
"[9, 15, 10, 16]",6,"[0, 0, 2, 2]",4
"[11, 6, 12, 7]",5,"[10, 6, 12, 10]",8
"[4, 9, 5, 10]",2,"[4, 4, 12, 12]",64
"[4, 3, 5, 4]",1,"[4, 0, 12, 16]",128
"[8, 4, 9, 5]",3,"[6, 4, 10, 12]",32
"[9, 3, 10, 4]",1,"[4, 0, 12, 16]",128
"[2, 10, 3, 11]",0,"[0, 0, 16, 16]",256
"[15, 3, 16, 4]",1,"[8, 0, 16, 16]",128
"[11, 13, 12, 14]",6,"[4, 0, 6, 2]",4
"[10, 6, 11, 7]",5,"[9, 6, 11, 10]",8
"[15, 14, 16, 15]",6,"[8, 0, 10, 2]",4
"[8, 1, 9, 2]",1,"[4, 0, 12, 16]",128
"[0, 2, 1, 3]",0,"[0, 0, 16, 16]",256
"[12, 0, 13, 1]",1,"[8, 0, 16, 16]",128
"[15, 10, 16, 11]",6,"[8, 0, 10, 2]",4
"[7, 10, 8, 11]",6,"[7, 9, 9, 11]",4
"[2, 6, 3, 7]",0,"[0, 0, 16, 16]",256
"[7, 7, 8, 8]",6,"[7, 7, 9, 9]",4
"[4, 14, 5, 15]",2,"[4, 8, 12, 16]",64
"[2, 2, 3, 3]",0,"[0, 0, 16, 16]",256
"[10, 15, 11, 16]",6,"[0, 0, 2, 2]",4
"[3, 9, 4, 10]",0,"[0, 0, 16, 16]",256
"[9, 3, 10, 4]",1,"[4, 0, 12, 16]",128
"[10, 6, 11, 7]",5,"[9, 6, 11, 10]",8
"[9, 14, 10, 15]",6,"[6, 8, 8, 10]",4
"[2, 12, 3, 13]",0,"[0, 0, 16, 16]",256
"[10, 7, 11, 8]",6,"[9, 6, 11, 8]",4
"[9, 5, 10, 6]",3,"[6, 4, 10, 12]",32
"[6, 5, 7, 6]",3,"[6, 4, 10, 12]",32
"[1, 8, 2, 9]",0,"[0, 0, 16, 16]",256
"[15, 2, 16, 3]",1,"[8, 0, 16, 16]",128
"[2, 4, 3, 5]",0,"[0, 0, 16, 16]",256
"[4, 1, 5, 2]",1,"[4, 0, 12, 16]",128
"[2, 12, 3, 13]",0,"[0, 0, 16, 16]",256
"[8, 7, 9, 8]",6,"[7, 6, 9, 8]",4
"[6, 13, 7, 14]",4,"[6, 10, 10, 14]",16
"[8, 14, 9, 15]",6,"[7, 12, 9, 14]",4
"[15, 11, 16, 12]",6,"[8, 0, 10, 2]",4
"[2, 10, 3, 11]",0,"[0, 0, 16, 16]",256
"[3, 15, 4, 16]",0,"[0, 0, 16, 16]",256
"[10, 6, 11, 7]",5,"[9, 6, 11, 10]",8
"[7, 0, 8, 1]",1,"[4, 0, 12, 16]",128
"[8, 3, 9, 4]",1,"[4, 0, 12, 16]",128
"[7, 11, 8, 12]",6,"[4, 4, 6, 6]",4
"[5, 10, 6, 11]",2,"[4, 4, 12, 12]",64
"[13, 1, 14, 2]",1,"[8, 0, 16, 16]",128
"[3, 4, 4, 5]",0,"[0, 0, 16, 16]",256
"[7, 1, 8, 2]",1,"[4, 0, 12, 16]",128
"[2, 0, 3, 1]",0,"[0, 0, 16, 16]",256
"[3, 6, 4, 7]",0,"[0, 0, 16, 16]",256
"[3, 12, 4, 13]",0,"[0, 0, 16, 16]",256
