SRC_random Query: Small,Depth,BBoxes,Data Size
"[4, 13, 5, 14]",6,"[4, 12, 6, 14]",4
"[5, 7, 6, 8]",6,"[5, 6, 7, 8]",4
"[13, 3, 14, 4]",6,"[13, 3, 15, 5]",4
"[8, 7, 9, 8]",6,"[8, 6, 10, 8]",4
"[6, 9, 7, 10]",6,"[6, 9, 8, 11]",4
"[3, 11, 4, 12]",6,"[2, 10, 4, 12]",4
"[10, 7, 11, 8]",6,"[10, 6, 12, 8]",4
"[10, 11, 11, 12]",6,"[9, 10, 11, 12]",4
"[4, 6, 5, 7]",6,"[4, 6, 6, 8]",4
"[11, 4, 12, 5]",6,"[10, 4, 12, 6]",4
"[9, 0, 10, 1]",6,"[9, 0, 11, 2]",4
"[8, 4, 9, 5]",6,"[8, 4, 10, 6]",4
"[6, 1, 7, 2]",6,"[6, 1, 8, 3]",4
"[11, 5, 12, 6]",6,"[10, 4, 12, 6]",4
"[0, 15, 1, 16]",6,"[0, 14, 2, 16]",4
"[10, 2, 11, 3]",6,"[9, 2, 11, 4]",4
"[13, 4, 14, 5]",6,"[12, 4, 14, 6]",4
"[0, 13, 1, 14]",6,"[0, 12, 2, 14]",4
"[5, 0, 6, 1]",6,"[4, 0, 6, 2]",4
"[7, 0, 8, 1]",6,"[6, 0, 8, 2]",4
"[4, 1, 5, 2]",6,"[4, 1, 6, 3]",4
"[2, 11, 3, 12]",6,"[2, 10, 4, 12]",4
"[12, 10, 13, 11]",6,"[12, 10, 14, 12]",4
"[15, 1, 16, 2]",6,"[14, 1, 16, 3]",4
"[11, 15, 12, 16]",6,"[10, 14, 12, 16]",4
"[6, 10, 7, 11]",6,"[6, 9, 8, 11]",4
"[11, 5, 12, 6]",6,"[10, 5, 12, 7]",4
"[11, 9, 12, 10]",6,"[11, 8, 13, 10]",4
"[0, 4, 1, 5]",6,"[0, 4, 2, 6]",4
"[8, 6, 9, 7]",6,"[8, 5, 10, 7]",4
"[5, 3, 6, 4]",6,"[5, 2, 7, 4]",4
"[13, 8, 14, 9]",6,"[13, 8, 15, 10]",4
"[0, 4, 1, 5]",6,"[0, 4, 2, 6]",4
"[0, 11, 1, 12]",6,"[0, 10, 2, 12]",4
"[7, 8, 8, 9]",6,"[6, 8, 8, 10]",4
"[3, 6, 4, 7]",6,"[2, 6, 4, 8]",4
"[8, 13, 9, 14]",6,"[8, 13, 10, 15]",4
"[0, 8, 1, 9]",6,"[0, 8, 2, 10]",4
"[14, 11, 15, 12]",6,"[14, 10, 16, 12]",4
"[4, 1, 5, 2]",6,"[4, 0, 6, 2]",4
"[3, 15, 4, 16]",6,"[2, 14, 4, 16]",4
"[8, 13, 9, 14]",6,"[8, 12, 10, 14]",4
"[4, 4, 5, 5]",6,"[4, 4, 6, 6]",4
"[2, 2, 3, 3]",6,"[2, 2, 4, 4]",4
"[8, 14, 9, 15]",6,"[7, 13, 9, 15]",4
"[10, 2, 11, 3]",6,"[9, 2, 11, 4]",4
"[4, 15, 5, 16]",6,"[4, 14, 6, 16]",4
"[13, 11, 14, 12]",6,"[12, 10, 14, 12]",4
"[10, 0, 11, 1]",6,"[9, 0, 11, 2]",4
"[13, 1, 14, 2]",6,"[12, 0, 14, 2]",4
"[13, 1, 14, 2]",6,"[13, 1, 15, 3]",4
"[5, 0, 6, 1]",6,"[4, 0, 6, 2]",4
"[3, 3, 4, 4]",6,"[2, 2, 4, 4]",4
"[10, 14, 11, 15]",6,"[10, 14, 12, 16]",4
"[0, 3, 1, 4]",6,"[0, 2, 2, 4]",4
"[4, 9, 5, 10]",6,"[4, 8, 6, 10]",4
"[5, 5, 6, 6]",6,"[5, 4, 7, 6]",4
"[1, 7, 2, 8]",6,"[0, 6, 2, 8]",4
"[7, 5, 8, 6]",6,"[7, 4, 9, 6]",4
"[5, 0, 6, 1]",6,"[4, 0, 6, 2]",4
"[0, 1, 1, 2]",6,"[0, 0, 2, 2]",4
"[13, 13, 14, 14]",6,"[12, 13, 14, 15]",4
