BRC Query,Data Size
"[8.898587801323044, 50.77776141006209, 9.784330836844473, 51.530413594900374]",30
"[6.776085897894957, 52.78709964594571, 7.720471294191892, 53.72815353192092]",0
"[8.96052396905386, 50.692131424500026, 9.870224569178372, 51.41804376031455]",29
"[12.738238258211029, 48.48159541638918, 13.596619799331853, 49.36579211128844]",0
"[11.161006768741316, 50.39298426919015, 11.959066223519626, 51.199397522115284]",35
"[11.117928917482493, 49.29397527510777, 12.10224696311637, 50.273535191693526]",6
"[12.177850120633963, 52.12235712718819, 13.059940791176633, 52.86330353082576]",29
"[7.939878971910945, 50.9060801918705, 8.922180620872037, 51.822858741176475]",23
"[7.710780236272073, 51.295171409435525, 8.628722642084615, 52.22608178176267]",108
"[10.268373409981255, 48.197352361786805, 11.227146911381512, 48.965188407448494]",0
"[10.234461694408141, 52.336676798667284, 10.969669404506046, 53.209629349944144]",29
"[11.229108228520822, 53.68240066740024, 12.016685688566687, 54.53183390534533]",0
"[9.203063039112228, 52.746460391431675, 10.164216693101746, 53.578894171906526]",13
"[11.20379254605784, 52.150849774371174, 11.918238856912021, 53.01156061376796]",19
"[6.79127619615575, 49.23096957702701, 7.700554040577563, 50.13891959501692]",0
"[6.761900098331402, 49.077142719939374, 7.541498474175757, 49.98320211538355]",0
"[12.034352354424449, 51.43623236392481, 12.872896221187354, 52.37772828255756]",17
"[11.606684501467026, 51.37728365418982, 12.555348382227503, 52.190741191771956]",21
"[10.692679248417642, 49.842153386618484, 11.564913231425768, 50.823881783708984]",16
"[11.411658045212521, 50.02508537026181, 12.20309293496271, 50.94243484155353]",6
"[11.062375264681062, 52.17632975891215, 11.996480632107643, 52.93863742961057]",20
"[11.981283759064958, 50.25968247434225, 12.963978737425089, 51.170557843195056]",0
"[12.812793402330342, 53.25173632491341, 13.736385517443898, 54.24762804704412]",5
"[11.971839570529596, 48.661102876385385, 12.70454265537403, 49.460178986088145]",0
"[8.083943074616004, 51.978300482101524, 9.018190362736341, 52.92369723452927]",64
"[11.91907113588151, 53.7306621477892, 12.894098455870296, 54.44231203508092]",23
"[12.810402629790783, 50.50637307625165, 13.733440321418097, 51.30997078906336]",0
"[11.190176205713964, 53.61610201696883, 12.158310862404893, 54.35311135839549]",21
"[12.126097361335127, 48.555168353182594, 13.030498278447773, 49.55100071139441]",0
"[12.681659730525812, 52.17892713200783, 13.408434421728888, 53.05444502648018]",229
"[8.95774321870686, 48.57759203412858, 9.948361726519805, 49.54764944704635]",36
"[12.940615865616241, 52.76433056187624, 13.705014412858013, 53.5311837526133]",9
"[11.901417070226154, 51.44362183047462, 12.676420178426767, 52.43048434073462]",20
"[11.590425534018099, 52.44002965016539, 12.314498140374727, 53.27361957162576]",18
"[11.69257427428278, 48.80669738407978, 12.556767879969453, 49.52992611691996]",0
"[7.1580292299074655, 50.36742032177969, 7.936688719406583, 51.12572106343513]",41
"[11.14222250142852, 48.93848102467124, 11.913302101914173, 49.77923037517029]",4
"[9.791258654220186, 49.11066790122718, 10.498387253886213, 49.832450657799626]",14
"[11.13342810357673, 49.719679604009, 12.07060701806758, 50.48291247317349]",3
"[9.864177177193756, 51.88688533675018, 10.581086277306692, 52.66799081004155]",35
"[9.181939618094138, 50.366821266134096, 9.919171807646963, 51.162654606509015]",26
"[8.060739439699494, 49.273801700542734, 8.845484605478408, 50.249322953957964]",96
"[9.213710050857273, 51.37415902026963, 10.132072830967221, 52.32508565483028]",23
"[10.517293248172212, 53.265504444121596, 11.431001853749397, 54.13329514695761]",7
"[11.001438568805739, 52.181875805198516, 11.785684114711122, 53.05047162196197]",10
"[8.932752462241693, 54.02681724948564, 9.908303531061874, 54.79805556]",13
"[10.864419947108011, 53.98494951145828, 11.662953193363132, 54.738553280830224]",4
