SRC Query,Depth,BBoxes,Data Size
"[9.008774002284108, 51.06492099689067, 10.119547672420227, 52.27121820205514]",4,"[8.608055556, 50.98916667, 10.18388889, 52.30055556]",103
"[9.169521175120357, 52.8811504311637, 10.197306943351032, 54.04490249495986]",2,"[7.730555556, 50.98916667, 11.83611111, 54.79805556]",411
"[11.000783988077453, 48.29863185409171, 12.030700169011663, 49.4573038062097]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[12.245376803639058, 48.25045128283835, 13.480057558714151, 49.28204184306059]",7,"[11.64555556, 48.14444444, 13.80833333, 50.84472222]",13
"[11.983347341227704, 49.466815368144914, 13.020774501189251, 50.62630907970232]",9,"[11.79138889, 48.27916667, 13.80833333, 50.84472222]",4
"[9.057552191043168, 48.53920605105249, 10.321745532389523, 49.80952969539085]",4,"[8.686111111, 48.11722222, 11.20555556, 49.90583333]",102
"[7.526587887343749, 49.48712266418781, 8.693247603942753, 50.72627624469529]",3,"[7.015555556, 48.11722222, 8.818611111, 51.34805556]",205
"[10.902167058283322, 48.72244027705668, 12.072097453987213, 49.957774737849505]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[9.804668676494742, 51.4753775986121, 10.82435970892067, 52.730319011398315]",1,"[9.675277778, 48.11722222, 13.80833333, 54.79805556]",821
"[11.838782436037839, 51.320012516363654, 13.007248421459376, 52.55285362241101]",1,"[9.675277778, 48.11722222, 13.80833333, 54.79805556]",821
"[11.74744844701936, 50.74876179329997, 12.921966458805993, 51.853149677474484]",3,"[11.0775, 48.11722222, 13.80833333, 52.43388889]",205
"[12.347144745758445, 52.56044931828886, 13.495266732694963, 53.79225457419068]",2,"[9.675277778, 52.43388889, 13.80833333, 54.79805556]",411
"[8.945792461833323, 52.50105037569874, 10.199081871736398, 53.711412066675834]",2,"[7.730555556, 50.98916667, 11.83611111, 54.79805556]",411
"[11.045113453827078, 51.47186310065612, 12.142907203658583, 52.5311167924791]",3,"[9.675277778, 50.98138889, 13.08194444, 52.53527778]",205
"[8.987374858169812, 50.85416022583403, 10.106897511192736, 52.09357771440248]",3,"[8.7925, 49.80194444, 11.83611111, 52.20388889]",205
"[6.859402732426233, 49.448009574564495, 8.100017517633885, 50.55480574720115]",4,"[6.7375, 48.11722222, 8.401944444, 50.94805556]",102
"[12.433442188583406, 50.61425131553958, 13.531013001485018, 51.8520200258838]",3,"[11.0775, 48.11722222, 13.80833333, 52.43388889]",205
"[9.893726356984919, 49.33472004865658, 11.105589950748875, 50.46921892149727]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[8.88005797190895, 48.25208056341847, 10.07968893024388, 49.427867731027185]",5,"[8.686111111, 48.11722222, 10.15972222, 49.90583333]",51
"[7.721274823955282, 52.02280791006117, 8.932006517312065, 53.21312153689983]",4,"[7.676666667, 51.98722222, 9.675277778, 54.79805556]",103
"[8.048759268797777, 49.805727284062854, 9.09579689475994, 50.9400431106411]",2,"[6.7375, 48.11722222, 9.675277778, 51.34805556]",410
"[11.450772411762305, 53.18247978329703, 12.573470819297084, 54.43389686969473]",4,"[9.675277778, 52.68833333, 13.32694444, 54.79805556]",103
"[6.875302478120574, 53.128129222008184, 8.045907617002594, 54.306177808236285]",2,"[6.7375, 51.34805556, 9.675277778, 54.79805556]",411
"[10.75165382091006, 52.779678635287155, 11.819074480359152, 53.87174924420084]",5,"[9.675277778, 52.68833333, 12.01138889, 54.79805556]",51
"[10.379434864141746, 52.27403649921831, 11.403576532263724, 53.39395253255318]",1,"[9.675277778, 48.11722222, 13.80833333, 54.79805556]",821
"[10.687003072123087, 52.570859897256675, 11.800578092824535, 53.736112573510084]",3,"[9.675277778, 52.43388889, 13.32694444, 54.79805556]",205
"[6.826537943590107, 52.36970330064858, 8.005412006512765, 53.538543497814175]",2,"[6.7375, 51.34805556, 9.675277778, 54.79805556]",411
"[7.151081670724689, 50.79446562983087, 8.350873983200582, 51.994842842151755]",1,"[6.7375, 48.11722222, 9.675277778, 54.79805556]",821
"[8.175328306932997, 51.35823815450195, 9.321849379137326, 52.50195206074904]",3,"[7.676666667, 51.34805556, 9.675277778, 54.79805556]",206
"[11.66366025681734, 53.487754384581855, 12.799723444236484, 54.756619647484484]",4,"[9.675277778, 52.68833333, 13.32694444, 54.79805556]",103
"[8.703766144366766, 49.57409999801093, 9.788913803388754, 50.80925059337144]",3,"[8.686111111, 48.11722222, 11.20555556, 50.98916667]",205
"[9.756732400600153, 52.99553593712897, 10.91064045268455, 54.14743555754281]",5,"[9.675277778, 52.68833333, 12.01138889, 54.79805556]",51
"[11.273988430967918, 51.07337537348297, 12.391713119735297, 52.11368563648452]",4,"[11.0775, 50.84472222, 13.80833333, 52.43388889]",103
"[8.610567663301726, 48.475298260789494, 9.755894728593619, 49.552548490507185]",2,"[7.730555556, 48.11722222, 11.83611111, 50.98916667]",410
"[11.184937112304087, 48.388069409946254, 12.317263041821347, 49.51431787711946]",4,"[11.0775, 48.11722222, 13.80833333, 50.84472222]",102
"[7.993214999297278, 50.79369653884283, 9.212052672947442, 51.7995933003321]",1,"[6.7375, 48.11722222, 9.675277778, 54.79805556]",821
"[9.981603637285998, 48.46684488031805, 11.065983163356861, 49.49520280231172]",4,"[9.675277778, 48.11722222, 11.0775, 51.21472222]",102
"[10.837924888671804, 48.63393229556943, 11.890102821351773, 49.74322414238]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[8.343743774004665, 53.01048463733888, 9.558832176122351, 54.24136472471964]",4,"[7.676666667, 51.98722222, 9.675277778, 54.79805556]",103
"[8.528305006817453, 50.79299757615896, 9.596490398249433, 52.04688909162364]",1,"[6.7375, 48.11722222, 9.675277778, 54.79805556]",821
"[8.817979983267001, 51.99578349474606, 9.843646382455352, 53.174402514868845]",3,"[8.608055556, 50.98916667, 10.18388889, 54.79805556]",206
"[7.520277331050054, 51.666567342297874, 8.722528278788312, 52.80030508330353]",2,"[6.7375, 51.34805556, 9.675277778, 54.79805556]",411
"[11.742683498789052, 50.53622657195715, 12.77505818160136, 51.560586783890685]",3,"[11.0775, 48.11722222, 13.80833333, 52.43388889]",205
"[10.63246489654172, 53.1544271042477, 11.67229208783199, 54.20959749592553]",5,"[9.675277778, 52.68833333, 12.01138889, 54.79805556]",51
"[11.775330787848855, 48.814225691186415, 12.944066551204182, 50.021816114728985]",8,"[11.64555556, 48.27916667, 13.80833333, 50.84472222]",7
"[11.421682451236968, 53.46156693374347, 12.499671250557558, 54.48955010162635]",4,"[9.675277778, 52.68833333, 13.32694444, 54.79805556]",103
"[10.171889024946637, 52.46881750243654, 11.40189092155662, 53.50474304933876]",3,"[9.675277778, 52.43388889, 13.32694444, 54.79805556]",205
"[7.384169247958165, 49.254553073218666, 8.517175252523336, 50.38318119383754]",3,"[7.015555556, 48.11722222, 8.818611111, 51.34805556]",205
"[12.042623698834657, 52.92902729064332, 13.096083227835333, 53.94071686517909]",6,"[12.01138889, 52.89805556, 13.32694444, 54.08916667]",26
