,L2 Norm
0,0.05344735727797962
1,0.013660893089399348
2,0.021091283086199904
3,0.009360555539069247
4,0.011163332835672326
5,0.007360404578252202
6,0.007626992881087776
7,0.0049239212016440655
8,0.007299771685927388
9,0.011252555265360849
10,0.005542488029190433
11,0.007024401912065013
12,0.00741690855709968
13,0.0035981287653786263
14,0.010549249578366561
15,0.00644166127641002
16,0.006820278130078446
17,0.0055122982592350316
18,0.007946117015452803
19,0.010450837287031133
20,0.008828604818347515
21,0.007920065531075417
22,0.008203689980768846
23,0.009840844588866483
24,0.01083605094118702
25,0.010226077582430814
26,0.009241908187220602
27,0.00858020978764509
28,0.00774024029712986
29,0.007614168080332606
30,0.00490490421188666
31,0.006497812131787126
32,0.008444556932216811
33,0.009287074770102117
34,0.010795293759177604
35,0.009861522683116927
36,0.010923225669241822
37,0.01106863753323351
38,0.011763867276836955
39,0.010555567251455502
40,0.010061033850533566
41,0.010181618313113249
42,0.009192737627858528
43,0.008582617451223696
44,0.007920765021039236
45,0.00790622974679296
46,0.007783965713391349
47,0.010342495937742622
48,0.009735669741015366
49,0.010130153009703257
50,0.009805972726606759
51,0.008458314070964564
52,0.007005047765520467
53,0.006709326473528846
54,0.006011160419318125
55,0.004778790300347325
56,0.005798249064414917
57,0.004684127066312876
58,0.0034267573448674635
59,0.0035036488915922135
60,0.0037732356374192088
61,0.0031540107099997114
62,0.0019971496443531864
63,0.0023948349369006645
64,0.0031090438797408276
65,0.0028146246693626117
66,0.001676112093124781
67,0.0027485006922617415
68,0.0016828964040184458
69,0.0010821369636803016
70,0.002288436383891504
71,0.0012606092981051404
72,0.0012263128159393471
73,0.00029331484989469756
74,0.001621384867602059
75,0.0017198692213375537
76,0.0015098473638869877
77,0.002262959609293547
78,0.0026372718274528056
79,0.0017592612085759083
80,0.0022627922184074987
81,0.0029648164906650423
82,0.003055569435065584
83,0.0029827242566033275
84,0.0026440374914239407
85,0.001291562668458207
86,0.002022360796031423
87,0.0019346663496059187
88,0.0019854609782235778
89,0.0019907812226719374
90,0.0022961569359072
91,0.0025970682904198085
92,0.003921273775412345
93,0.0037283602275557113
94,0.003432539419993067
95,0.0026922986874086145
96,0.00236906184667526
97,0.0018473187116261481
98,0.0005087360475581749
99,0.0
