SRC_random Query: Small,Depth,BBoxes,Data Size
"[210096, 405503, 256711, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[228617, 29342, 275232, 75957]",1,"[69337, 9783, 474275, 219328]",309
"[143863, 276172, 190478, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[262883, 220419, 309498, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[419053, 167140, 465668, 213755]",1,"[69337, 9783, 474275, 219328]",309
"[257991, 195837, 304606, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[313977, 122643, 360592, 169258]",1,"[69337, 9783, 474275, 219328]",309
"[272718, 81136, 319333, 127751]",1,"[69337, 9783, 474275, 219328]",309
"[155881, 81384, 202496, 127999]",1,"[69337, 9783, 474275, 219328]",309
"[404376, 57835, 450991, 104450]",1,"[69337, 9783, 474275, 219328]",309
"[332320, 427234, 378935, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[139454, 287333, 186069, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[377830, 323687, 424445, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[85167, 170723, 131782, 217338]",1,"[69337, 9783, 474275, 219328]",309
"[59897, 390759, 106512, 219328]",1,"[42574, 9783, 114520, 219328]",308
"[46779, 366721, 93394, 219328]",1,"[42574, 9783, 114520, 219328]",308
"[181235, 255655, 227850, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[301620, 60913, 348235, 107528]",1,"[69337, 9783, 474275, 219328]",309
"[193605, 235748, 240220, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[173895, 328397, 220510, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[343883, 115322, 390498, 161937]",1,"[69337, 9783, 474275, 219328]",309
"[297798, 258207, 344413, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[240215, 281456, 286830, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[144689, 40769, 191304, 87384]",1,"[69337, 9783, 474275, 219328]",309
"[295793, 15478, 342408, 62093]",1,"[69337, 9783, 474275, 219328]",309
"[57018, 385449, 103633, 219328]",1,"[42574, 9783, 114520, 219328]",308
"[217215, 380494, 263830, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[419708, 358421, 466323, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[335936, 9783, 382551, 55331]",1,"[69337, 9783, 474275, 219328]",309
"[328927, 266893, 375542, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[182775, 135996, 229390, 182611]",1,"[69337, 9783, 474275, 219328]",309
