SRC Query,Depth,BBoxes,Data Size
"[10.29, 53.11, 10.98, 53.47]",9,"[10.08861111, 52.68833333, 11.74083333, 53.485]",3
"[9.52, 51.08, 9.77, 51.58]",5,"[9.127222222, 50.98916667, 10.18388889, 52.30055556]",52
"[10.43, 48.51, 11.23, 48.87]",6,"[10.25361111, 48.11722222, 11.45638889, 49.46722222]",25
"[7.83, 52.42, 8.24, 53.13]",11,"[7.676666667, 52.15166667, 8.6675, 54.79805556]",1
"[12.61, 48.52, 12.97, 49.34]",11,"[11.79166667, 48.35555556, 13.80833333, 50.84472222]",1
"[10.93, 52.01, 11.07, 52.23]",10,"[10.53166667, 51.21472222, 11.0775, 52.25194444]",1
"[12.52, 50.24, 13.33, 51.02]",11,"[11.79138889, 48.35666667, 13.80833333, 51.04333333]",1
"[13.13, 50.13, 13.80833333, 50.68]",11,"[11.79166667, 48.35555556, 13.80833333, 50.84472222]",1
"[6.75, 52.81, 7.08, 53.1]",11,"[6.7375, 51.67305556, 7.173611111, 54.79805556]",1
"[8.7, 52.28, 8.9, 52.78]",9,"[8.6275, 52.27583333, 8.931111111, 54.79805556]",3
"[12.35, 53.48, 12.94, 54.45]",5,"[12.01138889, 52.68833333, 13.32694444, 54.79805556]",52
"[10.27, 51.56, 10.78, 52.1]",6,"[9.983333333, 51.21472222, 11.0775, 52.36138889]",26
"[8.33, 52.74, 9.15, 53.6]",4,"[7.676666667, 51.98722222, 9.675277778, 54.79805556]",103
"[10.69, 51.4, 11.37, 52.32]",4,"[10.25361111, 49.62833333, 11.59583333, 52.43388889]",103
"[13.36, 49.53, 13.80833333, 50.08]",11,"[11.79166667, 48.35555556, 13.80833333, 50.84472222]",1
"[12.05, 53.96, 12.87, 54.79805556]",6,"[12.01138889, 53.52138889, 13.32694444, 54.79805556]",26
"[9.67, 53.51, 10.19, 54.21]",5,"[9.644444444, 52.39166667, 10.44194444, 54.79805556]",51
"[10.74, 53.17, 11.65, 53.61]",7,"[10.08861111, 52.68833333, 12.01138889, 53.68222222]",13
"[12.79, 53.55, 12.96, 53.82]",11,"[12.71805556, 53.525, 13.32694444, 54.07944444]",1
"[9.52, 51.47, 10.37, 52.08]",2,"[7.730555556, 50.98916667, 11.83611111, 54.79805556]",411
"[7.12, 50.95, 7.33, 51.85]",1,"[6.7375, 48.11722222, 9.675277778, 54.79805556]",821
"[9.82, 53.82, 10.12, 54.58]",7,"[9.675277778, 53.68222222, 10.25, 54.79805556]",13
"[12.36, 50.63, 13.24, 51.27]",7,"[11.80027778, 48.62166667, 13.80833333, 51.34722222]",13
"[10.06, 52.21, 10.75, 52.74]",1,"[9.675277778, 48.11722222, 13.80833333, 54.79805556]",821
"[9.14, 54.29, 9.37, 54.79805556]",9,"[8.877777778, 52.42694444, 9.429722222, 54.79805556]",3
"[7.4, 50.55, 7.78, 51.46]",5,"[7.2725, 50.40638889, 7.928888889, 51.48638889]",51
