,Laenge,Breite
2027,9.6025,50.77055556
2028,9.588055556,50.8725
2030,9.450833333,51.28138889
2031,9.445833333,51.29388889
2032,9.448611111,51.31277778
2033,9.468888889,51.33194444
2034,9.720277778,51.40833333
2036,9.916388889,51.52416667
2037,9.924722222,51.53305556
2039,9.888055556,51.51111111
2040,10.00277778,51.71805556
2041,9.988055556,51.73888889
2042,9.983333333,51.82944444
2043,9.960833333,52.06194444
2046,10.10166667,52.19444444
2048,10.23305556,52.17777778
2050,10.32388889,52.19694444
2052,10.39361111,52.23222222
2057,10.53166667,52.25194444
2058,10.54027778,52.25444444
2061,10.62472222,52.25527778
2063,10.66722222,52.33083333
2065,10.7125,52.39805556
2066,10.72055556,52.425
2068,10.82111111,52.42972222
2069,10.85388889,52.43166667
2070,11.87611111,52.57333333
2071,12.37805556,52.60305556
2073,13.13166667,52.53805556
2077,13.17777778,52.53388889
2082,13.18777778,52.53722222
2085,13.19555556,52.53361111
2086,13.20305556,52.53638889
2088,13.22055556,52.52777778
2091,13.24,52.53055556
2092,13.25027778,52.51916667
2094,13.28611111,52.49388889
2095,13.30083333,52.50527778
2096,13.32888889,52.51083333
2098,13.33694444,52.51333333
2134,13.3725,52.5575
2327,13.42138889,52.52388889
2641,13.37833333,52.50694444
2643,13.3725,52.50583333
2652,13.37222222,52.50861111
2987,13.35472222,52.52027778
2988,13.32166667,52.50611111
2993,13.28055556,52.50444444
2994,13.2725,52.50055556
2995,13.26111111,52.50916667
3002,13.1875,52.52777778
3008,13.07361111,52.53222222
3010,13.03111111,52.5375
3011,12.86916667,52.55694444
3013,12.79722222,52.57472222
3014,12.53,52.60166667
3019,12.22388889,52.59138889
3021,12.14555556,52.58805556
3026,11.83611111,52.59722222
3032,11.7125,52.57861111
3035,11.54194444,52.53277778
3042,10.90722222,52.43111111
3044,10.84972222,52.41944444
3045,10.7875,52.42666667
3047,10.36194444,52.48138889
3049,10.28388889,52.44166667
3052,9.745,52.37416667
3053,9.644444444,52.39583333
3054,9.432222222,52.42333333
3056,9.198888889,52.32527778
