BRC Query,Data Size
"[[(10.01, 11.24), (52.61, 53.88)]]",15
"[[(10.93, 12.17), (50.2, 51.46)]]",57
"[[(8.83, 9.98), (50.43, 51.7)]]",54
"[[(6.89, 8.06), (50.38, 51.44)]]",151
"[[(8.13, 9.21), (50.22, 51.34)]]",0
"[[(9.35, 10.35), (49.84, 50.95)]]",34
"[[(8.04, 9.2), (51.61, 52.67)]]",113
"[[(8.25, 9.48), (48.5, 49.69)]]",68
"[[(9.31, 10.45), (50.84, 51.91)]]",54
"[[(12.46, 13.69), (48.52, 49.56)]]",0
"[[(6.86, 7.94), (51.88, 52.9)]]",42
"[[(12.03, 13.21), (51.64, 52.67)]]",64
"[[(12.26, 13.27), (49.6, 50.79)]]",0
"[[(12.24, 13.36), (53.15, 54.42)]]",10
"[[(10.81, 11.86), (48.25, 49.47)]]",46
"[[(12.45, 13.56), (48.74, 49.85)]]",0
"[[(9.84, 10.88), (49.84, 51.0)]]",21
"[[(11.13, 12.2), (50.94, 52.17)]]",38
"[[(10.6, 11.61), (51.12, 52.16)]]",0
"[[(11.81, 12.86), (52.12, 53.38)]]",32
"[[(10.33, 11.55), (48.32, 49.43)]]",21
"[[(7.76, 8.81), (51.48, 52.5)]]",126
"[[(11.15, 12.32), (49.71, 50.87)]]",14
"[[(10.19, 11.44), (49.66, 50.91)]]",23
"[[(9.24, 10.27), (50.51, 51.58)]]",56
"[[(8.58, 9.85), (50.8, 51.92)]]",38
"[[(8.06, 9.15), (52.94, 53.94)]]",0
"[[(11.7, 12.78), (48.83, 49.93)]]",0
"[[(8.63, 9.74), (48.67, 49.74)]]",36
"[[(7.4, 8.5), (48.97, 50.04)]]",36
"[[(8.7, 9.89), (53.46, 54.56)]]",13
"[[(8.66, 9.83), (52.94, 54.09)]]",6
"[[(10.23, 11.23), (50.55, 51.69)]]",33
"[[(9.77, 11.03), (53.02, 54.1)]]",32
"[[(11.91, 13.07), (48.31, 49.43)]]",0
"[[(11.04, 12.05), (49.8, 51.04)]]",40
"[[(11.15, 12.3), (50.65, 51.8)]]",47
"[[(7.57, 8.78), (53.15, 54.32)]]",0
"[[(8.88, 10.08), (51.8, 53.05)]]",88
"[[(8.66, 9.83), (51.68, 52.77)]]",98
"[[(9.62, 10.79), (50.08, 51.18)]]",40
"[[(9.34, 10.46), (52.08, 53.31)]]",72
"[[(11.69, 12.93), (51.94, 53.07)]]",41
"[[(10.7, 11.71), (51.9, 52.96)]]",35
"[[(11.04, 12.3), (53.13, 54.16)]]",25
"[[(11.9, 13.02), (49.78, 51.03)]]",0
"[[(9.12, 10.39), (51.63, 52.79)]]",86
"[[(11.31, 12.32), (48.88, 50.1)]]",1
"[[(11.16, 12.24), (51.87, 53.03)]]",31
"[[(9.39, 10.62), (50.87, 52.09)]]",59
"[[(12.14, 13.29), (48.65, 49.73)]]",0
"[[(8.42, 9.63), (48.54, 49.7)]]",61
"[[(10.81, 11.89), (53.07, 54.11)]]",3
"[[(7.32, 8.34), (52.39, 53.64)]]",0
"[[(6.86, 8.03), (48.34, 49.56)]]",0
"[[(8.46, 9.64), (51.97, 53.03)]]",90
"[[(9.8, 10.83), (53.37, 54.55)]]",36
"[[(12.26, 13.32), (48.9, 50.17)]]",0
"[[(7.42, 8.66), (48.73, 49.82)]]",35
"[[(9.35, 10.5), (51.13, 52.33)]]",52
"[[(8.48, 9.54), (52.68, 53.85)]]",0
"[[(9.65, 10.65), (52.3, 53.53)]]",55
"[[(8.13, 9.23), (50.4, 51.56)]]",4
"[[(10.67, 11.74), (49.07, 50.07)]]",47
"[[(11.95, 13.06), (53.49, 54.68)]]",27
"[[(12.18, 13.42), (52.04, 53.12)]]",262
"[[(9.68, 10.92), (51.85, 52.89)]]",91
"[[(9.72, 10.89), (53.0, 54.2)]]",38
"[[(7.57, 8.68), (48.16, 49.32)]]",14
"[[(10.51, 11.71), (49.53, 50.71)]]",25
"[[(7.77, 8.96), (52.31, 53.55)]]",0
"[[(10.43, 11.64), (49.83, 51.03)]]",57
"[[(10.73, 11.88), (52.39, 53.43)]]",38
"[[(10.88, 12.02), (49.82, 50.86)]]",17
"[[(9.63, 10.89), (51.65, 52.86)]]",100
"[[(12.48, 13.51), (48.53, 49.57)]]",0
"[[(7.81, 9.06), (51.58, 52.69)]]",131
"[[(7.0, 8.26), (49.32, 50.42)]]",20
"[[(9.04, 10.3), (51.51, 52.72)]]",95
"[[(8.53, 9.72), (53.47, 54.58)]]",7
"[[(10.53, 11.76), (53.14, 54.31)]]",11
"[[(11.65, 12.91), (52.82, 53.91)]]",15
"[[(11.21, 12.38), (51.66, 52.8)]]",32
"[[(12.33, 13.55), (53.27, 54.44)]]",9
"[[(11.58, 12.63), (51.7, 52.93)]]",33
"[[(9.52, 10.58), (48.42, 49.67)]]",1
"[[(9.81, 10.9), (49.59, 50.74)]]",15
"[[(11.79, 12.96), (51.22, 52.36)]]",41
"[[(8.71, 9.78), (48.77, 49.97)]]",26
"[[(9.27, 10.27), (51.53, 52.67)]]",77
"[[(12.16, 13.22), (48.98, 50.11)]]",0
"[[(10.31, 11.45), (51.15, 52.18)]]",5
"[[(12.13, 13.37), (49.07, 50.26)]]",0
"[[(8.62, 9.66), (51.13, 52.18)]]",40
