SRC_random Query: Large,Depth,BBoxes,Data Size
"[13, 5, 22, 14]",2,"[8, 0, 24, 16]",256
"[1, 16, 10, 25]",2,"[0, 16, 16, 32]",256
"[14, 1, 23, 10]",2,"[8, 0, 24, 16]",256
"[19, 3, 28, 12]",2,"[16, 0, 32, 16]",256
"[22, 12, 31, 21]",2,"[16, 8, 32, 24]",256
"[6, 8, 15, 17]",2,"[0, 8, 16, 24]",256
"[11, 23, 20, 32]",2,"[8, 16, 24, 32]",256
"[15, 18, 24, 27]",2,"[8, 16, 24, 32]",256
"[5, 22, 14, 31]",2,"[0, 16, 16, 32]",256
"[21, 6, 30, 15]",2,"[16, 0, 32, 16]",256
"[1, 21, 10, 30]",2,"[0, 16, 16, 32]",256
"[5, 5, 14, 14]",2,"[0, 0, 16, 16]",256
"[10, 16, 19, 25]",2,"[8, 16, 24, 32]",256
"[8, 3, 17, 12]",2,"[8, 0, 24, 16]",256
"[19, 14, 28, 23]",2,"[16, 8, 32, 24]",256
"[21, 5, 30, 14]",2,"[16, 0, 32, 16]",256
"[0, 15, 9, 24]",2,"[0, 8, 16, 24]",256
"[21, 13, 30, 22]",2,"[16, 8, 32, 24]",256
"[18, 16, 27, 25]",2,"[16, 16, 32, 32]",256
"[9, 20, 18, 29]",2,"[8, 16, 24, 32]",256
"[11, 12, 20, 21]",2,"[8, 8, 24, 24]",256
"[21, 8, 30, 17]",2,"[16, 8, 32, 24]",256
"[4, 17, 13, 26]",2,"[0, 16, 16, 32]",256
"[22, 0, 31, 9]",2,"[16, 0, 32, 16]",256
"[14, 23, 23, 32]",2,"[8, 16, 24, 32]",256
"[2, 10, 11, 19]",2,"[0, 8, 16, 24]",256
"[23, 1, 32, 10]",2,"[16, 0, 32, 16]",256
"[17, 8, 26, 17]",2,"[16, 8, 32, 24]",256
"[4, 7, 13, 16]",2,"[0, 0, 16, 16]",256
"[15, 11, 24, 20]",2,"[8, 8, 24, 24]",256
"[19, 9, 28, 18]",2,"[16, 8, 32, 24]",256
"[21, 11, 30, 20]",2,"[16, 8, 32, 24]",256
"[18, 20, 27, 29]",2,"[16, 16, 32, 32]",256
"[19, 4, 28, 13]",2,"[16, 0, 32, 16]",256
"[22, 9, 31, 18]",2,"[16, 8, 32, 24]",256
"[12, 23, 21, 32]",2,"[8, 16, 24, 32]",256
"[13, 20, 22, 29]",2,"[8, 16, 24, 32]",256
"[2, 0, 11, 9]",2,"[0, 0, 16, 16]",256
"[19, 6, 28, 15]",2,"[16, 0, 32, 16]",256
"[22, 10, 31, 19]",2,"[16, 8, 32, 24]",256
"[5, 7, 14, 16]",2,"[0, 0, 16, 16]",256
"[7, 20, 16, 29]",2,"[0, 16, 16, 32]",256
"[14, 12, 23, 21]",2,"[8, 8, 24, 24]",256
"[22, 21, 31, 30]",2,"[16, 16, 32, 32]",256
"[18, 13, 27, 22]",2,"[16, 8, 32, 24]",256
"[1, 12, 10, 21]",2,"[0, 8, 16, 24]",256
"[22, 18, 31, 27]",2,"[16, 16, 32, 32]",256
"[13, 21, 22, 30]",2,"[8, 16, 24, 32]",256
"[22, 1, 31, 10]",2,"[16, 0, 32, 16]",256
"[5, 14, 14, 23]",2,"[0, 8, 16, 24]",256
"[2, 8, 11, 17]",2,"[0, 8, 16, 24]",256
"[22, 5, 31, 14]",2,"[16, 0, 32, 16]",256
"[14, 16, 23, 25]",2,"[8, 16, 24, 32]",256
"[15, 17, 24, 26]",2,"[8, 16, 24, 32]",256
"[19, 0, 28, 9]",2,"[16, 0, 32, 16]",256
"[1, 15, 10, 24]",2,"[0, 8, 16, 24]",256
"[10, 9, 19, 18]",2,"[8, 8, 24, 24]",256
"[14, 1, 23, 10]",2,"[8, 0, 24, 16]",256
"[13, 6, 22, 15]",2,"[8, 0, 24, 16]",256
"[17, 20, 26, 29]",2,"[16, 16, 32, 32]",256
"[2, 23, 11, 32]",2,"[0, 16, 16, 32]",256
"[4, 0, 13, 9]",2,"[0, 0, 16, 16]",256
"[12, 21, 21, 30]",2,"[8, 16, 24, 32]",256
"[13, 10, 22, 19]",2,"[8, 8, 24, 24]",256
"[0, 6, 9, 15]",2,"[0, 0, 16, 16]",256
"[0, 22, 9, 31]",2,"[0, 16, 16, 32]",256
"[0, 21, 9, 30]",2,"[0, 16, 16, 32]",256
"[16, 19, 25, 28]",2,"[16, 16, 32, 32]",256
"[3, 6, 12, 15]",2,"[0, 0, 16, 16]",256
"[3, 19, 12, 28]",2,"[0, 16, 16, 32]",256
"[20, 6, 29, 15]",2,"[16, 0, 32, 16]",256
"[9, 8, 18, 17]",2,"[8, 8, 24, 24]",256
"[22, 5, 31, 14]",2,"[16, 0, 32, 16]",256
"[3, 15, 12, 24]",2,"[0, 8, 16, 24]",256
"[12, 20, 21, 29]",2,"[8, 16, 24, 32]",256
"[2, 0, 11, 9]",2,"[0, 0, 16, 16]",256
"[8, 14, 17, 23]",2,"[8, 8, 24, 24]",256
"[3, 8, 12, 17]",2,"[0, 8, 16, 24]",256
