,L2 Norm
0,0.06169084210804709
1,0.05362611304206186
2,0.044556880002481744
3,0.029107730931833206
4,0.02214858911985137
5,0.022100377070689695
6,0.013981211882890763
7,0.003589568219159456
8,0.006705958286718559
9,0.014469277798148689
10,0.006382413854614076
11,0.007953615530059263
12,0.006493255490422723
13,0.003523217453477632
14,0.0041611964091538885
15,0.004963365793491357
16,0.007752360953027138
17,0.0027499943883219427
18,0.003436547903906544
19,0.0007483314773548097
20,0.007793851870809904
21,0.010050681486700694
22,0.008961906359445113
23,0.009359872981094504
24,0.004418144406874941
25,0.006582853826194323
26,0.009994720142506451
27,0.01191872133944525
28,0.010961187607614557
29,0.010372185026416653
30,0.008006719342564358
31,0.010048429603674377
32,0.008043536266204594
33,0.006882765196300494
34,0.006553765080829069
35,0.005869002060417551
36,0.00619558503473007
37,0.0042122891046775185
38,0.0025744611278128242
39,0.005213923666491485
40,0.006522489351533528
41,0.005926641491188686
42,0.003920397767922873
43,0.004673611518740049
44,0.00169005807482948
45,0.0016297331823788522
46,0.0022237696940851197
47,0.0038023567253306022
48,0.0035421987538338056
49,0.004166533331199936
50,0.0031605604941919883
51,0.003608782843212841
52,0.003186604214867966
53,0.004823502134290611
54,0.003600918156560619
55,0.003554574517435246
56,0.002390748558581623
57,0.0023402998883010426
58,0.0017286939141051513
59,0.0014197026292697922
60,0.0023221448906793436
61,0.0013187829030865757
62,0.0009317122299917624
63,0.0010078984943931444
64,0.0018343210536355067
65,0.0027985041261989396
66,0.003948674949973465
67,0.0040390138917801325
68,0.0041466338841026395
69,0.0042191013648086965
70,0.0035507531101550667
71,0.0030642502557117627
72,0.0029154289611302902
73,0.0029328297152728332
74,0.0029634814361190575
75,0.0034877545975833635
76,0.0022106566597422327
77,0.0012331600709898885
78,0.0017243164166215641
79,0.0012614475811542829
80,0.0010316851909283858
81,0.0007621941463408029
82,0.0006875539541240266
83,0.0008782584292113107
84,0.0007993076588923489
85,0.0010084124251781448
86,0.0025066285489718787
87,0.0035366557486271773
88,0.0035911659203652596
89,0.002992500915354069
90,0.002107443636569827
91,0.00202327664771648
92,0.0013187829030865757
93,0.0014338973346511696
94,0.002341105641202171
95,0.0018407803297032545
96,0.001626771457735917
97,0.0009536881214018765
98,0.0009078420153216326
99,0.0
