,L2 Norm
0,0.05206323078718796
1,0.04630961023373006
2,0.04038044080987719
3,0.05418099297724249
4,0.048717348039481745
5,0.0265857522410449
6,0.00823186937878555
7,0.004945199692631212
8,0.0033240240375889242
9,0.011549025932952085
10,0.011652751244673838
11,0.010245432586713375
12,0.010117072102589449
13,0.013140077345779246
14,0.013471038894194065
15,0.01148036367019792
16,0.009659894617118827
17,0.009254281625013436
18,0.010205286229989405
19,0.010088607436113266
20,0.013043602092809916
21,0.013474242339054535
22,0.01366053607098534
23,0.010122691780790758
24,0.011758401251870944
25,0.01089759215574244
26,0.011280366424308508
27,0.011114818202447996
28,0.012748541218918504
29,0.011512408764266317
30,0.011166015222169805
31,0.0067263706781592126
32,0.009046742205693268
33,0.009022198690128271
34,0.009521640229133913
35,0.010508068622389153
36,0.01036401102935098
37,0.011382104338345135
38,0.0095057399870904
39,0.009817331613019894
40,0.009453885697892482
41,0.009760369217208725
42,0.010165967786078327
43,0.007309950198245295
44,0.007748659780572465
45,0.00757069017437949
46,0.007223935993965277
47,0.00861665054801842
48,0.007281299182443796
49,0.006736467917239711
50,0.007247547411592134
51,0.007896152909438285
52,0.00758676453331825
53,0.007487879552452995
54,0.008338588976301811
55,0.007866611178173942
56,0.007632414150708031
57,0.006459218080883222
58,0.005604636013465604
59,0.004343833432452133
60,0.005562384223314902
61,0.005196590974123436
62,0.0049421449976837575
63,0.004148832667148684
64,0.00472136024928727
65,0.004577224328433201
66,0.004213970231298441
67,0.004300004023495336
68,0.004976470154485766
69,0.005139324183316738
70,0.005621461482617772
71,0.00402209177197913
72,0.004881074315174571
73,0.005691292543070569
74,0.006333157892306884
75,0.006136688632187598
76,0.006424422378782014
77,0.006398305783313161
78,0.0063728838412270795
79,0.0065286866979508045
80,0.006745164062191482
81,0.008397684590661633
82,0.006718135598049152
83,0.006267791909396846
84,0.006660844631957126
85,0.007209805683852911
86,0.005525473025916147
87,0.004064109185427267
88,0.003916825246305948
89,0.0026882919447573047
90,0.0018561665942996375
91,0.0017412052840517643
92,0.0014456036509352028
93,0.0010301520366678522
94,0.0009678774217849879
95,0.0017880680915446016
96,0.0014040018416010256
97,0.00029894998808655443
98,0.0005258912200726549
99,0.0
