SRC Query,Depth,BBoxes,Data Size
"[8.42, 52.07, 9.75, 53.75]",2,"[7.730555556, 50.98916667, 11.83611111, 54.79805556]",411
"[11.46, 48.73, 13.45, 50.35]",4,"[11.0775, 48.11722222, 13.80833333, 50.84472222]",102
"[7.25, 48.45, 8.29, 50.42]",6,"[7.219722222, 48.11722222, 8.401944444, 50.43166667]",25
"[10.64, 49.67, 12.57, 51.36]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[10.61, 50.72, 12.03, 51.97]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[7.14, 52.18, 8.44, 53.81]",2,"[6.7375, 51.34805556, 9.675277778, 54.79805556]",411
"[11.32, 49.38, 12.83, 51.26]",4,"[11.0775, 48.26055556, 13.80833333, 51.47916667]",102
"[10.83, 51.17, 11.84, 52.27]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[7.31, 48.3, 9.3, 49.57]",2,"[6.7375, 48.11722222, 9.675277778, 51.34805556]",410
"[11.63, 48.64, 13.1, 49.83]",6,"[11.535, 48.14444444, 13.80833333, 50.84472222]",26
"[7.93, 48.59, 9.76, 50.61]",2,"[7.730555556, 48.11722222, 11.83611111, 50.98916667]",410
"[8.61, 52.26, 10.7, 53.59]",2,"[7.730555556, 50.98916667, 11.83611111, 54.79805556]",411
"[7.99, 48.57, 9.52, 50.3]",2,"[6.7375, 48.11722222, 9.675277778, 51.34805556]",410
"[6.93, 52.6, 7.94, 53.93]",2,"[6.7375, 51.34805556, 9.675277778, 54.79805556]",411
"[9.69, 49.55, 11.19, 50.62]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[11.26, 52.54, 13.35, 53.66]",2,"[9.675277778, 52.43388889, 13.80833333, 54.79805556]",411
"[7.8, 52.59, 9.49, 54.2]",4,"[7.676666667, 51.98722222, 9.675277778, 54.79805556]",103
"[10.14, 49.3, 11.88, 50.91]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[8.26, 48.49, 9.54, 49.8]",2,"[6.7375, 48.11722222, 9.675277778, 51.34805556]",410
"[11.6, 51.09, 13.1, 52.81]",1,"[9.675277778, 48.11722222, 13.80833333, 54.79805556]",821
"[11.39, 49.52, 12.83, 50.89]",4,"[11.0775, 48.26055556, 13.80833333, 51.47916667]",102
"[8.31, 52.19, 10.26, 53.53]",2,"[7.730555556, 50.98916667, 11.83611111, 54.79805556]",411
"[8.39, 50.76, 10.0, 52.43]",1,"[7.730555556, 48.11722222, 11.83611111, 54.79805556]",821
"[7.95, 49.23, 8.97, 50.31]",2,"[6.7375, 48.11722222, 9.675277778, 51.34805556]",410
"[9.47, 48.46, 10.55, 50.17]",3,"[8.686111111, 48.11722222, 11.20555556, 50.98916667]",205
"[8.18, 50.37, 10.07, 52.34]",1,"[7.730555556, 48.11722222, 11.83611111, 54.79805556]",821
"[7.5, 51.74, 9.06, 52.83]",2,"[6.7375, 51.34805556, 9.675277778, 54.79805556]",411
"[11.44, 51.66, 12.63, 53.76]",1,"[9.675277778, 48.11722222, 13.80833333, 54.79805556]",821
"[10.8, 48.6, 12.16, 50.18]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[11.29, 52.19, 12.62, 53.35]",1,"[9.675277778, 48.11722222, 13.80833333, 54.79805556]",821
"[11.24, 49.56, 12.28, 51.57]",3,"[11.0775, 48.11722222, 13.80833333, 52.43388889]",205
"[10.72, 51.95, 12.74, 53.79]",1,"[9.675277778, 48.11722222, 13.80833333, 54.79805556]",821
"[10.15, 50.09, 11.35, 51.27]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[10.28, 49.27, 12.03, 50.34]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[11.51, 50.62, 13.42, 52.23]",3,"[11.0775, 48.11722222, 13.80833333, 52.43388889]",205
"[10.95, 49.92, 12.46, 51.3]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[8.01, 51.06, 9.04, 52.53]",1,"[6.7375, 48.11722222, 9.675277778, 54.79805556]",821
"[9.56, 49.74, 10.63, 50.9]",3,"[8.686111111, 48.11722222, 11.20555556, 50.98916667]",205
"[7.36, 51.9, 8.65, 53.35]",2,"[6.7375, 51.34805556, 9.675277778, 54.79805556]",411
"[8.72, 49.18, 10.41, 50.19]",3,"[8.686111111, 48.11722222, 11.20555556, 50.98916667]",205
"[9.35, 51.08, 10.91, 52.57]",2,"[7.730555556, 50.98916667, 11.83611111, 54.79805556]",411
"[10.14, 49.2, 11.96, 50.76]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
