,BRC Size,SRC Size,Diff,F/P %,Error %,SRC Depth
0,0,1316,1316,inf,0.0,4
1,474,1316,842,2.7763713080168775,36.01823708206687,4
2,51,1315,1264,25.784313725490197,3.878326996197719,4
3,1519,2631,1112,1.7320605661619486,57.73470163435957,3
4,1319,5262,3943,3.989385898407885,25.066514633219306,2
5,0,1316,1316,inf,0.0,4
6,1076,2631,1555,2.4451672862453533,40.89699733941467,3
7,1512,2631,1119,1.7400793650793651,57.46864310148233,3
8,0,2,2,inf,0.0,13
9,506,1315,809,2.5988142292490117,38.47908745247148,4
10,1974,10524,8550,5.331306990881459,18.757126567844924,1
11,804,1316,512,1.63681592039801,61.09422492401215,4
12,0,2,2,inf,0.0,13
13,113,5262,5149,46.56637168141593,2.1474724439376662,2
14,469,2631,2162,5.609808102345416,17.82592170277461,3
15,635,1316,681,2.07244094488189,48.25227963525836,4
16,217,329,112,1.5161290322580645,65.95744680851064,6
17,1111,2631,1520,2.3681368136813683,42.22729000380084,3
18,0,328,328,inf,0.0,6
19,118,5262,5144,44.59322033898305,2.242493348536678,2
20,0,1316,1316,inf,0.0,4
21,0,329,329,inf,0.0,6
22,715,2631,1916,3.67972027972028,27.175978715317367,3
23,1579,5262,3683,3.3324889170360987,30.007601672367922,2
24,865,10524,9659,12.166473988439307,8.219308247814519,1
25,0,1316,1316,inf,0.0,4
26,1729,10524,8795,6.086755349913244,16.429114405169138,1
27,1638,5262,3624,3.2124542124542126,31.12884834663626,2
28,1680,5262,3582,3.132142857142857,31.92702394526796,2
29,541,5262,4721,9.726432532347504,10.281261877613074,2
30,605,10524,9919,17.39504132231405,5.748764728240213,1
31,1166,2631,1465,2.2564322469982847,44.317749904979095,3
32,0,5262,5262,inf,0.0,2
33,869,10524,9655,12.110471806674338,8.257316609654124,1
34,202,5262,5060,26.04950495049505,3.838844545800076,2
35,477,2631,2154,5.515723270440252,18.129988597491447,3
36,0,5262,5262,inf,0.0,2
37,170,658,488,3.8705882352941177,25.835866261398177,5
38,0,1316,1316,inf,0.0,4
39,593,2631,2038,4.4367622259696455,22.538958570885594,3
40,0,328,328,inf,0.0,6
41,0,1316,1316,inf,0.0,4
42,453,1316,863,2.905077262693157,34.422492401215806,4
43,1224,5262,4038,4.299019607843137,23.261117445838085,2
44,0,328,328,inf,0.0,6
45,1568,2631,1063,1.6779336734693877,59.597111364500186,3
46,0,1316,1316,inf,0.0,4
47,784,5262,4478,6.711734693877551,14.899277841125047,2
48,923,1315,392,1.4247020585048753,70.19011406844106,4
49,1964,5262,3298,2.679226069246436,37.32421132649183,2
50,408,1316,908,3.2254901960784315,31.00303951367781,4
51,12,1316,1304,109.66666666666667,0.911854103343465,4
52,0,329,329,inf,0.0,6
53,1004,1316,312,1.3107569721115537,76.29179331306992,4
54,397,2631,2234,6.6272040302267,15.089319650323072,3
55,351,5262,4911,14.991452991452991,6.670467502850627,2
56,0,5262,5262,inf,0.0,2
57,1037,5262,4225,5.074252651880425,19.707335613835046,2
58,670,1315,645,1.962686567164179,50.950570342205324,4
59,803,2631,1828,3.276463262764633,30.520714557202584,3
60,813,2631,1818,3.236162361623616,30.90079817559863,3
61,1401,5262,3861,3.7558886509635974,26.624857468643103,2
62,0,5262,5262,inf,0.0,2
63,0,329,329,inf,0.0,6
64,0,5262,5262,inf,0.0,2
65,0,1315,1315,inf,0.0,4
66,523,1315,792,2.51434034416826,39.77186311787072,4
67,0,1315,1315,inf,0.0,4
68,555,1315,760,2.369369369369369,42.20532319391635,4
69,1580,5262,3682,3.330379746835443,30.026605853287723,2
70,408,1316,908,3.2254901960784315,31.00303951367781,4
71,0,1316,1316,inf,0.0,4
72,268,1316,1048,4.91044776119403,20.364741641337385,4
73,435,1316,881,3.025287356321839,33.05471124620061,4
74,0,1316,1316,inf,0.0,4
75,0,1316,1316,inf,0.0,4
76,903,5262,4359,5.827242524916944,17.160775370581526,2
77,4,329,325,82.25,1.21580547112462,6
78,0,1316,1316,inf,0.0,4
79,0,328,328,inf,0.0,6
80,0,1315,1315,inf,0.0,4
81,0,1315,1315,inf,0.0,4
82,266,5262,4996,19.781954887218046,5.055112124667427,2
83,0,1316,1316,inf,0.0,4
84,1231,10524,9293,8.54914703493095,11.69707335613835,1
85,1423,5262,3839,3.697821503865074,27.042949448878755,2
86,772,2631,1859,3.4080310880829017,29.34245534017484,3
87,355,658,303,1.8535211267605634,53.951367781155014,5
88,0,329,329,inf,0.0,6
89,26,1315,1289,50.57692307692308,1.977186311787072,4
90,870,5262,4392,6.048275862068966,16.53363740022805,2
91,932,2631,1699,2.822961373390558,35.42379323451159,3
92,709,2631,1922,3.710860366713681,26.94792854427974,3
