,BRC Size,SRC Size,Diff,F/P %,SRC Depth,Error %
0,682,2631,1949,3.8577712609970676,3,25.921702774610416
1,353,658,305,1.8640226628895185,5,53.64741641337386
2,3108,10524,7416,3.386100386100386,1,29.532497149372862
3,1410,10524,9114,7.463829787234043,1,13.397947548460662
4,0,5262,5262,inf,2,0.0
5,610,5262,4652,8.62622950819672,2,11.592550361079438
6,1050,5262,4212,5.011428571428572,2,19.954389965792473
7,935,1315,380,1.4064171122994653,4,71.10266159695817
8,1248,2631,1383,2.108173076923077,3,47.43443557582668
9,516,1316,800,2.550387596899225,4,39.209726443769
10,3112,5262,2150,1.6908740359897172,2,59.14101102242494
11,599,658,59,1.0984974958263773,5,91.03343465045593
12,860,10524,9664,12.237209302325581,1,8.171797795515014
13,784,5262,4478,6.711734693877551,2,14.899277841125047
14,1412,10524,9112,7.453257790368272,1,13.416951729380463
15,631,5262,4631,8.339144215530903,2,11.991638160395288
16,398,1316,918,3.306532663316583,4,30.243161094224924
17,1815,10524,8709,5.798347107438016,1,17.24629418472064
18,1660,2631,971,1.5849397590361445,3,63.09388065374383
19,0,2,2,inf,13,0.0
20,2237,5262,3025,2.35225748770675,2,42.51235271759787
21,1884,5262,3378,2.7929936305732483,2,35.80387685290764
22,1885,10524,8639,5.583023872679045,1,17.91144051691372
23,654,5262,4608,8.045871559633028,2,12.428734321550742
24,85,5262,5177,61.90588235294118,2,1.6153553781832004
25,1648,10524,8876,6.385922330097087,1,15.659445077917141
26,211,5262,5051,24.938388625592417,2,4.009882174078297
27,1568,5262,3694,3.3558673469387754,2,29.798555682250093
28,289,5262,4973,18.207612456747405,2,5.492208285822882
29,1305,5262,3957,4.032183908045977,2,24.800456100342075
30,2715,5262,2547,1.938121546961326,2,51.5963511972634
31,1162,21048,19886,18.113597246127366,0,5.520714557202584
32,12,1316,1304,109.66666666666667,4,0.911854103343465
33,0,1315,1315,inf,4,0.0
34,225,5262,5037,23.386666666666667,2,4.275940706955531
35,335,1316,981,3.928358208955224,4,25.455927051671733
36,2960,10524,7564,3.5554054054054056,1,28.126187761307484
37,1406,5262,3856,3.7425320056899003,2,26.71987837324211
38,1382,10524,9142,7.615050651230101,1,13.131889015583429
39,171,5262,5091,30.771929824561404,2,3.249714937286203
40,1977,5262,3285,2.661608497723824,2,37.571265678449265
41,890,2631,1741,2.9561797752808987,3,33.8274420372482
42,1048,5262,4214,5.020992366412214,2,19.91638160395287
43,83,1316,1233,15.855421686746988,4,6.306990881458967
44,0,5262,5262,inf,2,0.0
45,0,82,82,inf,8,0.0
46,0,5262,5262,inf,2,0.0
47,0,2,2,inf,13,0.0
48,2572,5262,2690,2.045878693623639,2,48.87875332573166
49,190,1315,1125,6.921052631578948,4,14.44866920152091
50,1089,5262,4173,4.8319559228650135,2,20.695553021664768
51,383,5262,4879,13.738903394255875,2,7.278601292284302
52,1406,5262,3856,3.7425320056899003,2,26.71987837324211
53,2010,5262,3252,2.617910447761194,2,38.19840364880274
54,1344,10524,9180,7.830357142857143,1,12.770809578107183
55,0,1316,1316,inf,4,0.0
56,1180,5262,4082,4.459322033898305,2,22.42493348536678
57,144,21048,20904,146.16666666666666,0,0.6841505131128849
58,577,1315,738,2.2790294627383014,4,43.87832699619772
59,2011,5262,3251,2.6166086524117356,2,38.21740782972254
