BRC Query: Medium,Points,# Of Points
"[12, 24, 18, 30]","[(12, 24), (12, 25), (13, 24), (13, 25), (12, 26), (12, 27), (13, 26), (13, 27), (14, 24), (14, 25), (15, 24), (15, 25), (14, 26), (14, 27), (15, 26), (15, 27), (12, 28), (12, 29), (13, 28), (13, 29), (12, 30), (13, 30), (14, 28), (14, 29), (15, 28), (15, 29), (14, 30), (15, 30), (16, 24), (16, 25), (17, 24), (17, 25), (16, 26), (16, 27), (17, 26), (17, 27), (18, 24), (18, 25), (18, 26), (18, 27), (16, 28), (16, 29), (17, 28), (17, 29), (16, 30), (17, 30), (18, 28), (18, 29), (18, 30)]",49
"[13, 1, 19, 7]","[(13, 1), (13, 2), (13, 3), (14, 1), (15, 1), (14, 2), (14, 3), (15, 2), (15, 3), (13, 4), (13, 5), (13, 6), (13, 7), (14, 4), (14, 5), (15, 4), (15, 5), (14, 6), (14, 7), (15, 6), (15, 7), (16, 1), (17, 1), (16, 2), (16, 3), (17, 2), (17, 3), (18, 1), (19, 1), (18, 2), (18, 3), (19, 2), (19, 3), (16, 4), (16, 5), (17, 4), (17, 5), (16, 6), (16, 7), (17, 6), (17, 7), (18, 4), (18, 5), (19, 4), (19, 5), (18, 6), (18, 7), (19, 6), (19, 7)]",49
"[8, 16, 14, 22]","[(8, 16), (8, 17), (9, 16), (9, 17), (8, 18), (8, 19), (9, 18), (9, 19), (10, 16), (10, 17), (11, 16), (11, 17), (10, 18), (10, 19), (11, 18), (11, 19), (8, 20), (8, 21), (9, 20), (9, 21), (8, 22), (9, 22), (10, 20), (10, 21), (11, 20), (11, 21), (10, 22), (11, 22), (12, 16), (12, 17), (13, 16), (13, 17), (12, 18), (12, 19), (13, 18), (13, 19), (14, 16), (14, 17), (14, 18), (14, 19), (12, 20), (12, 21), (13, 20), (13, 21), (12, 22), (13, 22), (14, 20), (14, 21), (14, 22)]",49
"[15, 12, 21, 18]","[(15, 12), (15, 13), (15, 14), (15, 15), (15, 16), (15, 17), (15, 18), (16, 12), (16, 13), (17, 12), (17, 13), (16, 14), (16, 15), (17, 14), (17, 15), (18, 12), (18, 13), (19, 12), (19, 13), (18, 14), (18, 15), (19, 14), (19, 15), (20, 12), (20, 13), (21, 12), (21, 13), (20, 14), (20, 15), (21, 14), (21, 15), (16, 16), (16, 17), (17, 16), (17, 17), (16, 18), (17, 18), (18, 16), (18, 17), (19, 16), (19, 17), (18, 18), (19, 18), (20, 16), (20, 17), (21, 16), (21, 17), (20, 18), (21, 18)]",49
"[25, 26, 31, 32]","[(25, 26), (25, 27), (26, 26), (26, 27), (27, 26), (27, 27), (25, 28), (25, 29), (25, 30), (25, 31), (26, 28), (26, 29), (27, 28), (27, 29), (26, 30), (26, 31), (27, 30), (27, 31), (28, 26), (28, 27), (29, 26), (29, 27), (30, 26), (30, 27), (31, 26), (31, 27), (28, 28), (28, 29), (29, 28), (29, 29), (28, 30), (28, 31), (29, 30), (29, 31), (30, 28), (30, 29), (31, 28), (31, 29), (30, 30), (30, 31), (31, 30), (31, 31)]",42
"[9, 15, 15, 21]","[(9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (9, 16), (9, 17), (9, 18), (9, 19), (10, 16), (10, 17), (11, 16), (11, 17), (10, 18), (10, 19), (11, 18), (11, 19), (9, 20), (9, 21), (10, 20), (10, 21), (11, 20), (11, 21), (12, 16), (12, 17), (13, 16), (13, 17), (12, 18), (12, 19), (13, 18), (13, 19), (14, 16), (14, 17), (15, 16), (15, 17), (14, 18), (14, 19), (15, 18), (15, 19), (12, 20), (12, 21), (13, 20), (13, 21), (14, 20), (14, 21), (15, 20), (15, 21)]",49
"[11, 18, 17, 24]","[(11, 18), (11, 19), (11, 20), (11, 21), (11, 22), (11, 23), (12, 18), (12, 19), (13, 18), (13, 19), (14, 18), (14, 19), (15, 18), (15, 19), (12, 20), (12, 21), (13, 20), (13, 21), (12, 22), (12, 23), (13, 22), (13, 23), (14, 20), (14, 21), (15, 20), (15, 21), (14, 22), (14, 23), (15, 22), (15, 23), (11, 24), (12, 24), (13, 24), (14, 24), (15, 24), (16, 18), (16, 19), (17, 18), (17, 19), (16, 20), (16, 21), (17, 20), (17, 21), (16, 22), (16, 23), (17, 22), (17, 23), (16, 24), (17, 24)]",49
"[6, 16, 12, 22]","[(6, 16), (6, 17), (7, 16), (7, 17), (6, 18), (6, 19), (7, 18), (7, 19), (6, 20), (6, 21), (7, 20), (7, 21), (6, 22), (7, 22), (8, 16), (8, 17), (9, 16), (9, 17), (8, 18), (8, 19), (9, 18), (9, 19), (10, 16), (10, 17), (11, 16), (11, 17), (10, 18), (10, 19), (11, 18), (11, 19), (8, 20), (8, 21), (9, 20), (9, 21), (8, 22), (9, 22), (10, 20), (10, 21), (11, 20), (11, 21), (10, 22), (11, 22), (12, 16), (12, 17), (12, 18), (12, 19), (12, 20), (12, 21), (12, 22)]",49
"[4, 9, 10, 15]","[(4, 9), (5, 9), (4, 10), (4, 11), (5, 10), (5, 11), (6, 9), (7, 9), (6, 10), (6, 11), (7, 10), (7, 11), (4, 12), (4, 13), (5, 12), (5, 13), (4, 14), (4, 15), (5, 14), (5, 15), (6, 12), (6, 13), (7, 12), (7, 13), (6, 14), (6, 15), (7, 14), (7, 15), (8, 9), (9, 9), (8, 10), (8, 11), (9, 10), (9, 11), (10, 9), (10, 10), (10, 11), (8, 12), (8, 13), (9, 12), (9, 13), (8, 14), (8, 15), (9, 14), (9, 15), (10, 12), (10, 13), (10, 14), (10, 15)]",49
"[4, 24, 10, 30]","[(4, 24), (4, 25), (5, 24), (5, 25), (4, 26), (4, 27), (5, 26), (5, 27), (6, 24), (6, 25), (7, 24), (7, 25), (6, 26), (6, 27), (7, 26), (7, 27), (4, 28), (4, 29), (5, 28), (5, 29), (4, 30), (5, 30), (6, 28), (6, 29), (7, 28), (7, 29), (6, 30), (7, 30), (8, 24), (8, 25), (9, 24), (9, 25), (8, 26), (8, 27), (9, 26), (9, 27), (10, 24), (10, 25), (10, 26), (10, 27), (8, 28), (8, 29), (9, 28), (9, 29), (8, 30), (9, 30), (10, 28), (10, 29), (10, 30)]",49
"[3, 19, 9, 25]","[(3, 19), (3, 20), (3, 21), (3, 22), (3, 23), (4, 19), (5, 19), (6, 19), (7, 19), (4, 20), (4, 21), (5, 20), (5, 21), (4, 22), (4, 23), (5, 22), (5, 23), (6, 20), (6, 21), (7, 20), (7, 21), (6, 22), (6, 23), (7, 22), (7, 23), (3, 24), (3, 25), (4, 24), (4, 25), (5, 24), (5, 25), (6, 24), (6, 25), (7, 24), (7, 25), (8, 19), (9, 19), (8, 20), (8, 21), (9, 20), (9, 21), (8, 22), (8, 23), (9, 22), (9, 23), (8, 24), (8, 25), (9, 24), (9, 25)]",49
"[25, 8, 31, 14]","[(25, 8), (25, 9), (25, 10), (25, 11), (26, 8), (26, 9), (27, 8), (27, 9), (26, 10), (26, 11), (27, 10), (27, 11), (25, 12), (25, 13), (25, 14), (26, 12), (26, 13), (27, 12), (27, 13), (26, 14), (27, 14), (28, 8), (28, 9), (29, 8), (29, 9), (28, 10), (28, 11), (29, 10), (29, 11), (30, 8), (30, 9), (31, 8), (31, 9), (30, 10), (30, 11), (31, 10), (31, 11), (28, 12), (28, 13), (29, 12), (29, 13), (28, 14), (29, 14), (30, 12), (30, 13), (31, 12), (31, 13), (30, 14), (31, 14)]",49
