SRC_middle Query: Small,Depth,# Hops,BBoxes,Data Size
"[12, 13, 13, 14]",6,6,"[11, 12, 13, 14]",4
"[1, 8, 2, 9]",6,6,"[1, 7, 3, 9]",4
"[15, 12, 16, 13]",6,6,"[14, 11, 16, 13]",4
"[9, 15, 10, 16]",6,6,"[8, 14, 10, 16]",4
"[11, 6, 12, 7]",6,6,"[10, 6, 12, 8]",4
"[4, 9, 5, 10]",6,6,"[4, 8, 6, 10]",4
"[4, 3, 5, 4]",6,6,"[4, 3, 6, 5]",4
"[8, 4, 9, 5]",6,6,"[7, 4, 9, 6]",4
"[9, 3, 10, 4]",6,6,"[8, 3, 10, 5]",4
"[2, 10, 3, 11]",6,6,"[2, 9, 4, 11]",4
"[15, 3, 16, 4]",6,6,"[14, 3, 16, 5]",4
"[11, 13, 12, 14]",6,6,"[10, 12, 12, 14]",4
"[10, 6, 11, 7]",6,6,"[9, 6, 11, 8]",4
"[15, 14, 16, 15]",6,6,"[14, 13, 16, 15]",4
"[8, 1, 9, 2]",6,6,"[7, 1, 9, 3]",4
"[0, 2, 1, 3]",6,6,"[0, 2, 2, 4]",4
"[12, 0, 13, 1]",6,6,"[11, 0, 13, 2]",4
"[15, 10, 16, 11]",6,6,"[14, 9, 16, 11]",4
"[7, 10, 8, 11]",6,6,"[7, 9, 9, 11]",4
"[2, 6, 3, 7]",6,6,"[2, 6, 4, 8]",4
"[7, 7, 8, 8]",6,6,"[7, 7, 9, 9]",4
"[4, 14, 5, 15]",6,6,"[4, 13, 6, 15]",4
"[2, 2, 3, 3]",6,6,"[2, 2, 4, 4]",4
"[10, 15, 11, 16]",6,6,"[9, 14, 11, 16]",4
"[3, 9, 4, 10]",6,6,"[3, 8, 5, 10]",4
"[9, 3, 10, 4]",6,6,"[8, 3, 10, 5]",4
"[10, 6, 11, 7]",6,6,"[9, 6, 11, 8]",4
"[9, 14, 10, 15]",6,6,"[8, 13, 10, 15]",4
"[2, 12, 3, 13]",6,6,"[2, 11, 4, 13]",4
"[10, 7, 11, 8]",6,6,"[9, 7, 11, 9]",4
"[9, 5, 10, 6]",6,6,"[8, 5, 10, 7]",4
"[6, 5, 7, 6]",6,6,"[6, 5, 8, 7]",4
"[1, 8, 2, 9]",6,6,"[1, 7, 3, 9]",4
"[15, 2, 16, 3]",6,6,"[14, 2, 16, 4]",4
"[2, 4, 3, 5]",6,6,"[2, 4, 4, 6]",4
"[4, 1, 5, 2]",6,6,"[4, 1, 6, 3]",4
"[2, 12, 3, 13]",6,6,"[2, 11, 4, 13]",4
"[8, 7, 9, 8]",6,6,"[7, 7, 9, 9]",4
"[6, 13, 7, 14]",6,6,"[6, 12, 8, 14]",4
"[8, 14, 9, 15]",6,6,"[7, 13, 9, 15]",4
"[15, 11, 16, 12]",6,6,"[14, 10, 16, 12]",4
"[2, 10, 3, 11]",6,6,"[2, 9, 4, 11]",4
"[3, 15, 4, 16]",6,6,"[3, 14, 5, 16]",4
"[10, 6, 11, 7]",6,6,"[9, 6, 11, 8]",4
"[7, 0, 8, 1]",6,6,"[7, 0, 9, 2]",4
"[8, 3, 9, 4]",6,6,"[7, 3, 9, 5]",4
"[7, 11, 8, 12]",6,6,"[7, 10, 9, 12]",4
"[5, 10, 6, 11]",6,6,"[5, 9, 7, 11]",4
"[13, 1, 14, 2]",6,6,"[12, 1, 14, 3]",4
"[3, 4, 4, 5]",6,6,"[3, 4, 5, 6]",4
"[7, 1, 8, 2]",6,6,"[7, 1, 9, 3]",4
"[2, 0, 3, 1]",6,6,"[2, 0, 4, 2]",4
"[3, 6, 4, 7]",6,6,"[3, 6, 5, 8]",4
"[3, 12, 4, 13]",6,6,"[3, 11, 5, 13]",4
"[2, 11, 3, 12]",6,6,"[2, 10, 4, 12]",4
"[3, 1, 4, 2]",6,6,"[3, 1, 5, 3]",4
"[0, 6, 1, 7]",6,6,"[0, 6, 2, 8]",4
"[5, 3, 6, 4]",6,6,"[5, 3, 7, 5]",4
"[15, 6, 16, 7]",6,6,"[14, 6, 16, 8]",4
"[1, 0, 2, 1]",6,6,"[1, 0, 3, 2]",4
"[13, 3, 14, 4]",6,6,"[12, 3, 14, 5]",4
"[8, 2, 9, 3]",6,6,"[7, 2, 9, 4]",4
"[7, 2, 8, 3]",6,6,"[7, 2, 9, 4]",4
"[9, 11, 10, 12]",6,6,"[8, 10, 10, 12]",4
"[13, 5, 14, 6]",6,6,"[12, 5, 14, 7]",4
"[1, 14, 2, 15]",6,6,"[1, 13, 3, 15]",4
"[1, 3, 2, 4]",6,6,"[1, 3, 3, 5]",4
"[12, 6, 13, 7]",6,6,"[11, 6, 13, 8]",4
"[8, 11, 9, 12]",6,6,"[7, 10, 9, 12]",4
"[15, 5, 16, 6]",6,6,"[14, 5, 16, 7]",4
"[6, 1, 7, 2]",6,6,"[6, 1, 8, 3]",4
"[5, 5, 6, 6]",6,6,"[5, 5, 7, 7]",4
"[10, 8, 11, 9]",6,6,"[9, 7, 11, 9]",4
"[3, 14, 4, 15]",6,6,"[3, 13, 5, 15]",4
"[5, 0, 6, 1]",6,6,"[5, 0, 7, 2]",4
"[15, 13, 16, 14]",6,6,"[14, 12, 16, 14]",4
"[9, 11, 10, 12]",6,6,"[8, 10, 10, 12]",4
"[12, 8, 13, 9]",6,6,"[11, 7, 13, 9]",4
"[4, 0, 5, 1]",6,6,"[4, 0, 6, 2]",4
"[14, 2, 15, 3]",6,6,"[13, 2, 15, 4]",4
"[10, 1, 11, 2]",6,6,"[9, 1, 11, 3]",4
"[8, 4, 9, 5]",6,6,"[7, 4, 9, 6]",4
"[7, 15, 8, 16]",6,6,"[7, 14, 9, 16]",4
"[11, 9, 12, 10]",6,6,"[10, 8, 12, 10]",4
"[11, 4, 12, 5]",6,6,"[10, 4, 12, 6]",4
"[9, 12, 10, 13]",6,6,"[8, 11, 10, 13]",4
"[13, 2, 14, 3]",6,6,"[12, 2, 14, 4]",4
"[0, 6, 1, 7]",6,6,"[0, 6, 2, 8]",4
"[10, 5, 11, 6]",6,6,"[9, 5, 11, 7]",4
"[7, 7, 8, 8]",6,6,"[7, 7, 9, 9]",4
"[14, 12, 15, 13]",6,6,"[13, 11, 15, 13]",4
"[13, 1, 14, 2]",6,6,"[12, 1, 14, 3]",4
"[12, 13, 13, 14]",6,6,"[11, 12, 13, 14]",4
"[1, 5, 2, 6]",6,6,"[1, 5, 3, 7]",4
"[14, 2, 15, 3]",6,6,"[13, 2, 15, 4]",4
"[8, 5, 9, 6]",6,6,"[7, 5, 9, 7]",4
"[14, 15, 15, 16]",6,6,"[13, 14, 15, 16]",4
"[0, 1, 1, 2]",6,6,"[0, 1, 2, 3]",4
"[15, 10, 16, 11]",6,6,"[14, 9, 16, 11]",4
"[9, 14, 10, 15]",6,6,"[8, 13, 10, 15]",4
