SRC_exhaustive Query: Medium,Depth,BBoxes,Data Size
"[13, 6, 16, 9]",4,"[12, 6, 16, 10]",16
"[12, 6, 15, 9]",4,"[12, 6, 16, 10]",16
"[0, 4, 3, 7]",4,"[0, 4, 4, 8]",16
"[8, 7, 11, 10]",4,"[8, 6, 12, 10]",16
"[6, 12, 9, 15]",4,"[6, 12, 10, 16]",16
"[13, 4, 16, 7]",4,"[12, 4, 16, 8]",16
"[7, 5, 10, 8]",4,"[6, 4, 10, 8]",16
"[9, 3, 12, 6]",4,"[8, 2, 12, 6]",16
"[8, 2, 11, 5]",4,"[8, 2, 12, 6]",16
"[4, 2, 7, 5]",4,"[4, 2, 8, 6]",16
"[12, 1, 15, 4]",4,"[12, 0, 16, 4]",16
"[9, 12, 12, 15]",4,"[8, 12, 12, 16]",16
"[4, 8, 7, 11]",4,"[4, 8, 8, 12]",16
"[11, 12, 14, 15]",4,"[10, 12, 14, 16]",16
"[9, 2, 12, 5]",4,"[8, 2, 12, 6]",16
"[4, 1, 7, 4]",4,"[4, 0, 8, 4]",16
"[11, 1, 14, 4]",4,"[10, 0, 14, 4]",16
"[13, 10, 16, 13]",4,"[12, 10, 16, 14]",16
"[5, 7, 8, 10]",4,"[4, 6, 8, 10]",16
"[8, 1, 11, 4]",4,"[8, 0, 12, 4]",16
"[5, 6, 8, 9]",4,"[4, 6, 8, 10]",16
"[5, 9, 8, 12]",4,"[4, 8, 8, 12]",16
"[10, 3, 13, 6]",4,"[10, 2, 14, 6]",16
"[8, 7, 11, 10]",4,"[8, 6, 12, 10]",16
"[7, 13, 10, 16]",4,"[6, 12, 10, 16]",16
"[8, 4, 11, 7]",4,"[8, 4, 12, 8]",16
"[0, 12, 3, 15]",4,"[0, 12, 4, 16]",16
"[8, 0, 11, 3]",4,"[8, 0, 12, 4]",16
"[1, 11, 4, 14]",4,"[0, 10, 4, 14]",16
"[13, 6, 16, 9]",4,"[12, 6, 16, 10]",16
"[11, 13, 14, 16]",4,"[10, 12, 14, 16]",16
"[12, 10, 15, 13]",4,"[12, 10, 16, 14]",16
"[10, 0, 13, 3]",4,"[10, 0, 14, 4]",16
"[9, 7, 12, 10]",4,"[8, 6, 12, 10]",16
"[13, 13, 16, 16]",4,"[12, 12, 16, 16]",16
"[5, 3, 8, 6]",4,"[4, 2, 8, 6]",16
"[11, 5, 14, 8]",4,"[10, 4, 14, 8]",16
"[11, 13, 14, 16]",4,"[10, 12, 14, 16]",16
"[1, 3, 4, 6]",4,"[0, 2, 4, 6]",16
"[9, 3, 12, 6]",4,"[8, 2, 12, 6]",16
"[3, 12, 6, 15]",4,"[2, 12, 6, 16]",16
"[2, 12, 5, 15]",4,"[2, 12, 6, 16]",16
"[8, 7, 11, 10]",4,"[8, 6, 12, 10]",16
"[1, 1, 4, 4]",4,"[0, 0, 4, 4]",16
"[5, 8, 8, 11]",4,"[4, 8, 8, 12]",16
"[7, 1, 10, 4]",4,"[6, 0, 10, 4]",16
"[4, 8, 7, 11]",4,"[4, 8, 8, 12]",16
"[4, 11, 7, 14]",4,"[4, 10, 8, 14]",16
"[1, 8, 4, 11]",4,"[0, 8, 4, 12]",16
"[5, 13, 8, 16]",4,"[4, 12, 8, 16]",16
"[8, 3, 11, 6]",4,"[8, 2, 12, 6]",16
"[12, 9, 15, 12]",4,"[12, 8, 16, 12]",16
"[8, 9, 11, 12]",4,"[8, 8, 12, 12]",16
"[4, 7, 7, 10]",4,"[4, 6, 8, 10]",16
"[1, 9, 4, 12]",4,"[0, 8, 4, 12]",16
"[12, 6, 15, 9]",4,"[12, 6, 16, 10]",16
"[5, 9, 8, 12]",4,"[4, 8, 8, 12]",16
"[3, 4, 6, 7]",4,"[2, 4, 6, 8]",16
"[2, 3, 5, 6]",4,"[2, 2, 6, 6]",16
"[13, 2, 16, 5]",4,"[12, 2, 16, 6]",16
"[0, 9, 3, 12]",4,"[0, 8, 4, 12]",16
"[10, 4, 13, 7]",4,"[10, 4, 14, 8]",16
"[7, 1, 10, 4]",4,"[6, 0, 10, 4]",16
"[1, 10, 4, 13]",4,"[0, 10, 4, 14]",16
"[12, 2, 15, 5]",4,"[12, 2, 16, 6]",16
"[2, 0, 5, 3]",4,"[2, 0, 6, 4]",16
"[13, 1, 16, 4]",4,"[12, 0, 16, 4]",16
"[11, 13, 14, 16]",4,"[10, 12, 14, 16]",16
"[8, 10, 11, 13]",4,"[8, 10, 12, 14]",16
"[6, 13, 9, 16]",4,"[6, 12, 10, 16]",16
"[11, 8, 14, 11]",4,"[10, 8, 14, 12]",16
"[4, 8, 7, 11]",4,"[4, 8, 8, 12]",16
"[12, 3, 15, 6]",4,"[12, 2, 16, 6]",16
"[13, 3, 16, 6]",4,"[12, 2, 16, 6]",16
"[10, 9, 13, 12]",4,"[10, 8, 14, 12]",16
"[13, 6, 16, 9]",4,"[12, 6, 16, 10]",16
"[9, 4, 12, 7]",4,"[8, 4, 12, 8]",16
"[7, 7, 10, 10]",4,"[6, 6, 10, 10]",16
"[10, 10, 13, 13]",4,"[10, 10, 14, 14]",16
"[11, 12, 14, 15]",4,"[10, 12, 14, 16]",16
"[5, 1, 8, 4]",4,"[4, 0, 8, 4]",16
"[5, 9, 8, 12]",4,"[4, 8, 8, 12]",16
"[1, 7, 4, 10]",4,"[0, 6, 4, 10]",16
"[9, 10, 12, 13]",4,"[8, 10, 12, 14]",16
"[5, 13, 8, 16]",4,"[4, 12, 8, 16]",16
"[3, 3, 6, 6]",4,"[2, 2, 6, 6]",16
"[0, 11, 3, 14]",4,"[0, 10, 4, 14]",16
"[4, 1, 7, 4]",4,"[4, 0, 8, 4]",16
"[11, 3, 14, 6]",4,"[10, 2, 14, 6]",16
"[5, 12, 8, 15]",4,"[4, 12, 8, 16]",16
"[2, 5, 5, 8]",4,"[2, 4, 6, 8]",16
"[6, 13, 9, 16]",4,"[6, 12, 10, 16]",16
"[0, 1, 3, 4]",4,"[0, 0, 4, 4]",16
"[12, 2, 15, 5]",4,"[12, 2, 16, 6]",16
"[13, 11, 16, 14]",4,"[12, 10, 16, 14]",16
"[3, 0, 6, 3]",4,"[2, 0, 6, 4]",16
"[13, 9, 16, 12]",4,"[12, 8, 16, 12]",16
"[10, 8, 13, 11]",4,"[10, 8, 14, 12]",16
"[9, 10, 12, 13]",4,"[8, 10, 12, 14]",16
"[1, 0, 4, 3]",4,"[0, 0, 4, 4]",16
