,L2 Norm
0,0.09632517843222506
1,0.08792348946669482
2,0.07733682463383432
3,0.05788384921547633
4,0.04721588715676112
5,0.03528276255246084
6,0.038747339605844054
7,0.03909175104801523
8,0.03286668544812025
9,0.028505087265258452
10,0.027290197434849325
11,0.019558629808859293
12,0.020478486329972328
13,0.021478731768131615
14,0.02172571441096164
15,0.021307481080596997
16,0.021743237424597595
17,0.01818347506479711
18,0.018571188181452314
19,0.018084247288731682
20,0.015583011564941667
21,0.0141734649058731
22,0.013542460007782251
23,0.017137061851113473
24,0.015813285553609634
25,0.015251202300069107
26,0.01427928656100708
27,0.012743513756305298
28,0.010742037396124532
29,0.00845024654472674
30,0.008108072056055043
31,0.007377181880637061
32,0.010404582412085557
33,0.010192618945533962
34,0.010192494237207575
35,0.007775190045710356
36,0.009344133286770608
37,0.009563020304313904
38,0.009340492464213547
39,0.010132373858084746
40,0.009854435492189296
41,0.00880992791865929
42,0.007777825534033151
43,0.006669803669654391
44,0.008100708702421112
45,0.008781818733306308
46,0.010072908953923113
47,0.011651555690121364
48,0.012556088905245061
49,0.012368508398347793
50,0.010577927807891173
51,0.009330791426189566
52,0.008562688647933667
53,0.009188295471008271
54,0.009650992326831564
55,0.009041666588294292
56,0.007575178968922335
57,0.006802036835607463
58,0.006461068080968645
59,0.006182951470688475
60,0.005285082676566695
61,0.006274997046153893
62,0.006431750340806137
63,0.006841891871039755
64,0.0062358289048191
65,0.005703176824833401
66,0.00485779189809473
67,0.00504120049414276
68,0.006347146744139454
69,0.005961201084290563
70,0.004673046290654101
71,0.0052553500077257955
72,0.005365661971445673
73,0.004750553387471506
74,0.005104899607240079
75,0.006464893475180353
76,0.007574709810042789
77,0.007386900465542818
78,0.00643484022513078
79,0.006087076473973333
80,0.0056043255769978005
81,0.0064145293509013605
82,0.006180829281124759
83,0.006647189234296957
84,0.006077714695257981
85,0.005809368424596481
86,0.004836762761643234
87,0.004821795385932656
88,0.0039846210482769075
89,0.0036157064777624197
90,0.003373066854127715
91,0.0028303179031501464
92,0.003226889782248882
93,0.002407910984670126
94,0.0024069037362486633
95,0.0021892017190443033
96,0.0021634963220267833
97,0.0018383824808163788
98,0.0009357777688370752
99,0.0
