BRC Query,Data Size
"[[(6.881439547812526, 7.910912821629354), (51.32969335822194, 52.72351968612932)]]",241
"[[(8.112949100865677, 9.554604015171542), (51.462659786868954, 52.83329424776568)]]",129
"[[(9.830329545539419, 11.021369656039544), (50.52208742983757, 51.77293525061837)]]",43
"[[(11.258938973380417, 12.81034418920443), (48.28854114648238, 49.47966012629364)]]",25
"[[(7.941623068782336, 9.445388735407342), (52.44954119310621, 53.781243870186465)]]",0
"[[(10.275350184941429, 11.674369375905174), (50.95393107371224, 52.267613250768584)]]",44
"[[(11.760756152682024, 13.139916794553592), (50.171323520553194, 51.51889527445209)]]",29
"[[(7.114956356956448, 8.381234801693845), (52.5283734409688, 53.78323501050059)]]",0
"[[(11.8835094474517, 12.963637509525848), (50.045311255845654, 51.11107896282928)]]",0
"[[(7.3464959548033715, 8.720223004867254), (51.15344447345155, 52.60966084611028)]]",249
"[[(10.594384986571374, 12.082012016347342), (53.129323395848374, 54.29645053841706)]]",18
"[[(8.156446417785961, 9.465909449699382), (48.42242987189985, 49.59737947937742)]]",67
"[[(7.598885582723341, 8.79641798425793), (51.26010858335001, 52.61698485545452)]]",189
"[[(6.84322032812212, 7.945258989025621), (50.65826736321898, 52.11806846243886)]]",358
"[[(6.8224993828779485, 8.194949494616644), (51.35963788279201, 52.622388272301464)]]",256
"[[(11.641910276859047, 13.19604645956896), (53.184363364478976, 54.66397060441802)]]",32
"[[(10.77751245902994, 12.23470064357441), (52.20084498749541, 53.51551222130632)]]",42
"[[(8.477810525399727, 9.81890149289934), (52.34902744404809, 53.89466513746045)]]",41
"[[(7.835891334547004, 9.048061472680187), (52.80237846511299, 53.948385779380786)]]",0
"[[(10.422844970938206, 11.639282738205212), (50.92859345816768, 52.04869739074209)]]",35
"[[(10.883120377496727, 12.269112647091365), (52.59806551550939, 53.88711942003233)]]",10
"[[(10.489717786092337, 11.967785032152186), (51.68382953767742, 52.75306425489592)]]",59
"[[(7.1395441489396765, 8.428216243622222), (49.23195119695084, 50.449545808396536)]]",32
"[[(7.769176578439257, 9.102644136538366), (49.08252309617343, 50.09437662445132)]]",68
"[[(9.839377401282384, 11.034203522498862), (49.41523823975914, 50.71486690742835)]]",43
"[[(8.54149462833514, 9.621201668577662), (50.043610954223574, 51.466662888347095)]]",106
"[[(6.8984156206296525, 7.96079107202176), (51.27568783047459, 52.58891197784844)]]",249
"[[(8.594143962777363, 9.793258879461979), (51.41193795190238, 52.79110679579033)]]",100
"[[(8.540185556333766, 9.843531479888398), (53.05744949631693, 54.3417264552034)]]",11
"[[(10.213637922430035, 11.448696853718575), (49.409009880499376, 50.817428139288204)]]",61
"[[(10.450954886275229, 11.900126889907439), (49.49806372753999, 51.048744039677146)]]",80
"[[(10.104410856010736, 11.424246885782356), (51.13814091389176, 52.31485091592367)]]",20
"[[(9.811461915106948, 11.246674537656501), (50.63124514182828, 51.98795921043818)]]",54
"[[(9.742129829673932, 11.27623743001299), (50.06679891756464, 51.56189211099971)]]",55
"[[(7.271342241143513, 8.618698750495236), (50.772465084955826, 52.12916356780681)]]",242
"[[(12.239110395168995, 13.719946668499256), (51.77364231393402, 52.96157841961243)]]",326
"[[(8.167361285723539, 9.489602937143577), (48.229160619725924, 49.54682774648037)]]",64
"[[(8.975566212292293, 10.081101090203955), (52.45654139429223, 53.482883608632974)]]",0
"[[(9.8305531589269, 10.886201901019266), (49.35580750384823, 50.86701125919772)]]",22
"[[(10.783421430519251, 12.297503131333832), (50.43358423682735, 51.978605119280054)]]",63
"[[(10.966124039557222, 12.46061334088895), (50.48600214685173, 51.710073792853706)]]",79
"[[(7.700192755984128, 9.245337631120345), (49.9345068984219, 51.48230723317514)]]",108
"[[(7.615048478631017, 8.99389431971238), (50.53623918252043, 51.62933744101171)]]",26
"[[(8.966467955042875, 10.231304150012871), (52.57651277252142, 53.594002069914566)]]",16
"[[(8.234588667002644, 9.414274038347967), (51.695830229973325, 52.86934394812626)]]",107
"[[(9.437840893137931, 10.607251109465205), (50.63568892910164, 52.033222880645596)]]",65
"[[(9.828334552592613, 11.295412621489934), (51.87983040396444, 52.88200881435694)]]",70
"[[(11.377896971601093, 12.926647224327692), (49.14874340146732, 50.61561269978596)]]",1
"[[(6.952200948859875, 8.492862311892248), (52.675817187334225, 54.17218632533426)]]",0
"[[(7.252449639230776, 8.50243681194906), (48.739200959370194, 50.07323771766004)]]",39
"[[(9.494329861119667, 10.859690406075728), (51.791276644838504, 53.01392293185107)]]",101
"[[(10.127163034448389, 11.57071618874344), (53.003679401211684, 54.40224870908065)]]",18
"[[(11.480631000867835, 12.633635449777383), (49.035029875836656, 50.475900052233406)]]",0
"[[(8.796263058569139, 10.180740079199834), (51.41540650889682, 52.71595074641569)]]",115
"[[(10.601681914922947, 11.951298828111673), (53.04719766589081, 54.11581368399608)]]",10
"[[(10.643875321736807, 11.81442315667392), (49.050644015579635, 50.18077808046663)]]",49
"[[(9.57807897634546, 11.020184355056587), (50.17617349052867, 51.70710275941811)]]",64
"[[(8.553704230459497, 9.607301528357251), (48.67905368119455, 49.68314737645582)]]",34
"[[(12.1525393656678, 13.477765359360236), (52.569367039496996, 54.09140937814286)]]",60
"[[(8.471753921959177, 9.878173229565657), (52.943004690111266, 54.1666424213639)]]",7
"[[(12.017670059595924, 13.248975042005062), (51.96083946493713, 53.27623053369109)]]",82
"[[(7.348911840270573, 8.556400054088558), (50.40862701007617, 51.86617272245194)]]",165
"[[(12.143505795114443, 13.463755471794434), (50.67499149030931, 51.78554911630311)]]",22
"[[(9.544618822212277, 10.70305457222063), (53.02766271697087, 54.35167244856558)]]",43
"[[(11.339254068286222, 12.518566417634474), (49.308942165732724, 50.680183445677514)]]",5
"[[(10.782188663282923, 12.049324054257736), (52.10319472645817, 53.193400654434235)]]",44
"[[(12.159398022893164, 13.70873507169867), (48.123216139165265, 49.47801844285689)]]",0
"[[(10.295228940539694, 11.719227847520553), (53.14445790421289, 54.65035136244377)]]",15
"[[(9.078509501416391, 10.506036157229843), (52.749674027951926, 53.78534203621165)]]",25
"[[(8.769432811465446, 9.826229757631435), (51.43031329620409, 52.59214709263618)]]",84
"[[(8.713649824880394, 10.232603254025003), (49.30833249995204, 50.570522183565735)]]",72
"[[(8.77051406596398, 10.124891655491403), (50.419530761501086, 51.7935329296756)]]",64
"[[(7.646889072699744, 9.169005343989276), (48.45983859708268, 49.960905766839296)]]",42
"[[(7.309235303645999, 8.62946044790412), (48.81461163323909, 49.85634116079569)]]",36
"[[(8.968254460211245, 10.273982011487316), (51.82775547754232, 52.94864176527313)]]",84
"[[(7.840907257694196, 9.01294164801502), (51.02723254038503, 52.21417051207317)]]",109
"[[(9.109444535975372, 10.146593737236728), (53.07606326203437, 54.39429029376877)]]",30
"[[(9.8896896032387, 11.410239432357592), (51.30790249266323, 52.61460170552821)]]",80
"[[(10.845079699504579, 11.859160615818116), (52.94921030962992, 54.13734068771207)]]",5
"[[(11.056851916168863, 12.173606769596882), (51.92108607691754, 53.44713327457078)]]",34
"[[(8.496313340451415, 9.982408035651519), (52.476419876584394, 53.62356096113333)]]",7
"[[(11.424448777662056, 12.844707391851948), (52.725452926605485, 54.22659815277942)]]",37
"[[(10.277760393819664, 11.718140318129558), (48.492348405687615, 49.567822301056275)]]",52
"[[(9.437816082928599, 10.745908591460562), (48.25229181497002, 49.76242883012187)]]",7
"[[(9.640549898609443, 11.049882397522934), (51.09669361571282, 52.580349404769386)]]",117
"[[(9.856455712043722, 10.867758490674236), (49.46990624122014, 50.70937884831753)]]",18
"[[(9.273558617016613, 10.404081891810677), (51.97194821088305, 53.496992387481214)]]",75
"[[(7.871051924343723, 8.901634879799646), (49.47518350528369, 50.866337606513746)]]",95
"[[(6.988024810141791, 8.255952968826119), (52.22517343720134, 53.48170045628368)]]",0
"[[(10.232023889382182, 11.677707340276918), (52.956037692870574, 54.02472203053362)]]",12
"[[(8.784786588039982, 10.214131660313994), (51.72990403914707, 53.10845024621441)]]",104
"[[(10.81176212055669, 12.291833195203031), (49.80026489284082, 50.9048473386629)]]",21
"[[(8.493191348682485, 9.792186680698316), (49.44492831811263, 50.85990212204862)]]",128
"[[(7.704726090140768, 8.842321476366122), (50.96603185912759, 52.23210888332906)]]",140
"[[(11.064704610201895, 12.583505659983095), (49.026814389751436, 50.048348499256754)]]",17
"[[(10.158618992936239, 11.67766695598753), (48.399471624601354, 49.45051259075649)]]",29
"[[(8.766233213156205, 10.286134984847939), (50.05314618842123, 51.27659323574813)]]",64
"[[(11.167628095515429, 12.237608601974387), (49.50109837318063, 50.85611453706615)]]",14
"[[(8.813866727235663, 10.22540969359427), (49.93719093019158, 51.36995105421682)]]",86
"[[(9.424580233675465, 10.675757287408006), (48.312070547617886, 49.8249912824218)]]",15
"[[(7.525437994575015, 8.792042522048217), (49.71729123527315, 50.82366992369408)]]",95
"[[(11.644309353303388, 12.725077507982778), (50.114040735082376, 51.31215609294384)]]",12
"[[(11.770303831194227, 13.200236801730115), (48.797185942796546, 49.81582664090343)]]",0
"[[(9.11595280724039, 10.31556918555726), (51.114772885402026, 52.589532058914294)]]",114
"[[(10.832748516106935, 11.951234717722318), (48.796984241086726, 50.02123571234051)]]",48
"[[(8.870732848103014, 10.280382723270737), (51.23419198247691, 52.26328083369617)]]",50
"[[(9.216206844124066, 10.356017552084953), (49.97057245400876, 51.26401725194656)]]",49
"[[(8.201936649480817, 9.696498921543512), (50.30836873833932, 51.70435640983725)]]",43
