SRC_middle Query: Small,Depth,# Hops,BBoxes,Data Size
"[210096, 405503, 256711, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[228617, 29342, 275232, 75957]",1,1,"[69337, 9783, 474275, 219328]",309
"[143863, 276172, 190478, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[262883, 220419, 309498, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[419053, 167140, 465668, 213755]",1,1,"[69337, 9783, 474275, 219328]",309
"[257991, 195837, 304606, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[313977, 122643, 360592, 169258]",1,1,"[69337, 9783, 474275, 219328]",309
"[272718, 81136, 319333, 127751]",1,1,"[69337, 9783, 474275, 219328]",309
"[155881, 81384, 202496, 127999]",1,1,"[69337, 9783, 474275, 219328]",309
"[404376, 57835, 450991, 104450]",1,1,"[69337, 9783, 474275, 219328]",309
"[332320, 427234, 378935, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[139454, 287333, 186069, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[377830, 323687, 424445, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[85167, 170723, 131782, 217338]",1,1,"[69337, 9783, 474275, 219328]",309
"[59897, 390759, 106512, 219328]",1,1,"[42574, 9783, 114520, 219328]",308
"[46779, 366721, 93394, 219328]",1,1,"[42574, 9783, 114520, 219328]",308
"[181235, 255655, 227850, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[301620, 60913, 348235, 107528]",1,1,"[69337, 9783, 474275, 219328]",309
"[193605, 235748, 240220, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[173895, 328397, 220510, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[343883, 115322, 390498, 161937]",1,1,"[69337, 9783, 474275, 219328]",309
"[297798, 258207, 344413, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[240215, 281456, 286830, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[144689, 40769, 191304, 87384]",1,1,"[69337, 9783, 474275, 219328]",309
"[295793, 15478, 342408, 62093]",1,1,"[69337, 9783, 474275, 219328]",309
"[57018, 385449, 103633, 219328]",1,1,"[42574, 9783, 114520, 219328]",308
"[217215, 380494, 263830, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[419708, 358421, 466323, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[335936, 9783, 382551, 55331]",1,1,"[69337, 9783, 474275, 219328]",309
"[328927, 266893, 375542, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[182775, 135996, 229390, 182611]",1,1,"[69337, 9783, 474275, 219328]",309
"[390993, 178617, 437608, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[377028, 41138, 423643, 87753]",1,1,"[69337, 9783, 474275, 219328]",309
"[108291, 305656, 154906, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[124353, 133220, 170968, 179835]",1,1,"[69337, 9783, 474275, 219328]",309
"[82825, 292800, 129440, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[242982, 55940, 289597, 102555]",1,1,"[69337, 9783, 474275, 219328]",309
"[50293, 175917, 96908, 219328]",1,1,"[42574, 9783, 114520, 219328]",308
"[274424, 264644, 321039, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[65294, 166161, 111909, 212776]",1,1,"[42574, 9783, 114520, 219328]",308
"[297139, 160732, 343754, 207347]",1,1,"[69337, 9783, 474275, 219328]",309
"[378558, 73553, 425173, 120168]",1,1,"[69337, 9783, 474275, 219328]",309
"[295133, 182574, 341748, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[291381, 114653, 337996, 161268]",1,1,"[69337, 9783, 474275, 219328]",309
"[427247, 324359, 473862, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[295023, 316197, 341638, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[158932, 241419, 205547, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[56158, 320743, 102773, 219328]",1,1,"[42574, 9783, 114520, 219328]",308
"[426464, 209916, 473079, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[174340, 309923, 220955, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[135050, 160333, 181665, 206948]",1,1,"[69337, 9783, 474275, 219328]",309
"[104517, 107412, 151132, 154027]",1,1,"[69337, 9783, 474275, 219328]",309
"[106017, 25404, 152632, 72019]",1,1,"[69337, 9783, 474275, 219328]",309
"[329386, 352395, 376001, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[144461, 257956, 191076, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[44337, 55210, 90952, 101825]",1,1,"[42574, 9783, 114520, 219328]",308
"[363963, 405319, 410578, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[76392, 86524, 123007, 133139]",1,1,"[69337, 9783, 474275, 219328]",309
"[28376, 50190, 74991, 96805]",0,0,"[8117, 9783, 474275, 219328]",617
"[374763, 291547, 421378, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[366467, 213268, 413082, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[377888, 283144, 424503, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[152628, 281685, 199243, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[131587, 120944, 178202, 167559]",1,1,"[69337, 9783, 474275, 219328]",309
"[364357, 317342, 410972, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[228015, 312044, 274630, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[152406, 244341, 199021, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[266410, 354275, 313025, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[344288, 375236, 390903, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[424047, 195480, 470662, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[51304, 178156, 97919, 219328]",1,1,"[42574, 9783, 114520, 219328]",308
"[329391, 68593, 376006, 115208]",1,1,"[69337, 9783, 474275, 219328]",309
"[263153, 315913, 309768, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[338495, 183895, 385110, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[107930, 135537, 154545, 182152]",1,1,"[69337, 9783, 474275, 219328]",309
"[16615, 391628, 63230, 219328]",1,1,"[8117, 9783, 69337, 219328]",308
"[150218, 69529, 196833, 116144]",1,1,"[69337, 9783, 474275, 219328]",309
"[377914, 123701, 424529, 170316]",1,1,"[69337, 9783, 474275, 219328]",309
"[203183, 424707, 249798, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[97498, 182461, 144113, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[231532, 40723, 278147, 87338]",1,1,"[69337, 9783, 474275, 219328]",309
"[60864, 418696, 107479, 219328]",1,1,"[42574, 9783, 114520, 219328]",308
"[84850, 373897, 131465, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[122817, 31832, 169432, 78447]",1,1,"[69337, 9783, 474275, 219328]",309
"[308988, 340623, 355603, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[288190, 323827, 334805, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[364941, 46912, 411556, 93527]",1,1,"[69337, 9783, 474275, 219328]",309
"[22113, 73361, 68728, 119976]",1,1,"[8117, 9783, 69337, 219328]",308
"[341039, 106956, 387654, 153571]",1,1,"[69337, 9783, 474275, 219328]",309
"[326012, 310082, 372627, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[70871, 213223, 117486, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[56106, 202176, 102721, 219328]",1,1,"[42574, 9783, 114520, 219328]",308
"[68958, 27196, 115573, 73811]",0,0,"[8117, 9783, 474275, 219328]",617
"[325575, 19460, 372190, 66075]",1,1,"[69337, 9783, 474275, 219328]",309
"[110138, 105095, 156753, 151710]",1,1,"[69337, 9783, 474275, 219328]",309
"[384615, 73073, 431230, 119688]",1,1,"[69337, 9783, 474275, 219328]",309
"[259373, 118519, 305988, 165134]",1,1,"[69337, 9783, 474275, 219328]",309
"[389355, 40143, 435970, 86758]",1,1,"[69337, 9783, 474275, 219328]",309
"[364290, 20061, 410905, 66676]",1,1,"[69337, 9783, 474275, 219328]",309
"[293453, 231263, 340068, 219328]",1,1,"[69337, 9783, 474275, 219328]",309
"[333490, 61332, 380105, 107947]",1,1,"[69337, 9783, 474275, 219328]",309
"[144389, 44819, 191004, 91434]",1,1,"[69337, 9783, 474275, 219328]",309
"[123895, 45850, 170510, 92465]",1,1,"[69337, 9783, 474275, 219328]",309
"[347292, 165959, 393907, 212574]",1,1,"[69337, 9783, 474275, 219328]",309
