SRC_middle Query: Small,Depth,# Hops,BBoxes,Data Size
"[12, 15, 18, 21]",5,5,"[12, 8, 20, 24]",128
"[1, 46, 7, 52]",6,6,"[0, 44, 8, 52]",64
"[17, 7, 23, 13]",5,5,"[16, 0, 24, 16]",128
"[45, 14, 51, 20]",6,6,"[44, 12, 52, 20]",64
"[23, 50, 29, 56]",4,4,"[16, 40, 32, 56]",256
"[10, 21, 16, 27]",6,6,"[8, 20, 16, 28]",64
"[27, 52, 33, 58]",4,4,"[24, 48, 40, 64]",256
"[3, 6, 9, 12]",4,4,"[0, 0, 16, 16]",256
"[50, 9, 56, 15]",6,6,"[48, 8, 56, 16]",64
"[54, 44, 60, 50]",6,6,"[52, 44, 60, 52]",64
"[14, 2, 20, 8]",6,6,"[12, 0, 20, 8]",64
"[52, 36, 58, 42]",6,6,"[52, 36, 60, 44]",64
"[40, 58, 46, 64]",6,6,"[40, 56, 48, 64]",64
"[34, 38, 40, 44]",6,6,"[32, 36, 40, 44]",64
"[43, 4, 49, 10]",4,4,"[40, 0, 56, 16]",256
"[1, 7, 7, 13]",5,5,"[0, 0, 8, 16]",128
"[40, 12, 46, 18]",6,6,"[40, 12, 48, 20]",64
"[38, 53, 44, 59]",6,6,"[36, 52, 44, 60]",64
"[36, 7, 42, 13]",5,5,"[36, 0, 44, 16]",128
"[25, 5, 31, 11]",6,6,"[24, 4, 32, 12]",64
"[23, 53, 29, 59]",4,4,"[16, 48, 32, 64]",256
"[7, 2, 13, 8]",4,4,"[0, 0, 16, 16]",256
"[38, 1, 44, 7]",6,6,"[36, 0, 44, 8]",64
"[12, 11, 18, 17]",5,5,"[12, 8, 20, 24]",128
"[45, 7, 51, 13]",5,5,"[44, 0, 52, 16]",128
"[30, 13, 36, 19]",6,6,"[28, 12, 36, 20]",64
"[46, 51, 52, 57]",5,5,"[44, 48, 52, 64]",128
"[3, 43, 9, 49]",4,4,"[0, 40, 16, 56]",256
"[1, 34, 7, 40]",6,6,"[0, 32, 8, 40]",64
"[27, 39, 33, 45]",4,4,"[24, 32, 40, 48]",256
"[6, 53, 12, 59]",6,6,"[4, 52, 12, 60]",64
"[16, 4, 22, 10]",6,6,"[16, 4, 24, 12]",64
"[14, 4, 20, 10]",6,6,"[12, 4, 20, 12]",64
"[41, 19, 47, 25]",5,5,"[40, 16, 48, 32]",128
"[22, 27, 28, 33]",5,5,"[20, 24, 28, 40]",128
"[11, 3, 17, 9]",4,4,"[8, 0, 24, 16]",256
"[32, 29, 38, 35]",6,6,"[32, 28, 40, 36]",64
"[2, 38, 8, 44]",6,6,"[0, 36, 8, 44]",64
"[6, 44, 12, 50]",6,6,"[4, 44, 12, 52]",64
"[25, 12, 31, 18]",6,6,"[24, 12, 32, 20]",64
"[16, 22, 22, 28]",6,6,"[16, 20, 24, 28]",64
"[57, 46, 63, 52]",6,6,"[56, 44, 64, 52]",64
"[30, 53, 36, 59]",6,6,"[28, 52, 36, 60]",64
"[57, 58, 63, 64]",6,6,"[56, 56, 64, 64]",64
"[36, 10, 42, 16]",6,6,"[36, 8, 44, 16]",64
"[44, 43, 50, 49]",5,5,"[44, 40, 52, 56]",128
"[13, 49, 19, 55]",6,6,"[12, 48, 20, 56]",64
"[3, 50, 9, 56]",4,4,"[0, 40, 16, 56]",256
"[43, 10, 49, 16]",4,4,"[40, 8, 56, 24]",256
"[54, 10, 60, 16]",6,6,"[52, 8, 60, 16]",64
"[21, 33, 27, 39]",6,6,"[20, 32, 28, 40]",64
"[16, 7, 22, 13]",5,5,"[16, 0, 24, 16]",128
"[38, 58, 44, 64]",6,6,"[36, 56, 44, 64]",64
"[28, 42, 34, 48]",6,6,"[28, 40, 36, 48]",64
"[11, 0, 17, 6]",4,4,"[8, 0, 24, 16]",256
"[30, 43, 36, 49]",5,5,"[28, 40, 36, 56]",128
"[26, 57, 32, 63]",6,6,"[24, 56, 32, 64]",64
"[36, 55, 42, 61]",5,5,"[36, 48, 44, 64]",128
"[32, 58, 38, 64]",6,6,"[32, 56, 40, 64]",64
"[19, 41, 25, 47]",4,4,"[16, 32, 32, 48]",256
