SRC Query,Depth,BBoxes,Data Size
"[[(16.73, 39.08), (7.13, 34.27)]]",2,"[[0, 50], [0, 50]]",2500
"[[(26.21, 55.06), (63.01, 72.45)]]",0,"[(0, 99), (0, 99)]",10000
"[[(17.56, 32.25), (6.94, 26.65)]]",2,"[[0, 50], [0, 50]]",2500
"[[(2.75, 4.05), (68.09, 77.57)]]",3,"[[0, 25], [50, 99]]",1250
"[[(41.34, 55.25), (21.71, 24.52)]]",0,"[(0, 99), (0, 99)]",10000
"[[(63.3, 92.13), (67.21, 71.41)]]",2,"[[50, 99], [50, 99]]",2500
"[[(14.91, 33.64), (67.91, 84.49)]]",2,"[[0, 50], [50, 99]]",2500
"[[(47.69, 67.68), (17.95, 34.49)]]",0,"[(0, 99), (0, 99)]",10000
"[[(21.3, 29.37), (5.64, 14.7)]]",2,"[[0, 50], [0, 50]]",2500
"[[(68.15, 82.0), (45.18, 64.65)]]",1,"[[50, 99], (0, 99)]",5000
"[[(65.19, 77.4), (21.26, 31.65)]]",2,"[[50, 99], [0, 50]]",2500
"[[(21.95, 47.26), (61.92, 71.61)]]",2,"[[0, 50], [50, 99]]",2500
"[[(23.17, 39.79), (40.12, 58.22)]]",1,"[[0, 50], (0, 99)]",5000
"[[(16.99, 18.57), (16.89, 19.97)]]",6,"[[12, 25], [12, 25]]",169
"[[(38.2, 41.24), (5.21, 24.45)]]",5,"[[37, 50], [0, 25]]",325
"[[(20.15, 43.89), (34.18, 59.94)]]",1,"[[0, 50], (0, 99)]",5000
"[[(10.68, 26.07), (55.09, 58.3)]]",2,"[[0, 50], [50, 99]]",2500
"[[(65.78, 71.75), (53.79, 83.06)]]",3,"[[50, 75], [50, 99]]",1250
"[[(56.93, 67.11), (7.41, 23.17)]]",4,"[[50, 75], [0, 25]]",625
"[[(63.71, 73.13), (61.94, 67.01)]]",5,"[[62, 75], [50, 75]]",325
"[[(63.1, 65.01), (21.9, 48.82)]]",3,"[[50, 75], [0, 50]]",1250
"[[(55.71, 82.75), (58.26, 80.68)]]",2,"[[50, 99], [50, 99]]",2500
"[[(47.79, 53.9), (29.98, 35.51)]]",0,"[(0, 99), (0, 99)]",10000
"[[(49.54, 69.71), (17.5, 20.35)]]",0,"[(0, 99), (0, 99)]",10000
"[[(66.76, 90.96), (38.06, 54.6)]]",1,"[[50, 99], (0, 99)]",5000
"[[(58.99, 73.0), (27.42, 38.14)]]",4,"[[50, 75], [25, 50]]",625
"[[(17.88, 19.58), (44.8, 57.76)]]",1,"[[0, 50], (0, 99)]",5000
"[[(39.54, 42.33), (24.6, 29.57)]]",3,"[[25, 50], [0, 50]]",1250
"[[(8.67, 17.11), (57.45, 69.87)]]",4,"[[0, 25], [50, 75]]",625
"[[(27.79, 46.37), (16.18, 17.39)]]",4,"[[25, 50], [0, 25]]",625
"[[(36.64, 52.02), (44.96, 58.54)]]",0,"[(0, 99), (0, 99)]",10000
"[[(47.58, 69.57), (16.52, 31.73)]]",0,"[(0, 99), (0, 99)]",10000
"[[(33.18, 40.64), (28.57, 45.65)]]",4,"[[25, 50], [25, 50]]",625
"[[(62.85, 90.19), (19.07, 38.62)]]",2,"[[50, 99], [0, 50]]",2500
"[[(3.34, 6.39), (35.46, 61.64)]]",1,"[[0, 50], (0, 99)]",5000
"[[(11.05, 34.03), (61.19, 71.14)]]",2,"[[0, 50], [50, 99]]",2500
"[[(47.99, 73.36), (25.75, 46.88)]]",0,"[(0, 99), (0, 99)]",10000
"[[(51.03, 69.09), (59.34, 86.07)]]",3,"[[50, 75], [50, 99]]",1250
"[[(66.53, 83.92), (12.22, 20.41)]]",2,"[[50, 99], [0, 50]]",2500
"[[(15.08, 32.43), (52.51, 55.01)]]",2,"[[0, 50], [50, 99]]",2500
"[[(47.24, 68.82), (24.12, 39.9)]]",0,"[(0, 99), (0, 99)]",10000
"[[(11.42, 33.37), (2.82, 31.98)]]",2,"[[0, 50], [0, 50]]",2500
"[[(55.99, 75.03), (18.54, 45.74)]]",2,"[[50, 99], [0, 50]]",2500
"[[(66.49, 71.48), (53.76, 78.92)]]",3,"[[50, 75], [50, 99]]",1250
"[[(45.72, 66.82), (30.84, 58.37)]]",0,"[(0, 99), (0, 99)]",10000
"[[(67.3, 79.27), (55.63, 69.05)]]",2,"[[50, 99], [50, 99]]",2500
"[[(11.42, 21.76), (8.75, 35.83)]]",3,"[[0, 25], [0, 50]]",1250
"[[(66.49, 70.91), (41.63, 54.35)]]",1,"[[50, 99], (0, 99)]",5000
"[[(8.18, 17.66), (17.2, 39.71)]]",3,"[[0, 25], [0, 50]]",1250
"[[(0.28, 6.73), (30.41, 32.01)]]",6,"[[0, 12], [25, 37]]",144
"[[(43.49, 61.87), (57.89, 64.82)]]",0,"[(0, 99), (0, 99)]",10000
"[[(19.74, 36.31), (18.93, 36.74)]]",2,"[[0, 50], [0, 50]]",2500
"[[(17.39, 38.01), (54.82, 79.03)]]",2,"[[0, 50], [50, 99]]",2500
"[[(67.47, 84.12), (34.01, 59.57)]]",1,"[[50, 99], (0, 99)]",5000
"[[(53.3, 70.67), (26.56, 35.71)]]",4,"[[50, 75], [25, 50]]",625
"[[(7.49, 31.67), (8.18, 30.63)]]",2,"[[0, 50], [0, 50]]",2500
"[[(37.79, 66.48), (52.74, 81.68)]]",0,"[(0, 99), (0, 99)]",10000
"[[(9.47, 24.83), (39.68, 49.61)]]",4,"[[0, 25], [25, 50]]",625
"[[(34.86, 46.1), (36.62, 37.64)]]",4,"[[25, 50], [25, 50]]",625
"[[(30.65, 44.55), (21.12, 33.58)]]",3,"[[25, 50], [0, 50]]",1250
"[[(54.27, 74.88), (34.12, 53.71)]]",1,"[[50, 99], (0, 99)]",5000
"[[(26.16, 33.01), (0.27, 9.24)]]",6,"[[25, 37], [0, 12]]",144
"[[(41.45, 67.75), (57.48, 73.14)]]",0,"[(0, 99), (0, 99)]",10000
"[[(68.4, 82.65), (57.84, 70.58)]]",2,"[[50, 99], [50, 99]]",2500
"[[(51.6, 80.94), (21.16, 27.05)]]",2,"[[50, 99], [0, 50]]",2500
"[[(42.97, 59.21), (24.91, 26.01)]]",0,"[(0, 99), (0, 99)]",10000
"[[(26.97, 40.19), (28.08, 53.8)]]",1,"[[0, 50], (0, 99)]",5000
"[[(40.5, 62.56), (62.23, 84.72)]]",0,"[(0, 99), (0, 99)]",10000
"[[(34.14, 56.54), (44.38, 64.0)]]",0,"[(0, 99), (0, 99)]",10000
"[[(43.64, 56.32), (43.61, 62.8)]]",0,"[(0, 99), (0, 99)]",10000
"[[(64.94, 88.4), (58.65, 81.68)]]",2,"[[50, 99], [50, 99]]",2500
"[[(56.5, 74.88), (24.22, 32.81)]]",3,"[[50, 75], [0, 50]]",1250
"[[(49.07, 75.15), (37.72, 43.08)]]",0,"[(0, 99), (0, 99)]",10000
"[[(57.73, 72.64), (32.37, 34.67)]]",4,"[[50, 75], [25, 50]]",625
"[[(35.36, 57.73), (29.29, 40.48)]]",0,"[(0, 99), (0, 99)]",10000
"[[(45.52, 47.09), (35.15, 63.3)]]",1,"[[0, 50], (0, 99)]",5000
"[[(47.85, 60.39), (47.74, 66.1)]]",0,"[(0, 99), (0, 99)]",10000
"[[(14.48, 21.44), (61.4, 70.12)]]",5,"[[12, 25], [50, 75]]",325
"[[(5.19, 30.03), (36.26, 47.83)]]",2,"[[0, 50], [0, 50]]",2500
"[[(35.45, 57.59), (11.68, 31.42)]]",0,"[(0, 99), (0, 99)]",10000
"[[(49.44, 73.83), (18.69, 37.19)]]",0,"[(0, 99), (0, 99)]",10000
"[[(16.09, 33.19), (11.94, 35.61)]]",2,"[[0, 50], [0, 50]]",2500
"[[(60.06, 70.52), (15.41, 44.07)]]",3,"[[50, 75], [0, 50]]",1250
"[[(48.97, 74.19), (2.12, 28.93)]]",0,"[(0, 99), (0, 99)]",10000
"[[(43.14, 53.22), (29.92, 52.78)]]",0,"[(0, 99), (0, 99)]",10000
"[[(54.43, 60.88), (43.37, 49.12)]]",6,"[[50, 62], [37, 50]]",156
"[[(67.43, 81.16), (63.28, 85.18)]]",2,"[[50, 99], [50, 99]]",2500
"[[(42.01, 50.53), (36.49, 41.47)]]",0,"[(0, 99), (0, 99)]",10000
"[[(9.57, 31.11), (25.02, 47.58)]]",2,"[[0, 50], [0, 50]]",2500
"[[(16.67, 38.28), (49.79, 59.56)]]",1,"[[0, 50], (0, 99)]",5000
"[[(7.37, 19.76), (34.12, 37.99)]]",4,"[[0, 25], [25, 50]]",625
"[[(12.94, 15.53), (41.41, 67.92)]]",1,"[[0, 50], (0, 99)]",5000
"[[(15.01, 17.01), (48.78, 73.17)]]",1,"[[0, 50], (0, 99)]",5000
"[[(66.81, 85.41), (23.73, 48.78)]]",2,"[[50, 99], [0, 50]]",2500
"[[(8.18, 29.06), (6.6, 19.07)]]",2,"[[0, 50], [0, 50]]",2500
"[[(34.31, 46.16), (11.68, 19.33)]]",4,"[[25, 50], [0, 25]]",625
"[[(56.84, 71.12), (40.19, 47.27)]]",4,"[[50, 75], [25, 50]]",625
"[[(49.54, 60.01), (41.14, 68.24)]]",0,"[(0, 99), (0, 99)]",10000
"[[(68.91, 71.24), (55.26, 80.87)]]",3,"[[50, 75], [50, 99]]",1250
"[[(22.15, 34.15), (40.21, 67.58)]]",1,"[[0, 50], (0, 99)]",5000
"[[(27.72, 53.98), (52.57, 57.94)]]",0,"[(0, 99), (0, 99)]",10000
"[[(63.32, 64.76), (10.06, 30.14)]]",3,"[[50, 75], [0, 50]]",1250
"[[(3.96, 15.85), (9.01, 23.29)]]",4,"[[0, 25], [0, 25]]",625
"[[(58.21, 85.21), (2.46, 5.21)]]",2,"[[50, 99], [0, 50]]",2500
"[[(58.26, 60.49), (18.96, 23.33)]]",8,"[[56, 62], [18, 25]]",42
"[[(6.31, 8.1), (44.18, 66.55)]]",1,"[[0, 50], (0, 99)]",5000
"[[(47.59, 72.86), (45.95, 58.13)]]",0,"[(0, 99), (0, 99)]",10000
"[[(43.73, 72.56), (44.46, 52.44)]]",0,"[(0, 99), (0, 99)]",10000
