SRC_exhaustive Query: Large,Depth,BBoxes,Data Size
"[210096, 228617, 349943, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[29342, 143863, 169189, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[276172, 262883, 416019, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[220419, 167140, 360266, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[257991, 195837, 397838, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[313977, 122643, 453824, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[272718, 81136, 412565, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[155881, 81384, 295728, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[57835, 332320, 197682, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[139454, 287333, 279301, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[323687, 85167, 463534, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[170723, 59897, 310570, 199744]",1,"[69337, 9783, 474275, 219328]",309
"[46779, 181235, 186626, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[255655, 301620, 395502, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[60913, 193605, 200760, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[235748, 173895, 375595, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[328397, 115322, 468244, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[297798, 258207, 437645, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[240215, 281456, 380062, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[144689, 40769, 284536, 180616]",1,"[69337, 9783, 474275, 219328]",309
"[295793, 15478, 435640, 155325]",1,"[69337, 9783, 474275, 219328]",309
"[57018, 217215, 196865, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[8716, 328927, 148563, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[266893, 182775, 406740, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[135996, 178617, 275843, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[41138, 108291, 180985, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[305656, 124353, 445503, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[133220, 82825, 273067, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[292800, 242982, 432647, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[55940, 50293, 195787, 190140]",0,"[8117, 9783, 474275, 219328]",617
"[175917, 274424, 315764, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[264644, 65294, 404491, 205141]",1,"[69337, 9783, 474275, 219328]",309
"[166161, 297139, 306008, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[160732, 73553, 300579, 213400]",1,"[69337, 9783, 474275, 219328]",309
"[295133, 182574, 434980, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[291381, 114653, 431228, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[324359, 295023, 464206, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[316197, 158932, 456044, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[241419, 56158, 381266, 196005]",1,"[69337, 9783, 474275, 219328]",309
"[320743, 209916, 460590, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[174340, 309923, 314187, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[135050, 160333, 274897, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[104517, 107412, 244364, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[106017, 25404, 245864, 165251]",1,"[69337, 9783, 474275, 219328]",309
"[329386, 144461, 469233, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[257956, 44337, 397803, 184184]",1,"[69337, 9783, 474275, 219328]",309
"[55210, 76392, 195057, 216239]",0,"[8117, 9783, 474275, 219328]",617
"[86524, 28376, 226371, 168223]",1,"[69337, 9783, 474275, 219328]",309
"[50190, 291547, 190037, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[213268, 283144, 353115, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[152628, 281685, 292475, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[131587, 120944, 271434, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[317342, 228015, 457189, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[312044, 152406, 451891, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[244341, 266410, 384188, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[195480, 51304, 335327, 191151]",1,"[69337, 9783, 474275, 219328]",309
"[178156, 329391, 318003, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[68593, 263153, 208440, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[315913, 183895, 455760, 219328]",1,"[69337, 9783, 474275, 219328]",309
