BRC Query: Medium,Points,# Of Points
"[1, 11, 4, 14]","[(1, 11), (2, 11), (3, 11), (1, 12), (1, 13), (1, 14), (2, 12), (2, 13), (3, 12), (3, 13), (2, 14), (3, 14), (4, 11), (4, 12), (4, 13), (4, 14)]",16
"[13, 6, 16, 9]","[(13, 6), (13, 7), (14, 6), (14, 7), (15, 6), (15, 7), (13, 8), (13, 9), (14, 8), (14, 9), (15, 8), (15, 9)]",12
"[11, 13, 14, 16]","[(11, 13), (11, 14), (11, 15), (12, 13), (13, 13), (12, 14), (12, 15), (13, 14), (13, 15), (14, 13), (14, 14), (14, 15)]",12
"[12, 10, 15, 13]","[(12, 10), (12, 11), (13, 10), (13, 11), (14, 10), (14, 11), (15, 10), (15, 11), (12, 12), (12, 13), (13, 12), (13, 13), (14, 12), (14, 13), (15, 12), (15, 13)]",16
"[10, 0, 13, 3]","[(10, 0), (10, 1), (11, 0), (11, 1), (10, 2), (10, 3), (11, 2), (11, 3), (12, 0), (12, 1), (13, 0), (13, 1), (12, 2), (12, 3), (13, 2), (13, 3)]",16
"[9, 7, 12, 10]","[(9, 7), (10, 7), (11, 7), (12, 7), (9, 8), (9, 9), (9, 10), (10, 8), (10, 9), (11, 8), (11, 9), (10, 10), (11, 10), (12, 8), (12, 9), (12, 10)]",16
"[13, 13, 16, 16]","[(13, 13), (13, 14), (13, 15), (14, 13), (15, 13), (14, 14), (14, 15), (15, 14), (15, 15)]",9
"[5, 3, 8, 6]","[(5, 3), (6, 3), (7, 3), (5, 4), (5, 5), (5, 6), (6, 4), (6, 5), (7, 4), (7, 5), (6, 6), (7, 6), (8, 3), (8, 4), (8, 5), (8, 6)]",16
"[11, 5, 14, 8]","[(11, 5), (11, 6), (11, 7), (12, 5), (13, 5), (12, 6), (12, 7), (13, 6), (13, 7), (14, 5), (14, 6), (14, 7), (11, 8), (12, 8), (13, 8), (14, 8)]",16
"[11, 13, 14, 16]","[(11, 13), (11, 14), (11, 15), (12, 13), (13, 13), (12, 14), (12, 15), (13, 14), (13, 15), (14, 13), (14, 14), (14, 15)]",12
"[1, 3, 4, 6]","[(1, 3), (2, 3), (3, 3), (1, 4), (1, 5), (1, 6), (2, 4), (2, 5), (3, 4), (3, 5), (2, 6), (3, 6), (4, 3), (4, 4), (4, 5), (4, 6)]",16
"[9, 3, 12, 6]","[(9, 3), (10, 3), (11, 3), (9, 4), (9, 5), (9, 6), (10, 4), (10, 5), (11, 4), (11, 5), (10, 6), (11, 6), (12, 3), (12, 4), (12, 5), (12, 6)]",16
"[3, 12, 6, 15]","[(3, 12), (3, 13), (3, 14), (3, 15), (4, 12), (4, 13), (5, 12), (5, 13), (4, 14), (4, 15), (5, 14), (5, 15), (6, 12), (6, 13), (6, 14), (6, 15)]",16
"[2, 12, 5, 15]","[(2, 12), (2, 13), (3, 12), (3, 13), (2, 14), (2, 15), (3, 14), (3, 15), (4, 12), (4, 13), (5, 12), (5, 13), (4, 14), (4, 15), (5, 14), (5, 15)]",16
"[8, 7, 11, 10]","[(8, 7), (9, 7), (10, 7), (11, 7), (8, 8), (8, 9), (9, 8), (9, 9), (8, 10), (9, 10), (10, 8), (10, 9), (11, 8), (11, 9), (10, 10), (11, 10)]",16
"[1, 1, 4, 4]","[(1, 1), (1, 2), (1, 3), (2, 1), (3, 1), (2, 2), (2, 3), (3, 2), (3, 3), (1, 4), (2, 4), (3, 4), (4, 1), (4, 2), (4, 3), (4, 4)]",16
"[5, 8, 8, 11]","[(5, 8), (5, 9), (5, 10), (5, 11), (6, 8), (6, 9), (7, 8), (7, 9), (6, 10), (6, 11), (7, 10), (7, 11), (8, 8), (8, 9), (8, 10), (8, 11)]",16
"[7, 1, 10, 4]","[(7, 1), (7, 2), (7, 3), (7, 4), (8, 1), (9, 1), (8, 2), (8, 3), (9, 2), (9, 3), (10, 1), (10, 2), (10, 3), (8, 4), (9, 4), (10, 4)]",16
"[4, 8, 7, 11]","[(4, 8), (4, 9), (5, 8), (5, 9), (4, 10), (4, 11), (5, 10), (5, 11), (6, 8), (6, 9), (7, 8), (7, 9), (6, 10), (6, 11), (7, 10), (7, 11)]",16
"[4, 11, 7, 14]","[(4, 11), (5, 11), (6, 11), (7, 11), (4, 12), (4, 13), (5, 12), (5, 13), (4, 14), (5, 14), (6, 12), (6, 13), (7, 12), (7, 13), (6, 14), (7, 14)]",16
"[1, 8, 4, 11]","[(1, 8), (1, 9), (1, 10), (1, 11), (2, 8), (2, 9), (3, 8), (3, 9), (2, 10), (2, 11), (3, 10), (3, 11), (4, 8), (4, 9), (4, 10), (4, 11)]",16
