,BBOX,Depth
774,"[10, 0, 12, 2]",6
775,"[10, 1, 12, 3]",6
776,"[10, 2, 12, 4]",6
777,"[11, 0, 13, 4]",5
778,"[11, 0, 13, 2]",6
779,"[11, 1, 13, 3]",6
780,"[11, 2, 13, 4]",6
781,"[12, 0, 14, 4]",5
782,"[12, 0, 14, 2]",6
783,"[12, 1, 14, 3]",6
784,"[12, 2, 14, 4]",6
785,"[10, 2, 14, 6]",4
786,"[10, 2, 12, 6]",5
787,"[10, 2, 12, 4]",6
788,"[10, 3, 12, 5]",6
789,"[10, 4, 12, 6]",6
790,"[11, 2, 13, 6]",5
791,"[11, 2, 13, 4]",6
792,"[11, 3, 13, 5]",6
793,"[11, 4, 13, 6]",6
794,"[12, 2, 14, 6]",5
795,"[12, 2, 14, 4]",6
796,"[12, 3, 14, 5]",6
797,"[12, 4, 14, 6]",6
798,"[10, 4, 14, 8]",4
799,"[10, 4, 12, 8]",5
800,"[10, 4, 12, 6]",6
801,"[10, 5, 12, 7]",6
802,"[10, 6, 12, 8]",6
803,"[11, 4, 13, 8]",5
804,"[11, 4, 13, 6]",6
805,"[11, 5, 13, 7]",6
806,"[11, 6, 13, 8]",6
807,"[12, 4, 14, 8]",5
808,"[12, 4, 14, 6]",6
809,"[12, 5, 14, 7]",6
810,"[12, 6, 14, 8]",6
811,"[12, 0, 16, 8]",3
812,"[12, 0, 16, 4]",4
813,"[12, 0, 14, 4]",5
814,"[12, 0, 14, 2]",6
815,"[12, 1, 14, 3]",6
816,"[12, 2, 14, 4]",6
817,"[13, 0, 15, 4]",5
818,"[13, 0, 15, 2]",6
819,"[13, 1, 15, 3]",6
820,"[13, 2, 15, 4]",6
821,"[14, 0, 16, 4]",5
822,"[14, 0, 16, 2]",6
823,"[14, 1, 16, 3]",6
824,"[14, 2, 16, 4]",6
825,"[12, 2, 16, 6]",4
826,"[12, 2, 14, 6]",5
827,"[12, 2, 14, 4]",6
828,"[12, 3, 14, 5]",6
829,"[12, 4, 14, 6]",6
830,"[13, 2, 15, 6]",5
831,"[13, 2, 15, 4]",6
832,"[13, 3, 15, 5]",6
833,"[13, 4, 15, 6]",6
834,"[14, 2, 16, 6]",5
835,"[14, 2, 16, 4]",6
836,"[14, 3, 16, 5]",6
837,"[14, 4, 16, 6]",6
838,"[12, 4, 16, 8]",4
839,"[12, 4, 14, 8]",5
840,"[12, 4, 14, 6]",6
841,"[12, 5, 14, 7]",6
842,"[12, 6, 14, 8]",6
843,"[13, 4, 15, 8]",5
844,"[13, 4, 15, 6]",6
845,"[13, 5, 15, 7]",6
846,"[13, 6, 15, 8]",6
847,"[14, 4, 16, 8]",5
848,"[14, 4, 16, 6]",6
849,"[14, 5, 16, 7]",6
850,"[14, 6, 16, 8]",6
851,"[8, 4, 16, 12]",2
852,"[8, 4, 12, 12]",3
853,"[8, 4, 12, 8]",4
854,"[8, 4, 10, 8]",5
855,"[8, 4, 10, 6]",6
856,"[8, 5, 10, 7]",6
857,"[8, 6, 10, 8]",6
858,"[9, 4, 11, 8]",5
859,"[9, 4, 11, 6]",6
860,"[9, 5, 11, 7]",6
861,"[9, 6, 11, 8]",6
862,"[10, 4, 12, 8]",5
863,"[10, 4, 12, 6]",6
864,"[10, 5, 12, 7]",6
865,"[10, 6, 12, 8]",6
866,"[8, 6, 12, 10]",4
867,"[8, 6, 10, 10]",5
868,"[8, 6, 10, 8]",6
869,"[8, 7, 10, 9]",6
870,"[8, 8, 10, 10]",6
871,"[9, 6, 11, 10]",5
872,"[9, 6, 11, 8]",6
873,"[9, 7, 11, 9]",6
874,"[9, 8, 11, 10]",6
875,"[10, 6, 12, 10]",5
876,"[10, 6, 12, 8]",6
877,"[10, 7, 12, 9]",6
878,"[10, 8, 12, 10]",6
879,"[8, 8, 12, 12]",4
880,"[8, 8, 10, 12]",5
881,"[8, 8, 10, 10]",6
882,"[8, 9, 10, 11]",6
883,"[8, 10, 10, 12]",6
884,"[9, 8, 11, 12]",5
885,"[9, 8, 11, 10]",6
886,"[9, 9, 11, 11]",6
887,"[9, 10, 11, 12]",6
888,"[10, 8, 12, 12]",5
889,"[10, 8, 12, 10]",6
890,"[10, 9, 12, 11]",6
891,"[10, 10, 12, 12]",6
892,"[10, 4, 14, 12]",3
893,"[10, 4, 14, 8]",4
894,"[10, 4, 12, 8]",5
895,"[10, 4, 12, 6]",6
896,"[10, 5, 12, 7]",6
897,"[10, 6, 12, 8]",6
898,"[11, 4, 13, 8]",5
899,"[11, 4, 13, 6]",6
900,"[11, 5, 13, 7]",6
901,"[11, 6, 13, 8]",6
902,"[12, 4, 14, 8]",5
903,"[12, 4, 14, 6]",6
904,"[12, 5, 14, 7]",6
905,"[12, 6, 14, 8]",6
906,"[10, 6, 14, 10]",4
907,"[10, 6, 12, 10]",5
908,"[10, 6, 12, 8]",6
909,"[10, 7, 12, 9]",6
910,"[10, 8, 12, 10]",6
911,"[11, 6, 13, 10]",5
912,"[11, 6, 13, 8]",6
913,"[11, 7, 13, 9]",6
914,"[11, 8, 13, 10]",6
915,"[12, 6, 14, 10]",5
916,"[12, 6, 14, 8]",6
917,"[12, 7, 14, 9]",6
918,"[12, 8, 14, 10]",6
919,"[10, 8, 14, 12]",4
920,"[10, 8, 12, 12]",5
921,"[10, 8, 12, 10]",6
922,"[10, 9, 12, 11]",6
923,"[10, 10, 12, 12]",6
924,"[11, 8, 13, 12]",5
925,"[11, 8, 13, 10]",6
926,"[11, 9, 13, 11]",6
927,"[11, 10, 13, 12]",6
928,"[12, 8, 14, 12]",5
929,"[12, 8, 14, 10]",6
930,"[12, 9, 14, 11]",6
931,"[12, 10, 14, 12]",6
932,"[12, 4, 16, 12]",3
933,"[12, 4, 16, 8]",4
934,"[12, 4, 14, 8]",5
935,"[12, 4, 14, 6]",6
936,"[12, 5, 14, 7]",6
937,"[12, 6, 14, 8]",6
938,"[13, 4, 15, 8]",5
939,"[13, 4, 15, 6]",6
940,"[13, 5, 15, 7]",6
941,"[13, 6, 15, 8]",6
942,"[14, 4, 16, 8]",5
943,"[14, 4, 16, 6]",6
944,"[14, 5, 16, 7]",6
945,"[14, 6, 16, 8]",6
946,"[12, 6, 16, 10]",4
947,"[12, 6, 14, 10]",5
948,"[12, 6, 14, 8]",6
949,"[12, 7, 14, 9]",6
950,"[12, 8, 14, 10]",6
951,"[13, 6, 15, 10]",5
952,"[13, 6, 15, 8]",6
953,"[13, 7, 15, 9]",6
954,"[13, 8, 15, 10]",6
955,"[14, 6, 16, 10]",5
956,"[14, 6, 16, 8]",6
957,"[14, 7, 16, 9]",6
958,"[14, 8, 16, 10]",6
959,"[12, 8, 16, 12]",4
960,"[12, 8, 14, 12]",5
961,"[12, 8, 14, 10]",6
962,"[12, 9, 14, 11]",6
963,"[12, 10, 14, 12]",6
964,"[13, 8, 15, 12]",5
965,"[13, 8, 15, 10]",6
966,"[13, 9, 15, 11]",6
967,"[13, 10, 15, 12]",6
968,"[14, 8, 16, 12]",5
969,"[14, 8, 16, 10]",6
970,"[14, 9, 16, 11]",6
971,"[14, 10, 16, 12]",6
972,"[8, 8, 16, 16]",2
973,"[8, 8, 12, 16]",3
974,"[8, 8, 12, 12]",4
975,"[8, 8, 10, 12]",5
976,"[8, 8, 10, 10]",6
977,"[8, 9, 10, 11]",6
978,"[8, 10, 10, 12]",6
979,"[9, 8, 11, 12]",5
980,"[9, 8, 11, 10]",6
981,"[9, 9, 11, 11]",6
982,"[9, 10, 11, 12]",6
983,"[10, 8, 12, 12]",5
984,"[10, 8, 12, 10]",6
985,"[10, 9, 12, 11]",6
986,"[10, 10, 12, 12]",6
987,"[8, 10, 12, 14]",4
988,"[8, 10, 10, 14]",5
989,"[8, 10, 10, 12]",6
990,"[8, 11, 10, 13]",6
991,"[8, 12, 10, 14]",6
992,"[9, 10, 11, 14]",5
993,"[9, 10, 11, 12]",6
994,"[9, 11, 11, 13]",6
995,"[9, 12, 11, 14]",6
996,"[10, 10, 12, 14]",5
997,"[10, 10, 12, 12]",6
998,"[10, 11, 12, 13]",6
999,"[10, 12, 12, 14]",6
1000,"[8, 12, 12, 16]",4
1001,"[8, 12, 10, 16]",5
1002,"[8, 12, 10, 14]",6
1003,"[8, 13, 10, 15]",6
1004,"[8, 14, 10, 16]",6
1005,"[9, 12, 11, 16]",5
1006,"[9, 12, 11, 14]",6
1007,"[9, 13, 11, 15]",6
1008,"[9, 14, 11, 16]",6
1009,"[10, 12, 12, 16]",5
1010,"[10, 12, 12, 14]",6
1011,"[10, 13, 12, 15]",6
1012,"[10, 14, 12, 16]",6
1013,"[10, 8, 14, 16]",3
1014,"[10, 8, 14, 12]",4
1015,"[10, 8, 12, 12]",5
1016,"[10, 8, 12, 10]",6
1017,"[10, 9, 12, 11]",6
1018,"[10, 10, 12, 12]",6
1019,"[11, 8, 13, 12]",5
1020,"[11, 8, 13, 10]",6
1021,"[11, 9, 13, 11]",6
1022,"[11, 10, 13, 12]",6
1023,"[12, 8, 14, 12]",5
1024,"[12, 8, 14, 10]",6
1025,"[12, 9, 14, 11]",6
1026,"[12, 10, 14, 12]",6
1027,"[10, 10, 14, 14]",4
1028,"[10, 10, 12, 14]",5
1029,"[10, 10, 12, 12]",6
1030,"[10, 11, 12, 13]",6
1031,"[10, 12, 12, 14]",6
1032,"[11, 10, 13, 14]",5
1033,"[11, 10, 13, 12]",6
1034,"[11, 11, 13, 13]",6
1035,"[11, 12, 13, 14]",6
1036,"[12, 10, 14, 14]",5
1037,"[12, 10, 14, 12]",6
1038,"[12, 11, 14, 13]",6
1039,"[12, 12, 14, 14]",6
1040,"[10, 12, 14, 16]",4
1041,"[10, 12, 12, 16]",5
1042,"[10, 12, 12, 14]",6
1043,"[10, 13, 12, 15]",6
1044,"[10, 14, 12, 16]",6
1045,"[11, 12, 13, 16]",5
1046,"[11, 12, 13, 14]",6
1047,"[11, 13, 13, 15]",6
1048,"[11, 14, 13, 16]",6
1049,"[12, 12, 14, 16]",5
1050,"[12, 12, 14, 14]",6
1051,"[12, 13, 14, 15]",6
1052,"[12, 14, 14, 16]",6
1053,"[12, 8, 16, 16]",3
1054,"[12, 8, 16, 12]",4
1055,"[12, 8, 14, 12]",5
1056,"[12, 8, 14, 10]",6
1057,"[12, 9, 14, 11]",6
1058,"[12, 10, 14, 12]",6
1059,"[13, 8, 15, 12]",5
1060,"[13, 8, 15, 10]",6
1061,"[13, 9, 15, 11]",6
1062,"[13, 10, 15, 12]",6
1063,"[14, 8, 16, 12]",5
1064,"[14, 8, 16, 10]",6
1065,"[14, 9, 16, 11]",6
1066,"[14, 10, 16, 12]",6
1067,"[12, 10, 16, 14]",4
1068,"[12, 10, 14, 14]",5
1069,"[12, 10, 14, 12]",6
1070,"[12, 11, 14, 13]",6
1071,"[12, 12, 14, 14]",6
1072,"[13, 10, 15, 14]",5
1073,"[13, 10, 15, 12]",6
1074,"[13, 11, 15, 13]",6
1075,"[13, 12, 15, 14]",6
1076,"[14, 10, 16, 14]",5
1077,"[14, 10, 16, 12]",6
1078,"[14, 11, 16, 13]",6
1079,"[14, 12, 16, 14]",6
1080,"[12, 12, 16, 16]",4
1081,"[12, 12, 14, 16]",5
1082,"[12, 12, 14, 14]",6
1083,"[12, 13, 14, 15]",6
1084,"[12, 14, 14, 16]",6
1085,"[13, 12, 15, 16]",5
1086,"[13, 12, 15, 14]",6
1087,"[13, 13, 15, 15]",6
1088,"[13, 14, 15, 16]",6
1089,"[14, 12, 16, 16]",5
1090,"[14, 12, 16, 14]",6
1091,"[14, 13, 16, 15]",6
1092,"[14, 14, 16, 16]",6
