,BBOX,Depth
177,"[4, 6, 6, 8]",6
178,"[2, 6, 6, 10]",4
179,"[2, 6, 4, 10]",5
180,"[2, 6, 4, 8]",6
181,"[2, 7, 4, 9]",6
182,"[2, 8, 4, 10]",6
183,"[3, 6, 5, 10]",5
184,"[3, 6, 5, 8]",6
185,"[3, 7, 5, 9]",6
186,"[3, 8, 5, 10]",6
187,"[4, 6, 6, 10]",5
188,"[4, 6, 6, 8]",6
189,"[4, 7, 6, 9]",6
190,"[4, 8, 6, 10]",6
191,"[2, 8, 6, 12]",4
192,"[2, 8, 4, 12]",5
193,"[2, 8, 4, 10]",6
194,"[2, 9, 4, 11]",6
195,"[2, 10, 4, 12]",6
196,"[3, 8, 5, 12]",5
197,"[3, 8, 5, 10]",6
198,"[3, 9, 5, 11]",6
199,"[3, 10, 5, 12]",6
200,"[4, 8, 6, 12]",5
201,"[4, 8, 6, 10]",6
202,"[4, 9, 6, 11]",6
203,"[4, 10, 6, 12]",6
204,"[4, 4, 8, 12]",3
205,"[4, 4, 8, 8]",4
206,"[4, 4, 6, 8]",5
207,"[4, 4, 6, 6]",6
208,"[4, 5, 6, 7]",6
209,"[4, 6, 6, 8]",6
210,"[5, 4, 7, 8]",5
211,"[5, 4, 7, 6]",6
212,"[5, 5, 7, 7]",6
213,"[5, 6, 7, 8]",6
214,"[6, 4, 8, 8]",5
215,"[6, 4, 8, 6]",6
216,"[6, 5, 8, 7]",6
217,"[6, 6, 8, 8]",6
218,"[4, 6, 8, 10]",4
219,"[4, 6, 6, 10]",5
220,"[4, 6, 6, 8]",6
221,"[4, 7, 6, 9]",6
222,"[4, 8, 6, 10]",6
223,"[5, 6, 7, 10]",5
224,"[5, 6, 7, 8]",6
225,"[5, 7, 7, 9]",6
226,"[5, 8, 7, 10]",6
227,"[6, 6, 8, 10]",5
228,"[6, 6, 8, 8]",6
229,"[6, 7, 8, 9]",6
230,"[6, 8, 8, 10]",6
231,"[4, 8, 8, 12]",4
232,"[4, 8, 6, 12]",5
233,"[4, 8, 6, 10]",6
234,"[4, 9, 6, 11]",6
235,"[4, 10, 6, 12]",6
236,"[5, 8, 7, 12]",5
237,"[5, 8, 7, 10]",6
238,"[5, 9, 7, 11]",6
239,"[5, 10, 7, 12]",6
240,"[6, 8, 8, 12]",5
241,"[6, 8, 8, 10]",6
242,"[6, 9, 8, 11]",6
243,"[6, 10, 8, 12]",6
244,"[0, 8, 8, 16]",2
245,"[0, 8, 4, 16]",3
246,"[0, 8, 4, 12]",4
247,"[0, 8, 2, 12]",5
248,"[0, 8, 2, 10]",6
249,"[0, 9, 2, 11]",6
250,"[0, 10, 2, 12]",6
251,"[1, 8, 3, 12]",5
252,"[1, 8, 3, 10]",6
253,"[1, 9, 3, 11]",6
254,"[1, 10, 3, 12]",6
255,"[2, 8, 4, 12]",5
256,"[2, 8, 4, 10]",6
257,"[2, 9, 4, 11]",6
258,"[2, 10, 4, 12]",6
