,BBOX,Depth,parent
215,"[6, 4, 8, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA1B0>, <__main__.DAGTree object at 0x0000021CEA5FA2D0>]"
216,"[6, 5, 8, 7]",6,[<__main__.DAGTree object at 0x0000021CEA5FA2D0>]
217,"[6, 6, 8, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA2D0>, <__main__.DAGTree object at 0x0000021CEA5FAB40>]"
218,"[4, 6, 8, 10]",4,[<__main__.DAGTree object at 0x0000021CEA5FA3F0>]
219,"[4, 6, 6, 10]",5,"[<__main__.DAGTree object at 0x0000021CEA5FA810>, <__main__.DAGTree object at 0x0000021CEA5FAAB0>]"
220,"[4, 6, 6, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9E80>, <__main__.DAGTree object at 0x0000021CEA5FA8A0>]"
221,"[4, 7, 6, 9]",6,[<__main__.DAGTree object at 0x0000021CEA5FA8A0>]
222,"[4, 8, 6, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA8A0>, <__main__.DAGTree object at 0x0000021CEA5FA9C0>]"
223,"[5, 6, 7, 10]",5,[<__main__.DAGTree object at 0x0000021CEA5FAAB0>]
224,"[5, 6, 7, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA2A0>, <__main__.DAGTree object at 0x0000021CEA5FAB10>]"
225,"[5, 7, 7, 9]",6,[<__main__.DAGTree object at 0x0000021CEA5FAB10>]
226,"[5, 8, 7, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FAB10>, <__main__.DAGTree object at 0x0000021CEA5FAC30>]"
227,"[6, 6, 8, 10]",5,"[<__main__.DAGTree object at 0x0000021CEA5FAAB0>, <__main__.DAGTree object at 0x0000021CEA638170>]"
228,"[6, 6, 8, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA2D0>, <__main__.DAGTree object at 0x0000021CEA5FAB40>]"
229,"[6, 7, 8, 9]",6,[<__main__.DAGTree object at 0x0000021CEA5FAB40>]
230,"[6, 8, 8, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FAB40>, <__main__.DAGTree object at 0x0000021CEA5FAC60>]"
231,"[4, 8, 8, 12]",4,"[<__main__.DAGTree object at 0x0000021CEA5FA3F0>, <__main__.DAGTree object at 0x0000021CEA5FAD80>]"
232,"[4, 8, 6, 12]",5,"[<__main__.DAGTree object at 0x0000021CEA5FA840>, <__main__.DAGTree object at 0x0000021CEA5FAAE0>]"
233,"[4, 8, 6, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA8A0>, <__main__.DAGTree object at 0x0000021CEA5FA9C0>]"
234,"[4, 9, 6, 11]",6,[<__main__.DAGTree object at 0x0000021CEA5FA9C0>]
235,"[4, 10, 6, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA9C0>, <__main__.DAGTree object at 0x0000021CEA5FB290>]"
236,"[5, 8, 7, 12]",5,[<__main__.DAGTree object at 0x0000021CEA5FAAE0>]
237,"[5, 8, 7, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FAB10>, <__main__.DAGTree object at 0x0000021CEA5FAC30>]"
238,"[5, 9, 7, 11]",6,[<__main__.DAGTree object at 0x0000021CEA5FAC30>]
239,"[5, 10, 7, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FAC30>, <__main__.DAGTree object at 0x0000021CEA5FB500>]"
240,"[6, 8, 8, 12]",5,"[<__main__.DAGTree object at 0x0000021CEA5FAAE0>, <__main__.DAGTree object at 0x0000021CEA6381A0>]"
241,"[6, 8, 8, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FAB40>, <__main__.DAGTree object at 0x0000021CEA5FAC60>]"
242,"[6, 9, 8, 11]",6,[<__main__.DAGTree object at 0x0000021CEA5FAC60>]
243,"[6, 10, 8, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FAC60>, <__main__.DAGTree object at 0x0000021CEA5FB530>]"
244,"[0, 8, 8, 16]",2,[<__main__.DAGTree object at 0x0000021CEA565460>]
245,"[0, 8, 4, 16]",3,[<__main__.DAGTree object at 0x0000021CEA5146E0>]
246,"[0, 8, 4, 12]",4,"[<__main__.DAGTree object at 0x0000021CEA5FA3C0>, <__main__.DAGTree object at 0x0000021CEA5FAD50>]"
247,"[0, 8, 2, 12]",5,[<__main__.DAGTree object at 0x0000021CEA5FA480>]
248,"[0, 8, 2, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA4B0>, <__main__.DAGTree object at 0x0000021CEA5FA660>]"
249,"[0, 9, 2, 11]",6,[<__main__.DAGTree object at 0x0000021CEA5FA660>]
250,"[0, 10, 2, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA660>, <__main__.DAGTree object at 0x0000021CEA5FAE40>]"
251,"[1, 8, 3, 12]",5,[<__main__.DAGTree object at 0x0000021CEA5FA480>]
252,"[1, 8, 3, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA510>, <__main__.DAGTree object at 0x0000021CEA5FA6C0>]"
253,"[1, 9, 3, 11]",6,[<__main__.DAGTree object at 0x0000021CEA5FA6C0>]
254,"[1, 10, 3, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA6C0>, <__main__.DAGTree object at 0x0000021CEA5FAF00>]"
255,"[2, 8, 4, 12]",5,"[<__main__.DAGTree object at 0x0000021CEA5FA480>, <__main__.DAGTree object at 0x0000021CEA5FA840>]"
256,"[2, 8, 4, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA4E0>, <__main__.DAGTree object at 0x0000021CEA5FA690>]"
257,"[2, 9, 4, 11]",6,[<__main__.DAGTree object at 0x0000021CEA5FA690>]
258,"[2, 10, 4, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA690>, <__main__.DAGTree object at 0x0000021CEA5FAEA0>]"
259,"[0, 10, 4, 14]",4,[<__main__.DAGTree object at 0x0000021CEA5FAD50>]
260,"[0, 10, 2, 14]",5,[<__main__.DAGTree object at 0x0000021CEA5FADE0>]
261,"[0, 10, 2, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA660>, <__main__.DAGTree object at 0x0000021CEA5FAE40>]"
262,"[0, 11, 2, 13]",6,[<__main__.DAGTree object at 0x0000021CEA5FAE40>]
263,"[0, 12, 2, 14]",6,"[<__main__.DAGTree object at 0x0000021CEA5FAE40>, <__main__.DAGTree object at 0x0000021CEA5FB050>]"
264,"[1, 10, 3, 14]",5,[<__main__.DAGTree object at 0x0000021CEA5FADE0>]
265,"[1, 10, 3, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA6C0>, <__main__.DAGTree object at 0x0000021CEA5FAF00>]"
266,"[1, 11, 3, 13]",6,[<__main__.DAGTree object at 0x0000021CEA5FAF00>]
267,"[1, 12, 3, 14]",6,"[<__main__.DAGTree object at 0x0000021CEA5FAF00>, <__main__.DAGTree object at 0x0000021CEA5FB0B0>]"
268,"[2, 10, 4, 14]",5,"[<__main__.DAGTree object at 0x0000021CEA5FADE0>, <__main__.DAGTree object at 0x0000021CEA5FB200>]"
269,"[2, 10, 4, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA690>, <__main__.DAGTree object at 0x0000021CEA5FAEA0>]"
270,"[2, 11, 4, 13]",6,[<__main__.DAGTree object at 0x0000021CEA5FAEA0>]
271,"[2, 12, 4, 14]",6,"[<__main__.DAGTree object at 0x0000021CEA5FAEA0>, <__main__.DAGTree object at 0x0000021CEA5FB080>]"
272,"[0, 12, 4, 16]",4,[<__main__.DAGTree object at 0x0000021CEA5FAD50>]
273,"[0, 12, 2, 16]",5,[<__main__.DAGTree object at 0x0000021CEA5FAE10>]
274,"[0, 12, 2, 14]",6,"[<__main__.DAGTree object at 0x0000021CEA5FAE40>, <__main__.DAGTree object at 0x0000021CEA5FB050>]"
275,"[0, 13, 2, 15]",6,[<__main__.DAGTree object at 0x0000021CEA5FB050>]
276,"[0, 14, 2, 16]",6,[<__main__.DAGTree object at 0x0000021CEA5FB050>]
277,"[1, 12, 3, 16]",5,[<__main__.DAGTree object at 0x0000021CEA5FAE10>]
278,"[1, 12, 3, 14]",6,"[<__main__.DAGTree object at 0x0000021CEA5FAF00>, <__main__.DAGTree object at 0x0000021CEA5FB0B0>]"
279,"[1, 13, 3, 15]",6,[<__main__.DAGTree object at 0x0000021CEA5FB0B0>]
280,"[1, 14, 3, 16]",6,[<__main__.DAGTree object at 0x0000021CEA5FB0B0>]
281,"[2, 12, 4, 16]",5,"[<__main__.DAGTree object at 0x0000021CEA5FAE10>, <__main__.DAGTree object at 0x0000021CEA5FB230>]"
282,"[2, 12, 4, 14]",6,"[<__main__.DAGTree object at 0x0000021CEA5FAEA0>, <__main__.DAGTree object at 0x0000021CEA5FB080>]"
283,"[2, 13, 4, 15]",6,[<__main__.DAGTree object at 0x0000021CEA5FB080>]
284,"[2, 14, 4, 16]",6,[<__main__.DAGTree object at 0x0000021CEA5FB080>]
285,"[2, 8, 6, 16]",3,[<__main__.DAGTree object at 0x0000021CEA5146E0>]
286,"[2, 8, 6, 12]",4,"[<__main__.DAGTree object at 0x0000021CEA5FA420>, <__main__.DAGTree object at 0x0000021CEA5FADB0>]"
287,"[2, 8, 4, 12]",5,"[<__main__.DAGTree object at 0x0000021CEA5FA480>, <__main__.DAGTree object at 0x0000021CEA5FA840>]"
288,"[2, 8, 4, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA4E0>, <__main__.DAGTree object at 0x0000021CEA5FA690>]"
289,"[2, 9, 4, 11]",6,[<__main__.DAGTree object at 0x0000021CEA5FA690>]
290,"[2, 10, 4, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA690>, <__main__.DAGTree object at 0x0000021CEA5FAEA0>]"
291,"[3, 8, 5, 12]",5,[<__main__.DAGTree object at 0x0000021CEA5FA840>]
292,"[3, 8, 5, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA870>, <__main__.DAGTree object at 0x0000021CEA5FA990>]"
293,"[3, 9, 5, 11]",6,[<__main__.DAGTree object at 0x0000021CEA5FA990>]
294,"[3, 10, 5, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA990>, <__main__.DAGTree object at 0x0000021CEA5FB260>]"
295,"[4, 8, 6, 12]",5,"[<__main__.DAGTree object at 0x0000021CEA5FA840>, <__main__.DAGTree object at 0x0000021CEA5FAAE0>]"
296,"[4, 8, 6, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA8A0>, <__main__.DAGTree object at 0x0000021CEA5FA9C0>]"
297,"[4, 9, 6, 11]",6,[<__main__.DAGTree object at 0x0000021CEA5FA9C0>]
298,"[4, 10, 6, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA9C0>, <__main__.DAGTree object at 0x0000021CEA5FB290>]"
299,"[2, 10, 6, 14]",4,[<__main__.DAGTree object at 0x0000021CEA5FADB0>]
300,"[2, 10, 4, 14]",5,"[<__main__.DAGTree object at 0x0000021CEA5FADE0>, <__main__.DAGTree object at 0x0000021CEA5FB200>]"
301,"[2, 10, 4, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA690>, <__main__.DAGTree object at 0x0000021CEA5FAEA0>]"
302,"[2, 11, 4, 13]",6,[<__main__.DAGTree object at 0x0000021CEA5FAEA0>]
303,"[2, 12, 4, 14]",6,"[<__main__.DAGTree object at 0x0000021CEA5FAEA0>, <__main__.DAGTree object at 0x0000021CEA5FB080>]"
304,"[3, 10, 5, 14]",5,[<__main__.DAGTree object at 0x0000021CEA5FB200>]
305,"[3, 10, 5, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA990>, <__main__.DAGTree object at 0x0000021CEA5FB260>]"
306,"[3, 11, 5, 13]",6,[<__main__.DAGTree object at 0x0000021CEA5FB260>]
307,"[3, 12, 5, 14]",6,"[<__main__.DAGTree object at 0x0000021CEA5FB260>, <__main__.DAGTree object at 0x0000021CEA5FB380>]"
308,"[4, 10, 6, 14]",5,"[<__main__.DAGTree object at 0x0000021CEA5FB200>, <__main__.DAGTree object at 0x0000021CEA5FB4A0>]"
309,"[4, 10, 6, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA9C0>, <__main__.DAGTree object at 0x0000021CEA5FB290>]"
310,"[4, 11, 6, 13]",6,[<__main__.DAGTree object at 0x0000021CEA5FB290>]
311,"[4, 12, 6, 14]",6,"[<__main__.DAGTree object at 0x0000021CEA5FB290>, <__main__.DAGTree object at 0x0000021CEA5FB3B0>]"
312,"[2, 12, 6, 16]",4,[<__main__.DAGTree object at 0x0000021CEA5FADB0>]
313,"[2, 12, 4, 16]",5,"[<__main__.DAGTree object at 0x0000021CEA5FAE10>, <__main__.DAGTree object at 0x0000021CEA5FB230>]"
314,"[2, 12, 4, 14]",6,"[<__main__.DAGTree object at 0x0000021CEA5FAEA0>, <__main__.DAGTree object at 0x0000021CEA5FB080>]"
315,"[2, 13, 4, 15]",6,[<__main__.DAGTree object at 0x0000021CEA5FB080>]
316,"[2, 14, 4, 16]",6,[<__main__.DAGTree object at 0x0000021CEA5FB080>]
317,"[3, 12, 5, 16]",5,[<__main__.DAGTree object at 0x0000021CEA5FB230>]
318,"[3, 12, 5, 14]",6,"[<__main__.DAGTree object at 0x0000021CEA5FB260>, <__main__.DAGTree object at 0x0000021CEA5FB380>]"
319,"[3, 13, 5, 15]",6,[<__main__.DAGTree object at 0x0000021CEA5FB380>]
320,"[3, 14, 5, 16]",6,[<__main__.DAGTree object at 0x0000021CEA5FB380>]
321,"[4, 12, 6, 16]",5,"[<__main__.DAGTree object at 0x0000021CEA5FB230>, <__main__.DAGTree object at 0x0000021CEA5FB4D0>]"
322,"[4, 12, 6, 14]",6,"[<__main__.DAGTree object at 0x0000021CEA5FB290>, <__main__.DAGTree object at 0x0000021CEA5FB3B0>]"
323,"[4, 13, 6, 15]",6,[<__main__.DAGTree object at 0x0000021CEA5FB3B0>]
324,"[4, 14, 6, 16]",6,[<__main__.DAGTree object at 0x0000021CEA5FB3B0>]
325,"[4, 8, 8, 16]",3,"[<__main__.DAGTree object at 0x0000021CEA5146E0>, <__main__.DAGTree object at 0x0000021CEA5FB770>]"
326,"[4, 8, 8, 12]",4,"[<__main__.DAGTree object at 0x0000021CEA5FA3F0>, <__main__.DAGTree object at 0x0000021CEA5FAD80>]"
327,"[4, 8, 6, 12]",5,"[<__main__.DAGTree object at 0x0000021CEA5FA840>, <__main__.DAGTree object at 0x0000021CEA5FAAE0>]"
328,"[4, 8, 6, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA8A0>, <__main__.DAGTree object at 0x0000021CEA5FA9C0>]"
329,"[4, 9, 6, 11]",6,[<__main__.DAGTree object at 0x0000021CEA5FA9C0>]
330,"[4, 10, 6, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA9C0>, <__main__.DAGTree object at 0x0000021CEA5FB290>]"
331,"[5, 8, 7, 12]",5,[<__main__.DAGTree object at 0x0000021CEA5FAAE0>]
332,"[5, 8, 7, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FAB10>, <__main__.DAGTree object at 0x0000021CEA5FAC30>]"
333,"[5, 9, 7, 11]",6,[<__main__.DAGTree object at 0x0000021CEA5FAC30>]
334,"[5, 10, 7, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FAC30>, <__main__.DAGTree object at 0x0000021CEA5FB500>]"
335,"[6, 8, 8, 12]",5,"[<__main__.DAGTree object at 0x0000021CEA5FAAE0>, <__main__.DAGTree object at 0x0000021CEA6381A0>]"
336,"[6, 8, 8, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FAB40>, <__main__.DAGTree object at 0x0000021CEA5FAC60>]"
337,"[6, 9, 8, 11]",6,[<__main__.DAGTree object at 0x0000021CEA5FAC60>]
338,"[6, 10, 8, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FAC60>, <__main__.DAGTree object at 0x0000021CEA5FB530>]"
339,"[4, 10, 8, 14]",4,[<__main__.DAGTree object at 0x0000021CEA5FAD80>]
340,"[4, 10, 6, 14]",5,"[<__main__.DAGTree object at 0x0000021CEA5FB200>, <__main__.DAGTree object at 0x0000021CEA5FB4A0>]"
341,"[4, 10, 6, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA9C0>, <__main__.DAGTree object at 0x0000021CEA5FB290>]"
342,"[4, 11, 6, 13]",6,[<__main__.DAGTree object at 0x0000021CEA5FB290>]
343,"[4, 12, 6, 14]",6,"[<__main__.DAGTree object at 0x0000021CEA5FB290>, <__main__.DAGTree object at 0x0000021CEA5FB3B0>]"
344,"[5, 10, 7, 14]",5,[<__main__.DAGTree object at 0x0000021CEA5FB4A0>]
345,"[5, 10, 7, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FAC30>, <__main__.DAGTree object at 0x0000021CEA5FB500>]"
346,"[5, 11, 7, 13]",6,[<__main__.DAGTree object at 0x0000021CEA5FB500>]
347,"[5, 12, 7, 14]",6,"[<__main__.DAGTree object at 0x0000021CEA5FB500>, <__main__.DAGTree object at 0x0000021CEA5FB620>]"
348,"[6, 10, 8, 14]",5,"[<__main__.DAGTree object at 0x0000021CEA5FB4A0>, <__main__.DAGTree object at 0x0000021CEA638710>]"
349,"[6, 10, 8, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FAC60>, <__main__.DAGTree object at 0x0000021CEA5FB530>]"
350,"[6, 11, 8, 13]",6,[<__main__.DAGTree object at 0x0000021CEA5FB530>]
351,"[6, 12, 8, 14]",6,"[<__main__.DAGTree object at 0x0000021CEA5FB530>, <__main__.DAGTree object at 0x0000021CEA5FB650>]"
352,"[4, 12, 8, 16]",4,[<__main__.DAGTree object at 0x0000021CEA5FAD80>]
353,"[4, 12, 6, 16]",5,"[<__main__.DAGTree object at 0x0000021CEA5FB230>, <__main__.DAGTree object at 0x0000021CEA5FB4D0>]"
354,"[4, 12, 6, 14]",6,"[<__main__.DAGTree object at 0x0000021CEA5FB290>, <__main__.DAGTree object at 0x0000021CEA5FB3B0>]"
355,"[4, 13, 6, 15]",6,[<__main__.DAGTree object at 0x0000021CEA5FB3B0>]
356,"[4, 14, 6, 16]",6,[<__main__.DAGTree object at 0x0000021CEA5FB3B0>]
357,"[5, 12, 7, 16]",5,[<__main__.DAGTree object at 0x0000021CEA5FB4D0>]
358,"[5, 12, 7, 14]",6,"[<__main__.DAGTree object at 0x0000021CEA5FB500>, <__main__.DAGTree object at 0x0000021CEA5FB620>]"
359,"[5, 13, 7, 15]",6,[<__main__.DAGTree object at 0x0000021CEA5FB620>]
360,"[5, 14, 7, 16]",6,[<__main__.DAGTree object at 0x0000021CEA5FB620>]
361,"[6, 12, 8, 16]",5,"[<__main__.DAGTree object at 0x0000021CEA5FB4D0>, <__main__.DAGTree object at 0x0000021CEA638740>]"
362,"[6, 12, 8, 14]",6,"[<__main__.DAGTree object at 0x0000021CEA5FB530>, <__main__.DAGTree object at 0x0000021CEA5FB650>]"
363,"[6, 13, 8, 15]",6,[<__main__.DAGTree object at 0x0000021CEA5FB650>]
364,"[6, 14, 8, 16]",6,[<__main__.DAGTree object at 0x0000021CEA5FB650>]
365,"[4, 0, 12, 16]",1,[<__main__.DAGTree object at 0x0000021CE870E060>]
366,"[4, 0, 12, 8]",2,[<__main__.DAGTree object at 0x0000021CE8C8BDA0>]
367,"[4, 0, 8, 8]",3,"[<__main__.DAGTree object at 0x0000021CEA17D5E0>, <__main__.DAGTree object at 0x0000021CEA5FB740>]"
368,"[4, 0, 8, 4]",4,[<__main__.DAGTree object at 0x0000021CEA1FDDF0>]
369,"[4, 0, 6, 4]",5,"[<__main__.DAGTree object at 0x0000021CEA5F9B20>, <__main__.DAGTree object at 0x0000021CEA5F9F70>]"
370,"[4, 0, 6, 2]",6,[<__main__.DAGTree object at 0x0000021CEA5F9BE0>]
371,"[4, 1, 6, 3]",6,[<__main__.DAGTree object at 0x0000021CEA5F9BE0>]
372,"[4, 2, 6, 4]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9BE0>, <__main__.DAGTree object at 0x0000021CEA5F9D60>]"
373,"[5, 0, 7, 4]",5,[<__main__.DAGTree object at 0x0000021CEA5F9F70>]
374,"[5, 0, 7, 2]",6,[<__main__.DAGTree object at 0x0000021CEA5FA000>]
375,"[5, 1, 7, 3]",6,[<__main__.DAGTree object at 0x0000021CEA5FA000>]
376,"[5, 2, 7, 4]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA000>, <__main__.DAGTree object at 0x0000021CEA5FA180>]"
377,"[6, 0, 8, 4]",5,"[<__main__.DAGTree object at 0x0000021CEA5F9F70>, <__main__.DAGTree object at 0x0000021CEA5FB830>]"
378,"[6, 0, 8, 2]",6,[<__main__.DAGTree object at 0x0000021CEA5FA030>]
379,"[6, 1, 8, 3]",6,[<__main__.DAGTree object at 0x0000021CEA5FA030>]
380,"[6, 2, 8, 4]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA030>, <__main__.DAGTree object at 0x0000021CEA5FA1B0>]"
381,"[4, 2, 8, 6]",4,[<__main__.DAGTree object at 0x0000021CEA1FDDF0>]
382,"[4, 2, 6, 6]",5,"[<__main__.DAGTree object at 0x0000021CEA5F9B80>, <__main__.DAGTree object at 0x0000021CEA5F9FD0>]"
383,"[4, 2, 6, 4]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9BE0>, <__main__.DAGTree object at 0x0000021CEA5F9D60>]"
384,"[4, 3, 6, 5]",6,[<__main__.DAGTree object at 0x0000021CEA5F9D60>]
385,"[4, 4, 6, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9D60>, <__main__.DAGTree object at 0x0000021CEA5F9E80>]"
386,"[5, 2, 7, 6]",5,[<__main__.DAGTree object at 0x0000021CEA5F9FD0>]
387,"[5, 2, 7, 4]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA000>, <__main__.DAGTree object at 0x0000021CEA5FA180>]"
388,"[5, 3, 7, 5]",6,[<__main__.DAGTree object at 0x0000021CEA5FA180>]
389,"[5, 4, 7, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA180>, <__main__.DAGTree object at 0x0000021CEA5FA2A0>]"
390,"[6, 2, 8, 6]",5,"[<__main__.DAGTree object at 0x0000021CEA5F9FD0>, <__main__.DAGTree object at 0x0000021CEA5FB890>]"
391,"[6, 2, 8, 4]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA030>, <__main__.DAGTree object at 0x0000021CEA5FA1B0>]"
392,"[6, 3, 8, 5]",6,[<__main__.DAGTree object at 0x0000021CEA5FA1B0>]
393,"[6, 4, 8, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA1B0>, <__main__.DAGTree object at 0x0000021CEA5FA2D0>]"
394,"[4, 4, 8, 8]",4,"[<__main__.DAGTree object at 0x0000021CEA1FDDF0>, <__main__.DAGTree object at 0x0000021CEA5FA3F0>]"
395,"[4, 4, 6, 8]",5,"[<__main__.DAGTree object at 0x0000021CEA5F9B50>, <__main__.DAGTree object at 0x0000021CEA5F9FA0>]"
396,"[4, 4, 6, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9D60>, <__main__.DAGTree object at 0x0000021CEA5F9E80>]"
397,"[4, 5, 6, 7]",6,[<__main__.DAGTree object at 0x0000021CEA5F9E80>]
398,"[4, 6, 6, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9E80>, <__main__.DAGTree object at 0x0000021CEA5FA8A0>]"
399,"[5, 4, 7, 8]",5,[<__main__.DAGTree object at 0x0000021CEA5F9FA0>]
400,"[5, 4, 7, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA180>, <__main__.DAGTree object at 0x0000021CEA5FA2A0>]"
401,"[5, 5, 7, 7]",6,[<__main__.DAGTree object at 0x0000021CEA5FA2A0>]
402,"[5, 6, 7, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA2A0>, <__main__.DAGTree object at 0x0000021CEA5FAB10>]"
403,"[6, 4, 8, 8]",5,"[<__main__.DAGTree object at 0x0000021CEA5F9FA0>, <__main__.DAGTree object at 0x0000021CEA5FB860>]"
404,"[6, 4, 8, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA1B0>, <__main__.DAGTree object at 0x0000021CEA5FA2D0>]"
405,"[6, 5, 8, 7]",6,[<__main__.DAGTree object at 0x0000021CEA5FA2D0>]
406,"[6, 6, 8, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA2D0>, <__main__.DAGTree object at 0x0000021CEA5FAB40>]"
407,"[6, 0, 10, 8]",3,[<__main__.DAGTree object at 0x0000021CEA5FB740>]
408,"[6, 0, 10, 4]",4,[<__main__.DAGTree object at 0x0000021CEA5FB7D0>]
409,"[6, 0, 8, 4]",5,"[<__main__.DAGTree object at 0x0000021CEA5F9F70>, <__main__.DAGTree object at 0x0000021CEA5FB830>]"
410,"[6, 0, 8, 2]",6,[<__main__.DAGTree object at 0x0000021CEA5FA030>]
411,"[6, 1, 8, 3]",6,[<__main__.DAGTree object at 0x0000021CEA5FA030>]
412,"[6, 2, 8, 4]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA030>, <__main__.DAGTree object at 0x0000021CEA5FA1B0>]"
413,"[7, 0, 9, 4]",5,[<__main__.DAGTree object at 0x0000021CEA5FB830>]
414,"[7, 0, 9, 2]",6,[<__main__.DAGTree object at 0x0000021CEA5FB8C0>]
415,"[7, 1, 9, 3]",6,[<__main__.DAGTree object at 0x0000021CEA5FB8C0>]
416,"[7, 2, 9, 4]",6,"[<__main__.DAGTree object at 0x0000021CEA5FB8C0>, <__main__.DAGTree object at 0x0000021CEA5FBA40>]"
417,"[8, 0, 10, 4]",5,"[<__main__.DAGTree object at 0x0000021CEA5FB830>, <__main__.DAGTree object at 0x0000021CEA5FBC80>]"
418,"[8, 0, 10, 2]",6,[<__main__.DAGTree object at 0x0000021CEA5FB8F0>]
419,"[8, 1, 10, 3]",6,[<__main__.DAGTree object at 0x0000021CEA5FB8F0>]
420,"[8, 2, 10, 4]",6,"[<__main__.DAGTree object at 0x0000021CEA5FB8F0>, <__main__.DAGTree object at 0x0000021CEA5FBA70>]"
421,"[6, 2, 10, 6]",4,[<__main__.DAGTree object at 0x0000021CEA5FB7D0>]
422,"[6, 2, 8, 6]",5,"[<__main__.DAGTree object at 0x0000021CEA5F9FD0>, <__main__.DAGTree object at 0x0000021CEA5FB890>]"
423,"[6, 2, 8, 4]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA030>, <__main__.DAGTree object at 0x0000021CEA5FA1B0>]"
424,"[6, 3, 8, 5]",6,[<__main__.DAGTree object at 0x0000021CEA5FA1B0>]
425,"[6, 4, 8, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA1B0>, <__main__.DAGTree object at 0x0000021CEA5FA2D0>]"
426,"[7, 2, 9, 6]",5,[<__main__.DAGTree object at 0x0000021CEA5FB890>]
427,"[7, 2, 9, 4]",6,"[<__main__.DAGTree object at 0x0000021CEA5FB8C0>, <__main__.DAGTree object at 0x0000021CEA5FBA40>]"
428,"[7, 3, 9, 5]",6,[<__main__.DAGTree object at 0x0000021CEA5FBA40>]
429,"[7, 4, 9, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5FBA40>, <__main__.DAGTree object at 0x0000021CEA5FBB60>]"
430,"[8, 2, 10, 6]",5,"[<__main__.DAGTree object at 0x0000021CEA5FB890>, <__main__.DAGTree object at 0x0000021CEA5FBCE0>]"
431,"[8, 2, 10, 4]",6,"[<__main__.DAGTree object at 0x0000021CEA5FB8F0>, <__main__.DAGTree object at 0x0000021CEA5FBA70>]"
432,"[8, 3, 10, 5]",6,[<__main__.DAGTree object at 0x0000021CEA5FBA70>]
