,BBOX,Depth,parent
66,"[4, 2, 6, 6]",5,"[<__main__.DAGTree object at 0x0000021CEA5F9B80>, <__main__.DAGTree object at 0x0000021CEA5F9FD0>]"
67,"[4, 2, 6, 4]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9BE0>, <__main__.DAGTree object at 0x0000021CEA5F9D60>]"
68,"[4, 3, 6, 5]",6,[<__main__.DAGTree object at 0x0000021CEA5F9D60>]
69,"[4, 4, 6, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9D60>, <__main__.DAGTree object at 0x0000021CEA5F9E80>]"
70,"[2, 4, 6, 8]",4,"[<__main__.DAGTree object at 0x0000021CEA1FFE00>, <__main__.DAGTree object at 0x0000021CEA5FA420>]"
71,"[2, 4, 4, 8]",5,"[<__main__.DAGTree object at 0x0000021CEA4ED1C0>, <__main__.DAGTree object at 0x0000021CEA5F9B50>]"
72,"[2, 4, 4, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9790>, <__main__.DAGTree object at 0x0000021CEA5F9940>]"
73,"[2, 5, 4, 7]",6,[<__main__.DAGTree object at 0x0000021CEA5F9940>]
74,"[2, 6, 4, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9940>, <__main__.DAGTree object at 0x0000021CEA5FA4E0>]"
75,"[3, 4, 5, 8]",5,[<__main__.DAGTree object at 0x0000021CEA5F9B50>]
76,"[3, 4, 5, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9D30>, <__main__.DAGTree object at 0x0000021CEA5F9E50>]"
77,"[3, 5, 5, 7]",6,[<__main__.DAGTree object at 0x0000021CEA5F9E50>]
78,"[3, 6, 5, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9E50>, <__main__.DAGTree object at 0x0000021CEA5FA870>]"
79,"[4, 4, 6, 8]",5,"[<__main__.DAGTree object at 0x0000021CEA5F9B50>, <__main__.DAGTree object at 0x0000021CEA5F9FA0>]"
80,"[4, 4, 6, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9D60>, <__main__.DAGTree object at 0x0000021CEA5F9E80>]"
81,"[4, 5, 6, 7]",6,[<__main__.DAGTree object at 0x0000021CEA5F9E80>]
82,"[4, 6, 6, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9E80>, <__main__.DAGTree object at 0x0000021CEA5FA8A0>]"
83,"[4, 0, 8, 8]",3,"[<__main__.DAGTree object at 0x0000021CEA17D5E0>, <__main__.DAGTree object at 0x0000021CEA5FB740>]"
84,"[4, 0, 8, 4]",4,[<__main__.DAGTree object at 0x0000021CEA1FDDF0>]
85,"[4, 0, 6, 4]",5,"[<__main__.DAGTree object at 0x0000021CEA5F9B20>, <__main__.DAGTree object at 0x0000021CEA5F9F70>]"
86,"[4, 0, 6, 2]",6,[<__main__.DAGTree object at 0x0000021CEA5F9BE0>]
87,"[4, 1, 6, 3]",6,[<__main__.DAGTree object at 0x0000021CEA5F9BE0>]
88,"[4, 2, 6, 4]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9BE0>, <__main__.DAGTree object at 0x0000021CEA5F9D60>]"
89,"[5, 0, 7, 4]",5,[<__main__.DAGTree object at 0x0000021CEA5F9F70>]
90,"[5, 0, 7, 2]",6,[<__main__.DAGTree object at 0x0000021CEA5FA000>]
91,"[5, 1, 7, 3]",6,[<__main__.DAGTree object at 0x0000021CEA5FA000>]
92,"[5, 2, 7, 4]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA000>, <__main__.DAGTree object at 0x0000021CEA5FA180>]"
93,"[6, 0, 8, 4]",5,"[<__main__.DAGTree object at 0x0000021CEA5F9F70>, <__main__.DAGTree object at 0x0000021CEA5FB830>]"
94,"[6, 0, 8, 2]",6,[<__main__.DAGTree object at 0x0000021CEA5FA030>]
95,"[6, 1, 8, 3]",6,[<__main__.DAGTree object at 0x0000021CEA5FA030>]
96,"[6, 2, 8, 4]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA030>, <__main__.DAGTree object at 0x0000021CEA5FA1B0>]"
97,"[4, 2, 8, 6]",4,[<__main__.DAGTree object at 0x0000021CEA1FDDF0>]
98,"[4, 2, 6, 6]",5,"[<__main__.DAGTree object at 0x0000021CEA5F9B80>, <__main__.DAGTree object at 0x0000021CEA5F9FD0>]"
99,"[4, 2, 6, 4]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9BE0>, <__main__.DAGTree object at 0x0000021CEA5F9D60>]"
100,"[4, 3, 6, 5]",6,[<__main__.DAGTree object at 0x0000021CEA5F9D60>]
101,"[4, 4, 6, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9D60>, <__main__.DAGTree object at 0x0000021CEA5F9E80>]"
102,"[5, 2, 7, 6]",5,[<__main__.DAGTree object at 0x0000021CEA5F9FD0>]
103,"[5, 2, 7, 4]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA000>, <__main__.DAGTree object at 0x0000021CEA5FA180>]"
104,"[5, 3, 7, 5]",6,[<__main__.DAGTree object at 0x0000021CEA5FA180>]
