,BRC Size,SRC Size,Diff,F/P %,Error %,SRC Depth
0,980,5262,4282,5.369387755102041,18.62409730140631,2
1,0,1316,1316,inf,0.0,4
2,485,21048,20563,43.3979381443299,2.304256936526036,0
3,790,21048,20258,26.643037974683544,3.7533257316609654,0
4,6,21048,21042,3508.0,0.028506271379703536,0
5,759,5262,4503,6.932806324110672,14.424173318129988,2
6,0,1316,1316,inf,0.0,4
7,684,5262,4578,7.692982456140351,12.998859749144811,2
8,361,1316,955,3.6454293628808863,27.43161094224924,4
9,0,5262,5262,inf,0.0,2
10,701,2631,1930,3.75320970042796,26.643861649562904,3
11,0,1316,1316,inf,0.0,4
12,1319,2631,1312,1.9946929492039425,50.13302926643861,3
13,0,1316,1316,inf,0.0,4
14,19,5262,5243,276.94736842105266,0.36107943747624477,2
15,0,1316,1316,inf,0.0,4
16,1,1316,1315,1316.0,0.07598784194528875,4
17,157,21048,20891,134.06369426751593,0.7459141011022425,0
18,447,21048,20601,47.08724832214765,2.1237172177879136,0
19,594,2631,2037,4.429292929292929,22.5769669327252,3
20,714,21048,20334,29.478991596638654,3.3922462941847207,0
21,1407,21048,19641,14.959488272921108,6.684720638540479,0
22,1201,5262,4061,4.38134887593672,22.82402128468263,2
23,254,1315,1061,5.177165354330708,19.315589353612168,4
24,715,21048,20333,29.43776223776224,3.396997339414671,0
25,1241,5262,4021,4.240128928283642,23.584188521474726,2
26,468,2631,2163,5.621794871794871,17.787913340935006,3
27,987,2631,1644,2.6656534954407296,37.51425313568985,3
28,830,5262,4432,6.339759036144578,15.773470163435958,2
29,0,21048,21048,inf,0.0,0
30,0,5262,5262,inf,0.0,2
31,974,5262,4288,5.402464065708419,18.510072215887497,2
32,0,82,82,inf,0.0,8
33,0,1316,1316,inf,0.0,4
34,304,5262,4958,17.30921052631579,5.777270999619916,2
35,0,1316,1316,inf,0.0,4
36,826,21048,20222,25.4818401937046,3.924363359939187,0
37,125,21048,20923,168.384,0.5938806537438237,0
38,1282,10524,9242,8.209048361934478,12.181679969593311,1
39,704,5262,4558,7.474431818181818,13.37894336754086,2
40,456,5262,4806,11.539473684210526,8.665906499429875,2
41,0,1315,1315,inf,0.0,4
42,7,5262,5255,751.7142857142857,0.13302926643861648,2
43,0,2,2,inf,0.0,13
44,651,1316,665,2.021505376344086,49.46808510638298,4
45,850,2631,1781,3.0952941176470588,32.307107563664005,3
46,475,21048,20573,44.311578947368425,2.2567464842265297,0
47,1691,10524,8833,6.223536369012419,16.068034967692892,1
48,0,5262,5262,inf,0.0,2
49,869,10524,9655,12.110471806674338,8.257316609654124,1
50,582,1315,733,2.259450171821306,44.258555133079845,4
51,939,5262,4323,5.603833865814696,17.844925883694412,2
52,1417,2631,1214,1.8567395906845447,53.85784872671988,3
53,1296,21048,19752,16.24074074074074,6.1573546180159635,0
