,BRC Size,SRC Size,Diff,F/P %,SRC Depth,Error %
0,793,5262,4469,6.635561160151324,2,15.070315469403269
1,2068,10524,8456,5.088974854932302,1,19.650323071075636
2,501,5262,4761,10.502994011976048,2,9.52109464082098
3,1403,10524,9121,7.501069137562366,1,13.331432915241354
4,1115,5262,4147,4.719282511210762,2,21.18966172557963
5,2095,10524,8429,5.023389021479714,1,19.906879513492967
6,2274,5262,2988,2.3139841688654355,2,43.21550741163056
7,1057,21048,19991,19.912961210974455,0,5.021854808057773
8,0,1315,1315,inf,4,0.0
9,0,5262,5262,inf,2,0.0
10,0,2,2,inf,13,0.0
11,0,5262,5262,inf,2,0.0
12,5,5262,5257,1052.4,2,0.09502090459901177
13,58,21048,20990,362.8965517241379,0,0.27556062333713416
14,774,5262,4488,6.7984496124031,2,14.709236031927023
15,63,21048,20985,334.0952380952381,0,0.2993158494868871
16,2400,10524,8124,4.385,1,22.80501710376283
17,817,2631,1814,3.2203182374541,3,31.05283162295705
18,1693,10524,8831,6.216184288245717,1,16.087039148612696
19,973,21048,20075,21.632065775950668,0,4.622767008741923
20,796,21048,20252,26.44221105527638,0,3.7818320030406687
21,1397,5262,3865,3.766642806012885,2,26.548840744963893
22,329,5262,4933,15.993920972644377,2,6.252375522614975
23,1683,2631,948,1.5632798573975044,3,63.968072976054735
24,3290,10524,7234,3.1987841945288755,1,31.26187761307488
25,1743,10524,8781,6.037865748709122,1,16.562143671607753
26,207,5262,5055,25.420289855072465,2,3.9338654503990877
27,26,1316,1290,50.61538461538461,4,1.9756838905775076
28,998,21048,20050,21.090180360721444,0,4.7415431394906875
29,31,5262,5231,169.74193548387098,2,0.589129608513873
30,1234,21048,19814,17.056726094003242,0,5.862789813759027
31,896,21048,20152,23.491071428571427,0,4.2569365260357275
32,2748,10524,7776,3.8296943231441047,1,26.111744583808438
33,1245,21048,19803,16.906024096385543,0,5.915051311288484
34,194,21048,20854,108.49484536082474,0,0.9217027746104143
35,1109,21048,19939,18.97926059513075,0,5.268909160015204
36,1944,10524,8580,5.41358024691358,1,18.47206385404789
37,505,21048,20543,41.67920792079208,0,2.3992778411250475
38,1250,21048,19798,16.8384,0,5.938806537438237
39,2437,5262,2825,2.1592121460812472,2,46.31318890155834
40,0,657,657,inf,5,0.0
41,1472,21048,19576,14.298913043478262,0,6.993538578487267
42,2175,10524,8349,4.838620689655173,1,20.667046750285063
43,33,657,624,19.90909090909091,5,5.0228310502283104
44,0,329,329,inf,6,0.0
45,1361,21048,19687,15.465099191770756,0,6.466172557962752
46,681,21048,20367,30.90748898678414,0,3.235461801596351
47,873,1315,442,1.5063001145475372,4,66.38783269961978
48,1538,5262,3724,3.4213263979193758,2,29.228430254656026
49,735,21048,20313,28.63673469387755,0,3.492018244013683
50,1399,21048,19649,15.045032165832737,0,6.646712276700874
51,780,5262,4482,6.746153846153846,2,14.823261117445838
52,0,5262,5262,inf,2,0.0
53,1256,2631,1375,2.0947452229299364,3,47.73850247054352
54,1809,5262,3453,2.9087893864013266,2,34.37856328392247
55,10,2631,2621,263.1,3,0.3800836183960471
56,274,5262,4988,19.204379562043794,2,5.207145572025846
57,1752,5262,3510,3.0034246575342465,2,33.29532497149373
58,2096,21048,18952,10.041984732824428,0,9.958190801976436
59,366,5262,4896,14.37704918032787,2,6.955530216647662
60,114,21048,20934,184.6315789473684,0,0.5416191562143672
61,1420,5262,3842,3.7056338028169016,2,26.985936906119345
62,0,1316,1316,inf,4,0.0
63,2709,21048,18339,7.769656699889258,0,12.870581527936146
64,14,5262,5248,375.85714285714283,2,0.26605853287723297
65,1736,5262,3526,3.03110599078341,2,32.991258076776894
66,1962,21048,19086,10.72782874617737,0,9.321550741163055
67,2609,10524,7915,4.033729398236872,1,24.790954009882174
68,0,1316,1316,inf,4,0.0
69,678,21048,20370,31.04424778761062,0,3.221208665906499
70,7,5262,5255,751.7142857142857,2,0.13302926643861648
71,311,5262,4951,16.919614147909968,2,5.910300266058533
72,219,21048,20829,96.10958904109589,0,1.040478905359179
73,557,5262,4705,9.447037701974866,2,10.585328772329913
74,98,5262,5164,53.69387755102041,2,1.8624097301406308
75,1044,21048,20004,20.160919540229884,0,4.960091220068415
76,0,5262,5262,inf,2,0.0
77,746,5262,4516,7.053619302949062,2,14.177118966172559
78,924,5262,4338,5.694805194805195,2,17.559863169897376
79,144,5262,5118,36.541666666666664,2,2.7366020524515395
80,2147,10524,8377,4.9017233348858875,1,20.400988217407832
81,1035,5262,4227,5.084057971014492,2,19.66932725199544
82,0,1315,1315,inf,4,0.0
83,364,1316,952,3.6153846153846154,4,27.659574468085108
84,1598,10524,8926,6.585732165206508,1,15.184340554922082
85,0,5262,5262,inf,2,0.0
86,1528,10524,8996,6.887434554973822,1,14.519194222729
87,974,10524,9550,10.804928131416839,1,9.255036107943749
88,0,5262,5262,inf,2,0.0
89,0,1315,1315,inf,4,0.0
90,1586,5262,3676,3.317780580075662,2,30.140630938806538
91,2382,10524,8142,4.418136020151134,1,22.633979475484605
92,1357,10524,9167,7.755342667649226,1,12.8943367540859
93,0,5262,5262,inf,2,0.0
94,865,21048,20183,24.332947976878614,0,4.1096541239072595
95,1495,21048,19553,14.078929765886288,0,7.10281261877613
96,1467,10524,9057,7.173824130879345,1,13.939566704675027
97,560,5262,4702,9.396428571428572,2,10.64234131508932
98,1465,21048,19583,14.367235494880546,0,6.960281261877613
99,0,5262,5262,inf,2,0.0
100,2428,21048,18620,8.668863261943986,0,11.535537818320032
101,2156,2631,475,1.2203153988868274,3,81.94602812618777
102,2063,21048,18985,10.20261754726127,0,9.801406309388065
103,1562,5262,3700,3.3687580025608193,2,29.68453059673128
104,2309,21048,18739,9.115634473798181,0,10.970163435955909
105,455,5262,4807,11.564835164835165,2,8.646902318510072
106,3090,21048,17958,6.8116504854368936,0,14.68072976054732
107,1199,2631,1432,2.1943286071726438,3,45.57202584568605
108,393,10524,10131,26.778625954198475,1,3.7343215507411633
109,0,5262,5262,inf,2,0.0
110,2525,10524,7999,4.167920792079208,1,23.992778411250477
111,2038,10524,8486,5.1638861629048085,1,19.3652603572786
112,720,5262,4542,7.308333333333334,2,13.683010262257698
113,2108,5262,3154,2.4962049335863377,2,40.060813378943365
114,1352,10524,9172,7.784023668639053,1,12.846826301786393
115,969,10524,9555,10.860681114551083,1,9.207525655644242
116,0,1315,1315,inf,4,0.0
117,2150,21048,18898,9.789767441860466,0,10.214747244393767
118,1006,21048,20042,20.922465208747514,0,4.7795515013302925
119,1626,5262,3636,3.236162361623616,2,30.90079817559863
120,1236,2631,1395,2.128640776699029,3,46.97833523375142
121,956,2631,1675,2.752092050209205,3,36.335993918662105
122,445,21048,20603,47.29887640449438,0,2.1142151273280123
123,965,21048,20083,21.81139896373057,0,4.584758646902318
124,1813,21048,19235,11.609487038058466,0,8.613645001900418
125,11,5262,5251,478.3636363636364,2,0.20904599011782593
126,857,5262,4405,6.14002333722287,2,16.28658304827062
127,615,2631,2016,4.278048780487805,3,23.3751425313569
128,1825,5262,3437,2.8832876712328765,2,34.6826301786393
129,2857,21048,18191,7.367168358417921,0,13.573736221968833
130,696,2631,1935,3.7801724137931036,3,26.45381984036488
131,1138,10524,9386,9.24780316344464,1,10.81337894336754
132,1542,10524,8982,6.824902723735408,1,14.652223489167618
133,1562,21048,19486,13.475032010243277,0,7.42113264918282
134,203,5262,5059,25.92118226600985,2,3.8578487267198787
135,1160,5262,4102,4.536206896551724,2,22.044849866970733
136,935,5262,4327,5.627807486631016,2,17.768909160015202
137,0,5262,5262,inf,2,0.0
138,0,1316,1316,inf,4,0.0
139,176,5262,5086,29.897727272727273,2,3.344735841885215
140,188,21048,20860,111.95744680851064,0,0.8931965032307109
141,693,21048,20355,30.372294372294373,0,3.2924743443557585
142,38,21048,21010,553.8947368421053,0,0.18053971873812238
143,1298,2631,1333,2.026964560862866,3,49.33485366780692
144,0,21048,21048,inf,0,0.0
145,12,5262,5250,438.5,2,0.22805017103762829
146,0,1315,1315,inf,4,0.0
147,558,5262,4704,9.43010752688172,2,10.604332953249715
148,220,1316,1096,5.9818181818181815,4,16.717325227963524
149,728,10524,9796,14.456043956043956,1,6.917521854808058
150,1232,21048,19816,17.084415584415584,0,5.853287723299125
151,233,5262,5029,22.583690987124463,2,4.427974154313949
152,1134,5262,4128,4.64021164021164,2,21.55074116305587
153,578,5262,4684,9.103806228373703,2,10.984416571645763
154,1957,10524,8567,5.377618804292284,1,18.595591030026608
155,2442,10524,8082,4.30958230958231,1,23.204104903078676
156,548,5262,4714,9.602189781021897,2,10.414291144051692
157,2350,10524,8174,4.478297872340425,1,22.32991258076777
158,510,21048,20538,41.27058823529412,0,2.4230330672748006
159,1373,10524,9151,7.664967225054625,1,13.046370201444319
160,953,21048,20095,22.08604407135362,0,4.527746104142912
161,2309,5262,2953,2.2789086184495453,2,43.880653743823636
162,1390,10524,9134,7.571223021582734,1,13.207905739262637
163,61,5262,5201,86.26229508196721,2,1.1592550361079437
164,2592,21048,18456,8.12037037037037,0,12.314709236031927
165,1862,21048,19186,11.303974221267454,0,8.846446218167998
166,1375,10524,9149,7.653818181818182,1,13.06537438236412
167,1396,5262,3866,3.7693409742120343,2,26.52983656404409
168,458,21048,20590,45.956331877729255,0,2.17597871531737
169,373,5262,4889,14.107238605898123,2,7.0885594830862795
170,0,5262,5262,inf,2,0.0
171,47,5262,5215,111.95744680851064,2,0.8931965032307109
172,802,21048,20246,26.24438902743142,0,3.8103382744203724
173,2180,10524,8344,4.827522935779816,1,20.71455720258457
174,2197,10524,8327,4.790168411470186,1,20.87609274040289
175,1705,10524,8819,6.172434017595308,1,16.20106423413151
176,2126,5262,3136,2.4750705550329255,2,40.402888635499814
177,57,5262,5205,92.3157894736842,2,1.0832383124287344
178,1975,2631,656,1.3321518987341772,3,75.0665146332193
179,733,21048,20315,28.714870395634378,0,3.4825161535537816
180,1344,2631,1287,1.9575892857142858,3,51.08323831242873
181,1960,10524,8564,5.369387755102041,1,18.62409730140631
182,622,5262,4640,8.459807073954984,2,11.820600532117066
183,377,658,281,1.7453580901856764,5,57.29483282674772
184,0,5262,5262,inf,2,0.0
185,851,10524,9673,12.36662749706228,1,8.086278981375902
186,1737,10524,8787,6.058721934369602,1,16.505131128848348
187,436,21048,20612,48.27522935779817,0,2.0714557202584567
188,3349,10524,7175,3.14243057629143,1,31.822500950209047
189,3725,10524,6799,2.825234899328859,1,35.39528696313189
190,480,21048,20568,43.85,0,2.280501710376283
191,1188,10524,9336,8.858585858585858,1,11.2884834663626
192,2028,21048,19020,10.378698224852071,0,9.635119726339795
193,90,5262,5172,58.46666666666667,2,1.7103762827822122
194,1911,5262,3351,2.7535321821036107,2,36.316989737742304
195,1320,21048,19728,15.945454545454545,0,6.2713797035347785
196,505,21048,20543,41.67920792079208,0,2.3992778411250475
197,812,21048,20236,25.92118226600985,0,3.8578487267198787
198,0,5262,5262,inf,2,0.0
199,11,5262,5251,478.3636363636364,2,0.20904599011782593
200,172,21048,20876,122.37209302325581,0,0.8171797795515013
201,3639,10524,6885,2.892003297609233,1,34.578107183580386
202,735,1315,580,1.7891156462585034,4,55.893536121673
203,1021,2631,1610,2.5768854064642506,3,38.80653743823641
204,0,5262,5262,inf,2,0.0
205,37,5262,5225,142.21621621621622,2,0.7031546940326872
206,466,2631,2165,5.645922746781116,3,17.711896617255796
207,0,328,328,inf,6,0.0
208,0,41,41,inf,9,0.0
209,0,1315,1315,inf,4,0.0
210,2213,21048,18835,9.511070944419341,0,10.514063093880653
211,0,21048,21048,inf,0,0.0
212,0,1316,1316,inf,4,0.0
213,1091,10524,9433,9.646196150320806,1,10.366780691752185
214,1644,21048,19404,12.802919708029197,0,7.810718358038768
215,1760,10524,8764,5.9795454545454545,1,16.723679209426074
216,2268,10524,8256,4.64021164021164,1,21.55074116305587
217,1773,10524,8751,5.93570219966159,1,16.84720638540479
218,745,10524,9779,14.126174496644296,1,7.079057392626378
219,257,21048,20791,81.8988326848249,0,1.2210186240973013
220,379,21048,20669,55.53562005277045,0,1.8006461421512732
221,1349,21048,19699,15.602668643439586,0,6.409160015203345
222,2823,21048,18225,7.455897980871414,0,13.412200684150513
223,601,21048,20447,35.021630615640596,0,2.855378183200304
224,727,1315,588,1.8088033012379643,4,55.2851711026616
225,1264,10524,9260,8.325949367088608,1,12.010642341315089
226,3370,21048,17678,6.2456973293768545,0,16.011022424933486
227,1030,10524,9494,10.217475728155339,1,9.787153173698213
228,1455,10524,9069,7.2329896907216495,1,13.825541619156215
229,0,328,328,inf,6,0.0
230,84,21048,20964,250.57142857142858,0,0.3990877993158495
