SRC Query,Depth,BBoxes,Data Size
"[[(11.58, 14.58), (9.13, 12.13)]]",2,"[[8, 15], [8, 15]]",64
"[[(5.73, 8.73), (8.28, 11.28)]]",1,"[(0, 15), [8, 15]]",128
"[[(10.09, 13.09), (10.86, 13.86)]]",2,"[[8, 15], [8, 15]]",64
"[[(6.19, 9.190000000000001), (4.81, 7.81)]]",1,"[(0, 15), [0, 8]]",128
"[[(4.4, 7.4), (10.69, 13.69)]]",2,"[[0, 8], [8, 15]]",64
"[[(9.84, 12.84), (10.6, 13.6)]]",2,"[[8, 15], [8, 15]]",64
"[[(9.79, 12.79), (4.4, 7.4)]]",3,"[[8, 15], [4, 8]]",32
"[[(10.68, 13.68), (10.06, 13.06)]]",2,"[[8, 15], [8, 15]]",64
"[[(0.0, 2.87), (9.44, 12.44)]]",2,"[[0, 8], [8, 15]]",64
"[[(2.98, 5.98), (9.55, 12.55)]]",2,"[[0, 8], [8, 15]]",64
"[[(10.72, 13.72), (11.43, 14.43)]]",2,"[[8, 15], [8, 15]]",64
"[[(0.25, 3.25), (0.0, 2.76)]]",4,"[[0, 4], [0, 4]]",16
"[[(6.71, 9.71), (8.91, 11.91)]]",1,"[(0, 15), [8, 15]]",128
"[[(1.29, 4.29), (7.45, 10.45)]]",0,"[(0, 15), (0, 15)]",256
"[[(4.5, 7.5), (2.74, 5.74)]]",2,"[[0, 8], [0, 8]]",64
"[[(7.4, 10.4), (5.41, 8.41)]]",0,"[(0, 15), (0, 15)]",256
"[[(8.29, 11.29), (11.06, 14.06)]]",2,"[[8, 15], [8, 15]]",64
"[[(9.79, 12.79), (11.52, 14.52)]]",2,"[[8, 15], [8, 15]]",64
"[[(3.25, 6.25), (2.38, 5.38)]]",2,"[[0, 8], [0, 8]]",64
"[[(0.9, 3.9), (5.96, 8.96)]]",0,"[(0, 15), (0, 15)]",256
"[[(7.62, 10.620000000000001), (11.53, 14.53)]]",1,"[(0, 15), [8, 15]]",128
"[[(4.85, 7.85), (2.71, 5.71)]]",2,"[[0, 8], [0, 8]]",64
"[[(6.25, 9.25), (2.13, 5.13)]]",1,"[(0, 15), [0, 8]]",128
"[[(9.18, 12.18), (7.68, 10.68)]]",0,"[(0, 15), (0, 15)]",256
"[[(9.65, 12.65), (5.21, 8.21)]]",0,"[(0, 15), (0, 15)]",256
"[[(0.23, 3.23), (10.72, 13.72)]]",2,"[[0, 8], [8, 15]]",64
"[[(4.23, 7.23), (9.59, 12.59)]]",2,"[[0, 8], [8, 15]]",64
"[[(9.22, 12.22), (11.3, 14.3)]]",2,"[[8, 15], [8, 15]]",64
"[[(8.49, 11.49), (6.03, 9.030000000000001)]]",0,"[(0, 15), (0, 15)]",256
"[[(5.38, 8.379999999999999), (12.18, 15.0)]]",1,"[(0, 15), [8, 15]]",128
"[[(1.52, 4.52), (0.57, 3.57)]]",3,"[[0, 8], [0, 4]]",32
"[[(7.1, 10.1), (8.75, 11.75)]]",1,"[(0, 15), [8, 15]]",128
"[[(6.71, 9.71), (10.86, 13.86)]]",1,"[(0, 15), [8, 15]]",128
"[[(8.75, 11.75), (0.0, 2.87)]]",4,"[[8, 12], [0, 4]]",16
"[[(10.29, 13.29), (1.0, 4.0)]]",3,"[[8, 15], [0, 4]]",32
"[[(2.63, 5.63), (0.0, 2.89)]]",3,"[[0, 8], [0, 4]]",32
"[[(6.59, 9.59), (9.28, 12.28)]]",1,"[(0, 15), [8, 15]]",128
"[[(5.97, 8.969999999999999), (8.41, 11.41)]]",1,"[(0, 15), [8, 15]]",128
"[[(0.15, 3.15), (8.12, 11.12)]]",4,"[[0, 4], [8, 12]]",16
"[[(5.82, 8.82), (7.72, 10.719999999999999)]]",0,"[(0, 15), (0, 15)]",256
"[[(11.67, 14.67), (3.79, 6.79)]]",2,"[[8, 15], [0, 8]]",64
"[[(6.46, 9.46), (5.96, 8.96)]]",0,"[(0, 15), (0, 15)]",256
"[[(2.49, 5.49), (7.78, 10.780000000000001)]]",0,"[(0, 15), (0, 15)]",256
"[[(0.0, 2.54), (8.83, 11.83)]]",4,"[[0, 4], [8, 12]]",16
"[[(3.74, 6.74), (11.9, 14.9)]]",2,"[[0, 8], [8, 15]]",64
"[[(4.84, 7.84), (10.6, 13.6)]]",2,"[[0, 8], [8, 15]]",64
"[[(8.88, 11.88), (8.35, 11.35)]]",4,"[[8, 12], [8, 12]]",16
"[[(10.02, 13.02), (0.0, 2.58)]]",3,"[[8, 15], [0, 4]]",32
"[[(12.02, 15.0), (3.17, 6.17)]]",2,"[[8, 15], [0, 8]]",64
"[[(0.81, 3.81), (2.12, 5.12)]]",2,"[[0, 8], [0, 8]]",64
"[[(12.43, 15.0), (10.93, 13.93)]]",2,"[[8, 15], [8, 15]]",64
"[[(10.89, 13.89), (5.45, 8.45)]]",0,"[(0, 15), (0, 15)]",256
"[[(7.93, 10.93), (11.21, 14.21)]]",1,"[(0, 15), [8, 15]]",128
