,BRC Size,SRC Size,Diff,F/P %,SRC Depth,Error %
0,1126,2631,1505,2.3365896980461813,3,42.79741543139491
1,0,657,657,inf,5,0.0
2,1270,5262,3992,4.143307086614173,2,24.135309768148993
3,0,1316,1316,inf,4,0.0
4,390,5262,4872,13.492307692307692,2,7.411630558722919
5,0,5262,5262,inf,2,0.0
6,328,1316,988,4.012195121951219,4,24.924012158054712
7,2077,10524,8447,5.066923447279731,1,19.735841885214747
8,0,5262,5262,inf,2,0.0
9,1149,2631,1482,2.289817232375979,3,43.671607753705814
10,0,5262,5262,inf,2,0.0
11,948,5262,4314,5.550632911392405,2,18.015963511972636
12,0,2,2,inf,13,0.0
13,812,2631,1819,3.2401477832512313,3,30.86278981375903
14,0,82,82,inf,8,0.0
15,846,5262,4416,6.219858156028369,2,16.077537058152792
16,40,1316,1276,32.9,4,3.0395136778115504
17,861,2631,1770,3.0557491289198606,3,32.725199543899656
18,1327,2631,1304,1.9826676714393368,3,50.43709616115546
19,556,21048,20492,37.856115107913666,0,2.6415811478525275
20,1640,5262,3622,3.2085365853658536,2,31.166856708475866
21,899,1315,416,1.4627363737486097,4,68.36501901140684
22,1936,21048,19112,10.87190082644628,0,9.198023565184341
23,0,5262,5262,inf,2,0.0
24,1414,5262,3848,3.721357850070721,2,26.87191182060053
25,3216,10524,7308,3.2723880597014925,1,30.558722919042193
26,2753,21048,18295,7.645477660733745,0,13.079627518053972
27,3049,10524,7475,3.4516234831092163,1,28.97187381223869
28,60,2631,2571,43.85,3,2.280501710376283
29,39,1315,1276,33.717948717948715,4,2.9657794676806084
30,5,328,323,65.6,6,1.524390243902439
31,443,5262,4819,11.878103837471784,2,8.418852147472444
32,1641,10524,8883,6.413162705667276,1,15.592930444697833
33,842,5262,4420,6.249406175771972,2,16.001520334473586
34,666,5262,4596,7.900900900900901,2,12.656784492588368
35,2055,2631,576,1.2802919708029197,3,78.10718358038768
36,0,5262,5262,inf,2,0.0
37,3055,10524,7469,3.4448445171849427,1,29.0288863549981
38,590,5262,4672,8.91864406779661,2,11.21246674268339
39,92,5262,5170,57.19565217391305,2,1.7483846446218168
40,0,1316,1316,inf,4,0.0
41,2419,10524,8105,4.350558081852005,1,22.98555682250095
42,629,2631,2002,4.1828298887122415,3,23.907259597111363
43,0,1315,1315,inf,4,0.0
44,509,1316,807,2.5854616895874263,4,38.67781155015197
45,0,328,328,inf,6,0.0
46,1903,10524,8621,5.530215449290594,1,18.082478145191942
47,1238,2631,1393,2.125201938610662,3,47.05435195743063
48,1522,2631,1109,1.728646517739816,3,57.84872671987837
49,532,1315,783,2.4718045112781954,4,40.456273764258555
50,2160,5262,3102,2.436111111111111,2,41.04903078677309
51,14,1316,1302,94.0,4,1.0638297872340425
52,1339,5262,3923,3.929798356982823,2,25.446598251615356
53,1930,10524,8594,5.452849740932643,1,18.339034587609273
54,0,1315,1315,inf,4,0.0
55,885,2631,1746,2.9728813559322034,3,33.63740022805017
56,1629,5262,3633,3.2302025782688766,2,30.957810718358036
57,0,1315,1315,inf,4,0.0
58,2475,5262,2787,2.126060606060606,2,47.03534777651083
59,185,5262,5077,28.443243243243245,2,3.5157734701634356
60,2790,21048,18258,7.544086021505376,0,13.255416191562144
61,858,2631,1773,3.0664335664335662,3,32.611174458380844
62,1101,10524,9423,9.55858310626703,1,10.461801596351197
63,850,5262,4412,6.1905882352941175,2,16.153553781832002
64,1340,2631,1291,1.9634328358208955,3,50.93120486507031
65,852,5262,4410,6.176056338028169,2,16.191562143671607
66,598,1316,718,2.20066889632107,4,45.440729483282674
67,2552,5262,2710,2.061912225705329,2,48.498669707335615
68,0,1316,1316,inf,4,0.0
69,2632,5262,2630,1.999240121580547,2,50.0190041809198
70,0,5262,5262,inf,2,0.0
71,175,5262,5087,30.068571428571428,2,3.325731660965412
72,1590,5262,3672,3.309433962264151,2,30.216647662485745
73,23,1316,1293,57.21739130434783,4,1.7477203647416413
74,0,2,2,inf,13,0.0
75,916,2631,1715,2.8722707423580784,3,34.81565944507792
