,L2 Norm
0,0.040856823175572536
1,0.05518405566828157
2,0.04445162164271028
3,0.042134071723487626
4,0.04884751784891427
5,0.030806781360242397
6,0.028306889620726614
7,0.02881024123467209
8,0.024219082365302017
9,0.027735897317375552
10,0.020905707236095163
11,0.018222452573069793
12,0.017057563523926313
13,0.017329177942512604
14,0.015059585356546527
15,0.011939901590884225
16,0.008178357801672661
17,0.00831455662388872
18,0.007962877860592518
19,0.005007993610219573
20,0.00706697470770018
21,0.006649973590949845
22,0.008204051744617122
23,0.005933848292259874
24,0.008754427451295711
25,0.009543522230709551
26,0.010369386196685999
27,0.00977524987936789
28,0.009227503736552218
29,0.012005184065412917
30,0.010246599395288852
31,0.008558548358220546
32,0.009401850041651
33,0.008684377254846644
34,0.010361151933436496
35,0.010091666284368594
36,0.011020809057702623
37,0.010235736647117352
38,0.009732614601547129
39,0.011424972647669654
40,0.012829260873595193
41,0.010324055523338654
42,0.010969023694041
43,0.010540116203665705
44,0.009201502829483205
45,0.00895030599005923
46,0.008307346473593253
47,0.008060026537039309
48,0.005828211273386572
49,0.007477967638335957
50,0.009059020454527087
51,0.008362999660026871
52,0.008962790848475743
53,0.010748089440072455
54,0.010422036412103267
55,0.010899442973971527
56,0.010633934079945232
57,0.00923767810597102
58,0.009192062823984003
59,0.008043078459838073
60,0.009425743109332446
61,0.007640197108886858
62,0.007209151262801838
63,0.007440829086869286
64,0.006889972131752874
65,0.007465618777314521
66,0.008225355665854571
67,0.008094365591277658
68,0.0074239981675826615
69,0.007398731275684755
70,0.007427711266854508
71,0.0072836532686744076
72,0.007007021650554128
73,0.0056211226389774735
74,0.005264556539306576
75,0.005234945438074024
76,0.004812719976332023
77,0.004865102015373041
78,0.004613372368955827
79,0.005294926817246854
80,0.004542036885612405
81,0.0049554637582060294
82,0.005917587594452413
83,0.005133805968170282
84,0.003803986253745538
85,0.004477738941126219
86,0.004626637676797639
87,0.0038333087794159017
88,0.00281874440759517
89,0.003135775250197807
90,0.002354616592395948
91,0.0021923651676569156
92,0.0009640742925370485
93,0.0016127491157263663
94,0.0012531179948996564
95,0.0014100827398891508
96,0.0016166684106273244
97,0.0007224835688710195
98,0.0003850697950588001
99,0.0
