SRC_middle Query: Small,Depth,# Hops,BBoxes,Data Size
"[27, 12, 30, 15]",6,6,"[26, 12, 30, 16]",16
"[24, 28, 27, 31]",6,6,"[24, 28, 28, 32]",16
"[13, 1, 16, 4]",6,6,"[12, 0, 16, 4]",16
"[8, 16, 11, 19]",6,6,"[8, 16, 12, 20]",16
"[15, 12, 18, 15]",6,6,"[14, 12, 18, 16]",16
"[29, 25, 32, 28]",6,6,"[28, 24, 32, 28]",16
"[26, 9, 29, 12]",6,6,"[26, 8, 30, 12]",16
"[15, 11, 18, 14]",6,6,"[14, 10, 18, 14]",16
"[18, 28, 21, 31]",6,6,"[18, 28, 22, 32]",16
"[29, 6, 32, 9]",6,6,"[28, 6, 32, 10]",16
"[16, 4, 19, 7]",6,6,"[16, 4, 20, 8]",16
"[9, 4, 12, 7]",6,6,"[8, 4, 12, 8]",16
"[24, 3, 27, 6]",6,6,"[24, 2, 28, 6]",16
"[19, 25, 22, 28]",6,6,"[18, 24, 22, 28]",16
"[8, 29, 11, 32]",6,6,"[8, 28, 12, 32]",16
"[17, 22, 20, 25]",6,6,"[16, 22, 20, 26]",16
"[25, 19, 28, 22]",6,6,"[24, 18, 28, 22]",16
"[28, 4, 31, 7]",6,6,"[28, 4, 32, 8]",16
"[9, 3, 12, 6]",6,6,"[8, 2, 12, 6]",16
"[23, 2, 26, 5]",6,6,"[22, 2, 26, 6]",16
"[28, 27, 31, 30]",6,6,"[28, 26, 32, 30]",16
"[21, 10, 24, 13]",6,6,"[20, 10, 24, 14]",16
"[15, 17, 18, 20]",6,6,"[14, 16, 18, 20]",16
"[3, 11, 6, 14]",6,6,"[2, 10, 6, 14]",16
"[13, 10, 16, 13]",6,6,"[12, 10, 16, 14]",16
"[19, 20, 22, 23]",6,6,"[18, 20, 22, 24]",16
"[29, 6, 32, 9]",6,6,"[28, 6, 32, 10]",16
"[17, 15, 20, 18]",6,6,"[16, 14, 20, 18]",16
"[14, 27, 17, 30]",6,6,"[14, 26, 18, 30]",16
"[16, 8, 19, 11]",6,6,"[16, 8, 20, 12]",16
"[1, 25, 4, 28]",6,6,"[0, 24, 4, 28]",16
"[29, 17, 32, 20]",6,6,"[28, 16, 32, 20]",16
"[29, 0, 32, 3]",6,6,"[28, 0, 32, 4]",16
"[2, 23, 5, 26]",6,6,"[2, 22, 6, 26]",16
"[26, 12, 29, 15]",6,6,"[26, 12, 30, 16]",16
"[22, 26, 25, 29]",6,6,"[22, 26, 26, 30]",16
"[25, 21, 28, 24]",6,6,"[24, 20, 28, 24]",16
"[20, 0, 23, 3]",6,6,"[20, 0, 24, 4]",16
"[19, 15, 22, 18]",6,6,"[18, 14, 22, 18]",16
"[26, 27, 29, 30]",6,6,"[26, 26, 30, 30]",16
"[10, 7, 13, 10]",6,6,"[10, 6, 14, 10]",16
"[23, 10, 26, 13]",6,6,"[22, 10, 26, 14]",16
"[22, 27, 25, 30]",6,6,"[22, 26, 26, 30]",16
"[2, 6, 5, 9]",6,6,"[2, 6, 6, 10]",16
"[29, 18, 32, 21]",6,6,"[28, 18, 32, 22]",16
"[7, 7, 10, 10]",6,6,"[6, 6, 10, 10]",16
"[25, 4, 28, 7]",6,6,"[24, 4, 28, 8]",16
"[25, 17, 28, 20]",6,6,"[24, 16, 28, 20]",16
"[14, 2, 17, 5]",6,6,"[14, 2, 18, 6]",16
"[2, 10, 5, 13]",6,6,"[2, 10, 6, 14]",16
"[28, 16, 31, 19]",6,6,"[28, 16, 32, 20]",16
"[29, 15, 32, 18]",6,6,"[28, 14, 32, 18]",16
"[3, 9, 6, 12]",6,6,"[2, 8, 6, 12]",16
"[17, 9, 20, 12]",6,6,"[16, 8, 20, 12]",16
"[22, 3, 25, 6]",6,6,"[22, 2, 26, 6]",16
"[17, 10, 20, 13]",6,6,"[16, 10, 20, 14]",16
"[26, 29, 29, 32]",6,6,"[26, 28, 30, 32]",16
"[17, 6, 20, 9]",6,6,"[16, 6, 20, 10]",16
"[25, 19, 28, 22]",6,6,"[24, 18, 28, 22]",16
"[17, 18, 20, 21]",6,6,"[16, 18, 20, 22]",16
"[9, 14, 12, 17]",6,6,"[8, 14, 12, 18]",16
"[2, 19, 5, 22]",6,6,"[2, 18, 6, 22]",16
"[25, 12, 28, 15]",6,6,"[24, 12, 28, 16]",16
"[10, 18, 13, 21]",6,6,"[10, 18, 14, 22]",16
"[7, 9, 10, 12]",6,6,"[6, 8, 10, 12]",16
"[5, 6, 8, 9]",6,6,"[4, 6, 8, 10]",16
"[26, 5, 29, 8]",6,6,"[26, 4, 30, 8]",16
"[1, 19, 4, 22]",6,6,"[0, 18, 4, 22]",16
"[21, 8, 24, 11]",6,6,"[20, 8, 24, 12]",16
"[15, 2, 18, 5]",6,6,"[14, 2, 18, 6]",16
"[2, 21, 5, 24]",6,6,"[2, 20, 6, 24]",16
"[24, 4, 27, 7]",6,6,"[24, 4, 28, 8]",16
"[28, 4, 31, 7]",6,6,"[28, 4, 32, 8]",16
"[29, 1, 32, 4]",6,6,"[28, 0, 32, 4]",16
"[26, 2, 29, 5]",6,6,"[26, 2, 30, 6]",16
"[28, 22, 31, 25]",6,6,"[28, 22, 32, 26]",16
"[29, 26, 32, 29]",6,6,"[28, 26, 32, 30]",16
"[17, 21, 20, 24]",6,6,"[16, 20, 20, 24]",16
"[12, 26, 15, 29]",6,6,"[12, 26, 16, 30]",16
"[22, 16, 25, 19]",6,6,"[22, 16, 26, 20]",16
"[8, 16, 11, 19]",6,6,"[8, 16, 12, 20]",16
"[25, 7, 28, 10]",6,6,"[24, 6, 28, 10]",16
"[27, 6, 30, 9]",6,6,"[26, 6, 30, 10]",16
"[28, 21, 31, 24]",6,6,"[28, 20, 32, 24]",16
"[18, 26, 21, 29]",6,6,"[18, 26, 22, 30]",16
"[13, 18, 16, 21]",6,6,"[12, 18, 16, 22]",16
"[8, 14, 11, 17]",6,6,"[8, 14, 12, 18]",16
"[15, 21, 18, 24]",6,6,"[14, 20, 18, 24]",16
"[20, 22, 23, 25]",6,6,"[20, 22, 24, 26]",16
"[29, 25, 32, 28]",6,6,"[28, 24, 32, 28]",16
"[11, 2, 14, 5]",6,6,"[10, 2, 14, 6]",16
"[10, 19, 13, 22]",6,6,"[10, 18, 14, 22]",16
"[3, 15, 6, 18]",6,6,"[2, 14, 6, 18]",16
"[18, 20, 21, 23]",6,6,"[18, 20, 22, 24]",16
"[10, 27, 13, 30]",6,6,"[10, 26, 14, 30]",16
"[6, 7, 9, 10]",6,6,"[6, 6, 10, 10]",16
"[0, 23, 3, 26]",6,6,"[0, 22, 4, 26]",16
"[8, 3, 11, 6]",6,6,"[8, 2, 12, 6]",16
"[22, 7, 25, 10]",6,6,"[22, 6, 26, 10]",16
"[11, 25, 14, 28]",6,6,"[10, 24, 14, 28]",16
"[5, 10, 8, 13]",6,6,"[4, 10, 8, 14]",16
"[13, 26, 16, 29]",6,6,"[12, 26, 16, 30]",16
"[1, 3, 4, 6]",6,6,"[0, 2, 4, 6]",16
"[25, 4, 28, 7]",6,6,"[24, 4, 28, 8]",16
"[27, 22, 30, 25]",6,6,"[26, 22, 30, 26]",16
"[7, 1, 10, 4]",6,6,"[6, 0, 10, 4]",16
"[26, 18, 29, 21]",6,6,"[26, 18, 30, 22]",16
"[20, 29, 23, 32]",6,6,"[20, 28, 24, 32]",16
"[29, 17, 32, 20]",6,6,"[28, 16, 32, 20]",16
"[19, 21, 22, 24]",6,6,"[18, 20, 22, 24]",16
"[2, 0, 5, 3]",6,6,"[2, 0, 6, 4]",16
"[3, 20, 6, 23]",6,6,"[2, 20, 6, 24]",16
"[6, 19, 9, 22]",6,6,"[6, 18, 10, 22]",16
"[26, 18, 29, 21]",6,6,"[26, 18, 30, 22]",16
"[3, 12, 6, 15]",6,6,"[2, 12, 6, 16]",16
"[2, 11, 5, 14]",6,6,"[2, 10, 6, 14]",16
"[26, 3, 29, 6]",6,6,"[26, 2, 30, 6]",16
"[1, 19, 4, 22]",6,6,"[0, 18, 4, 22]",16
"[0, 6, 3, 9]",6,6,"[0, 6, 4, 10]",16
"[5, 22, 8, 25]",6,6,"[4, 22, 8, 26]",16
"[3, 15, 6, 18]",6,6,"[2, 14, 6, 18]",16
"[6, 23, 9, 26]",6,6,"[6, 22, 10, 26]",16
"[25, 1, 28, 4]",6,6,"[24, 0, 28, 4]",16
"[29, 21, 32, 24]",6,6,"[28, 20, 32, 24]",16
"[0, 17, 3, 20]",6,6,"[0, 16, 4, 20]",16
"[13, 19, 16, 22]",6,6,"[12, 18, 16, 22]",16
"[3, 26, 6, 29]",6,6,"[2, 26, 6, 30]",16
"[8, 2, 11, 5]",6,6,"[8, 2, 12, 6]",16
"[7, 2, 10, 5]",6,6,"[6, 2, 10, 6]",16
"[20, 9, 23, 12]",6,6,"[20, 8, 24, 12]",16
"[11, 13, 14, 16]",6,6,"[10, 12, 14, 16]",16
"[5, 1, 8, 4]",6,6,"[4, 0, 8, 4]",16
"[16, 14, 19, 17]",6,6,"[16, 14, 20, 18]",16
"[1, 19, 4, 22]",6,6,"[0, 18, 4, 22]",16
"[3, 22, 6, 25]",6,6,"[2, 22, 6, 26]",16
"[12, 6, 15, 9]",6,6,"[12, 6, 16, 10]",16
"[8, 11, 11, 14]",6,6,"[8, 10, 12, 14]",16
"[28, 23, 31, 26]",6,6,"[28, 22, 32, 26]",16
"[15, 26, 18, 29]",6,6,"[14, 26, 18, 30]",16
"[28, 29, 31, 32]",6,6,"[28, 28, 32, 32]",16
"[18, 5, 21, 8]",6,6,"[18, 4, 22, 8]",16
"[22, 21, 25, 24]",6,6,"[22, 20, 26, 24]",16
"[6, 24, 9, 27]",6,6,"[6, 24, 10, 28]",16
"[1, 25, 4, 28]",6,6,"[0, 24, 4, 28]",16
"[21, 5, 24, 8]",6,6,"[20, 4, 24, 8]",16
"[27, 5, 30, 8]",6,6,"[26, 4, 30, 8]",16
"[10, 16, 13, 19]",6,6,"[10, 16, 14, 20]",16
"[8, 3, 11, 6]",6,6,"[8, 2, 12, 6]",16
"[19, 29, 22, 32]",6,6,"[18, 28, 22, 32]",16
"[14, 21, 17, 24]",6,6,"[14, 20, 18, 24]",16
"[5, 0, 8, 3]",6,6,"[4, 0, 8, 4]",16
"[15, 21, 18, 24]",6,6,"[14, 20, 18, 24]",16
"[13, 28, 16, 31]",6,6,"[12, 28, 16, 32]",16
"[18, 27, 21, 30]",6,6,"[18, 26, 22, 30]",16
"[16, 29, 19, 32]",6,6,"[16, 28, 20, 32]",16
"[9, 20, 12, 23]",6,6,"[8, 20, 12, 24]",16
"[11, 12, 14, 15]",6,6,"[10, 12, 14, 16]",16
"[26, 21, 29, 24]",6,6,"[26, 20, 30, 24]",16
"[8, 4, 11, 7]",6,6,"[8, 4, 12, 8]",16
"[17, 22, 20, 25]",6,6,"[16, 22, 20, 26]",16
"[0, 14, 3, 17]",6,6,"[0, 14, 4, 18]",16
"[23, 2, 26, 5]",6,6,"[22, 2, 26, 6]",16
"[10, 23, 13, 26]",6,6,"[10, 22, 14, 26]",16
"[1, 17, 4, 20]",6,6,"[0, 16, 4, 20]",16
"[8, 4, 11, 7]",6,6,"[8, 4, 12, 8]",16
"[7, 24, 10, 27]",6,6,"[6, 24, 10, 28]",16
"[15, 11, 18, 14]",6,6,"[14, 10, 18, 14]",16
"[19, 9, 22, 12]",6,6,"[18, 8, 22, 12]",16
"[21, 11, 24, 14]",6,6,"[20, 10, 24, 14]",16
"[18, 28, 21, 31]",6,6,"[18, 28, 22, 32]",16
"[20, 27, 23, 30]",6,6,"[20, 26, 24, 30]",16
"[19, 4, 22, 7]",6,6,"[18, 4, 22, 8]",16
"[22, 9, 25, 12]",6,6,"[22, 8, 26, 12]",16
"[12, 23, 15, 26]",6,6,"[12, 22, 16, 26]",16
"[13, 26, 16, 29]",6,6,"[12, 26, 16, 30]",16
"[20, 2, 23, 5]",6,6,"[20, 2, 24, 6]",16
"[0, 19, 3, 22]",6,6,"[0, 18, 4, 22]",16
"[6, 22, 9, 25]",6,6,"[6, 22, 10, 26]",16
"[10, 5, 13, 8]",6,6,"[10, 4, 14, 8]",16
"[7, 7, 10, 10]",6,6,"[6, 6, 10, 10]",16
"[20, 14, 23, 17]",6,6,"[20, 14, 24, 18]",16
"[12, 22, 15, 25]",6,6,"[12, 22, 16, 26]",16
"[28, 21, 31, 24]",6,6,"[28, 20, 32, 24]",16
"[18, 27, 21, 30]",6,6,"[18, 26, 22, 30]",16
"[13, 1, 16, 4]",6,6,"[12, 0, 16, 4]",16
"[12, 27, 15, 30]",6,6,"[12, 26, 16, 30]",16
"[22, 18, 25, 21]",6,6,"[22, 18, 26, 22]",16
"[13, 24, 16, 27]",6,6,"[12, 24, 16, 28]",16
"[21, 22, 24, 25]",6,6,"[20, 22, 24, 26]",16
"[1, 5, 4, 8]",6,6,"[0, 4, 4, 8]",16
"[14, 2, 17, 5]",6,6,"[14, 2, 18, 6]",16
"[8, 22, 11, 25]",6,6,"[8, 22, 12, 26]",16
"[5, 14, 8, 17]",6,6,"[4, 14, 8, 18]",16
"[16, 28, 19, 31]",6,6,"[16, 28, 20, 32]",16
"[15, 29, 18, 32]",6,6,"[14, 28, 18, 32]",16
"[17, 19, 20, 22]",6,6,"[16, 18, 20, 22]",16
"[24, 0, 27, 3]",6,6,"[24, 0, 28, 4]",16
"[28, 1, 31, 4]",6,6,"[28, 0, 32, 4]",16
"[15, 10, 18, 13]",6,6,"[14, 10, 18, 14]",16
"[9, 26, 12, 29]",6,6,"[8, 26, 12, 30]",16
"[14, 1, 17, 4]",6,6,"[14, 0, 18, 4]",16
"[25, 26, 28, 29]",6,6,"[24, 26, 28, 30]",16
"[28, 25, 31, 28]",6,6,"[28, 24, 32, 28]",16
"[13, 6, 16, 9]",6,6,"[12, 6, 16, 10]",16
"[17, 20, 20, 23]",6,6,"[16, 20, 20, 24]",16
"[2, 26, 5, 29]",6,6,"[2, 26, 6, 30]",16
"[23, 4, 26, 7]",6,6,"[22, 4, 26, 8]",16
"[0, 12, 3, 15]",6,6,"[0, 12, 4, 16]",16
"[21, 13, 24, 16]",6,6,"[20, 12, 24, 16]",16
"[10, 0, 13, 3]",6,6,"[10, 0, 14, 4]",16
"[6, 0, 9, 3]",6,6,"[6, 0, 10, 4]",16
"[22, 24, 25, 27]",6,6,"[22, 24, 26, 28]",16
"[0, 26, 3, 29]",6,6,"[0, 26, 4, 30]",16
"[21, 16, 24, 19]",6,6,"[20, 16, 24, 20]",16
"[19, 3, 22, 6]",6,6,"[18, 2, 22, 6]",16
"[6, 3, 9, 6]",6,6,"[6, 2, 10, 6]",16
"[19, 20, 22, 23]",6,6,"[18, 20, 22, 24]",16
"[6, 27, 9, 30]",6,6,"[6, 26, 10, 30]",16
"[9, 8, 12, 11]",6,6,"[8, 8, 12, 12]",16
"[22, 5, 25, 8]",6,6,"[22, 4, 26, 8]",16
"[3, 15, 6, 18]",6,6,"[2, 14, 6, 18]",16
"[27, 29, 30, 32]",6,6,"[26, 28, 30, 32]",16
"[12, 20, 15, 23]",6,6,"[12, 20, 16, 24]",16
"[2, 0, 5, 3]",6,6,"[2, 0, 6, 4]",16
"[8, 29, 11, 32]",6,6,"[8, 28, 12, 32]",16
"[14, 25, 17, 28]",6,6,"[14, 24, 18, 28]",16
"[25, 3, 28, 6]",6,6,"[24, 2, 28, 6]",16
"[27, 8, 30, 11]",6,6,"[26, 8, 30, 12]",16
"[4, 20, 7, 23]",6,6,"[4, 20, 8, 24]",16
"[16, 26, 19, 29]",6,6,"[16, 26, 20, 30]",16
"[20, 20, 23, 23]",6,6,"[20, 20, 24, 24]",16
