BRC Query,Data Size
"[38.11138099135939, -117.2677896606716, 38.9093080574615, -116.55270045777782]",0
"[35.49961563128041, -118.62330199695526, 36.378908068485025, -117.81422829899617]",332
"[33.2425667046729, -123.76054027930228, 33.980683154549936, -122.91614881695489]",0
"[34.482868235493946, -122.30481132317918, 35.28566378896261, -121.61492605977874]",0
"[40.78892803406544, -115.59139071658592, 41.38305422226462, -115.01587399217772]",0
"[33.60247502554323, -116.44856856512278, 34.56705648358903, -115.6885702995045]",293
"[35.75371122511487, -118.64367053421853, 36.69227811470703, -117.97071623745174]",238
"[36.356800805967204, -117.00707323364313, 36.95951059308089, -116.34070697644918]",49
"[36.44763240643969, -121.7336869191976, 37.31712287045671, -120.83318823623702]",268
"[36.644429774714986, -118.7357778260833, 37.56162199405089, -117.98889034727445]",231
"[32.859178933567996, -118.39696956252577, 33.44005410151207, -117.46936329303931]",12
"[38.59809097804735, -115.2308588411097, 39.40958234515635, -114.49734419611653]",0
"[39.79836097224972, -115.00269132693393, 40.632174560042856, -114.294258]",0
"[39.24239143045164, -117.9877433632417, 40.01200043296937, -117.40694083575444]",0
"[36.03378081525552, -123.87241216938821, 36.74772509194542, -123.00007556418629]",0
"[36.30805086271009, -115.29139389249393, 37.21789430907178, -114.29622655952637]",0
"[40.2023568203837, -122.25077505184046, 40.86473696129322, -121.45159934724073]",270
"[38.887860422356596, -123.33482384728619, 39.708657265350766, -122.60051624177265]",249
"[38.349763436788, -118.44073047922963, 39.16485223768814, -117.56952546696564]",0
"[33.94755935443278, -118.01465323047475, 34.83087959138111, -117.10822768072012]",726
"[36.63573877105979, -116.42368628293205, 37.425463754826474, -115.71670646597939]",0
"[37.084726045392856, -122.12162593785341, 37.81961552969943, -121.36113625468782]",423
"[35.53476185824792, -121.38076770977955, 36.43397675560154, -120.615213542634]",371
"[39.677427565274776, -120.94046754748976, 40.48829293038899, -120.00470571567081]",387
"[35.03066372287453, -120.76098181652135, 35.89848419582386, -120.00079274601221]",384
"[37.023064002715664, -116.21642556887312, 37.92380257330802, -115.61756693644251]",0
"[40.01555639449194, -116.6625720971631, 40.841920510053235, -116.06157901841934]",0
"[33.943063127702466, -115.5151434647645, 34.7672680315472, -114.79993725318617]",108
"[39.08103779911629, -118.35386561270843, 39.65679527863272, -117.44871336612157]",0
"[38.53600826698706, -116.97755234719372, 39.49851629496212, -116.29889415732262]",0
"[40.48677583953499, -120.03277653999447, 41.29421623867163, -119.10342980852816]",11
"[37.983452276144035, -115.95281285954097, 38.74611331790333, -115.12522067319537]",0
"[33.4400091077732, -121.05478560660387, 34.10099686857915, -120.36748931865611]",0
"[40.2231202368458, -115.11260710206136, 40.936725850201825, -114.49000505503317]",0
"[35.70813082586162, -115.78336855694933, 36.52266262595724, -114.84240019173527]",4
"[36.69256953719937, -117.55753107062915, 37.595747743574776, -116.69198312179334]",86
"[40.18674783429152, -122.48610822881669, 41.15691502321498, -121.66556982090037]",319
"[39.81647076034801, -122.9845506106521, 40.71173194016559, -122.31007087399678]",350
"[40.85193763101648, -123.20816627660973, 41.81971444261964, -122.59924916805932]",195
"[39.27417186882014, -122.47253020455311, 39.92921340748501, -121.7365484606374]",176
"[38.03107101274355, -116.00253694380802, 38.754037535669795, -115.28176299646307]",0
"[41.08277684958504, -120.07317256558451, 41.85593230674407, -119.48430801157134]",23
"[36.99525990955774, -116.69253197566083, 37.632446515289764, -115.82314061247926]",0
"[38.098045932952246, -120.20191257975802, 38.78366835367878, -119.25467765479047]",225
"[38.34312230893482, -120.22987585308748, 39.273478736171214, -119.44943594816432]",283
"[39.17568952528425, -122.61561931549699, 39.85981669883394, -121.97219510688785]",208
"[36.04393425808913, -122.53722817512171, 36.85661719719075, -121.71779751649056]",98
"[37.635676243788026, -122.08530238103006, 38.32238380897826, -121.42677353175611]",263
"[33.58697128775949, -119.9692241690186, 34.27768521155506, -118.99739541791644]",47
"[32.90754740496545, -117.39277142516954, 33.48394987538913, -116.79059098217238]",360
"[39.409165646127114, -123.24383860899711, 39.980261545937594, -122.65480033328696]",152
"[37.9716420606038, -124.17050976361148, 38.56921562075207, -123.4593487086579]",0
