,BBOX,Depth,parent
0,"[8117, 9783, 474275, 219328]",0,[]
1,"[8117, 9783, 69337, 219328]",1,[<New_3DAG.DAGTree object at 0x000001E87C3CC980>]
2,"[42574, 9783, 114520, 219328]",1,[<New_3DAG.DAGTree object at 0x000001E87C3CC980>]
3,"[69337, 9783, 474275, 219328]",1,[<New_3DAG.DAGTree object at 0x000001E87C3CC980>]
4,"[8117, 9783, 474275, 219328]",0,[]
5,"[8117, 9783, 69337, 219328]",1,[<New_3DAG.DAGTree object at 0x000001E87C2666F0>]
6,"[42574, 9783, 114520, 219328]",1,[<New_3DAG.DAGTree object at 0x000001E87C2666F0>]
7,"[69337, 9783, 474275, 219328]",1,[<New_3DAG.DAGTree object at 0x000001E87C2666F0>]
