SRC_middle Query: Large,Depth,# Hops,BBoxes,Data Size
"[6, 12, 10, 16]",4,4,"[6, 12, 10, 16]",16
"[6, 0, 10, 4]",4,4,"[6, 0, 10, 4]",16
"[4, 8, 8, 12]",4,4,"[4, 8, 8, 12]",16
"[7, 6, 11, 10]",2,2,"[4, 4, 12, 12]",64
"[12, 4, 16, 8]",4,4,"[12, 4, 16, 8]",16
"[7, 5, 11, 9]",2,2,"[4, 4, 12, 12]",64
"[9, 3, 13, 7]",2,2,"[8, 0, 16, 8]",64
"[8, 2, 12, 6]",4,4,"[8, 2, 12, 6]",16
"[4, 2, 8, 6]",4,4,"[4, 2, 8, 6]",16
"[12, 1, 16, 5]",3,3,"[12, 0, 16, 8]",32
