SRC Query,Depth,BBoxes,Data Size
"[19.44801271188307, 73.65002685906549, 21.73295887941384, 89.32951847208531]",3,"[0, 50, 25, 99]",1250
"[18.034956428542376, 46.64566653194075, 45.54118897268833, 49.13861742765609]",2,"[0, 0, 50, 50]",2500
"[79.41900690914233, 74.88719958012241, 82.1709540567295, 78.42575168955435]",7,"[78, 68, 84, 81]",78
"[21.231113201164543, 85.21462239644637, 28.176262324594962, 86.97920392078608]",6,"[18, 75, 30, 87]",156
"[19.984949374133123, 39.647425312748986, 31.440035076957365, 41.48022556540227]",4,"[12, 25, 37, 50]",625
"[48.75194889921253, 51.41515347573291, 56.106349416602185, 53.4814394199017]",4,"[37, 50, 62, 75]",625
"[58.051507334565834, 23.89058580198752, 82.1807707784539, 25.127088796499763]",2,"[50, 0, 99, 50]",2500
"[74.01839965483856, 11.13299187141064, 75.43722050325671, 16.070551847821186]",7,"[72, 6, 78, 18]",78
"[29.572514137203964, 90.53884826492627, 59.58082065530553, 91.85105273053944]",2,"[25, 50, 74, 99]",2500
"[62.084175788633864, 21.128585107798997, 64.87297058628137, 24.9975161419894]",10,"[62, 21, 65, 25]",10
"[3.7231699016807553, 85.59488997581528, 16.332005521248995, 87.09295176810461]",4,"[0, 75, 25, 99]",625
"[67.48167991549842, 1.0645957594883624, 69.23395548133689, 3.67818933176095]",10,"[67, 1, 70, 4]",10
"[58.64821151172673, 88.51339713224861, 90.2991136627335, 89.93112644951536]",2,"[50, 50, 99, 99]",2500
"[8.671284160896171, 56.03428312635991, 13.728240590160272, 57.32520430944804]",6,"[6, 50, 18, 62]",156
"[15.91615374470514, 44.16867097286096, 23.50888576238022, 45.84515012403603]",6,"[12, 37, 25, 50]",157
"[21.04333060358425, 49.012823332246114, 22.510312898145234, 56.670379801035935]",7,"[18, 49, 25, 62]",79
"[1.0862881636154682, 24.937508617621933, 15.626426443670901, 28.250235796027205]",4,"[0, 12, 25, 37]",625
"[35.805100035213805, 40.34004212962441, 46.51900317675305, 43.20805433373045]",4,"[25, 25, 50, 50]",625
"[14.476386366800734, 29.726077591731787, 32.182055552155546, 32.48197434754096]",4,"[12, 25, 37, 50]",625
"[44.178334263283894, 22.112641793080805, 54.38655586692205, 23.943495952334427]",6,"[44, 12, 56, 25]",156
"[31.583361226376724, 84.98204352759367, 66.65078502561032, 87.19352996930287]",2,"[25, 50, 74, 99]",2500
"[0.7898666688089295, 92.7552191541024, 8.440580412494732, 96.82012665487407]",6,"[0, 87, 12, 99]",156
"[49.18726665866846, 33.020348355081566, 73.19880876750567, 34.54329861595804]",2,"[25, 0, 74, 50]",2500
"[26.989632486488503, 76.87829499110545, 34.94372176351847, 78.37459692492236]",6,"[25, 75, 37, 87]",156
"[3.0871059806978325, 53.475248687501825, 23.320837389492908, 54.48788608001432]",4,"[0, 50, 25, 75]",625
"[24.579510398593094, 18.49905196448276, 28.488805803159188, 21.37508885561285]",6,"[19, 12, 31, 25]",156
"[67.48206587458814, 49.410471524670925, 70.90964660983764, 50.50266654049352]",8,"[65, 49, 71, 56]",39
"[14.105697869692088, 2.279196165718155, 24.24622287512296, 4.382322782161148]",6,"[12, 0, 25, 12]",156
"[15.962460869458509, 49.15518969598074, 19.10919231708753, 50.28745603026159]",8,"[15, 49, 21, 56]",39
"[22.654697648943017, 90.10629550092914, 40.60334563165176, 91.75493286831198]",2,"[0, 50, 50, 99]",2500
"[31.910842818050178, 32.706664187043664, 43.25187773684433, 39.412659943684446]",4,"[25, 25, 50, 50]",625
"[10.997879944661205, 47.96406010750483, 14.386839160504948, 53.33308086152408]",7,"[9, 43, 15, 55]",78
"[34.089310951245416, 46.20708363134512, 44.599627532761346, 48.48481042754245]",4,"[25, 25, 50, 50]",625
"[48.462401432991214, 94.29258906134541, 74.10321127964966, 95.80560251995588]",0,"[0, 0, 99, 99]",10000
"[54.11369522638694, 76.94816257117299, 57.32645055131722, 79.75506208673424]",8,"[53, 75, 59, 81]",39
"[62.079238312410794, 52.57642360382439, 75.12036989863937, 54.504115417000236]",4,"[62, 50, 87, 75]",625
"[65.45872318913516, 48.70752505046156, 79.4408299062151, 53.11074036887577]",4,"[62, 37, 87, 62]",625
"[35.98637100144618, 68.09896603410509, 59.48766181405267, 69.99761366749564]",2,"[25, 50, 74, 99]",2500
"[46.896702942013704, 74.73442153429683, 54.22430605315155, 78.46229262016587]",6,"[43, 68, 56, 81]",156
"[11.398853708921006, 74.86961741045965, 45.15881554847245, 76.07276169743672]",2,"[0, 50, 50, 99]",2500
"[46.0340521603221, 41.785951923183895, 67.42009850766647, 44.240062153060514]",2,"[25, 0, 74, 50]",2500
"[17.75996687753086, 90.23119680955763, 48.876013484440264, 92.08001613086415]",2,"[0, 50, 50, 99]",2500
"[83.58756537347523, 42.88611927009627, 88.44423625361584, 57.76965521935936]",5,"[81, 37, 93, 62]",312
"[25.54212341239298, 85.64418381538398, 27.62220785122948, 97.26014951050686]",5,"[25, 75, 37, 99]",312
"[12.441272007386889, 7.370573074264256, 28.344175825783594, 9.201084622323773]",4,"[12, 0, 37, 25]",625
"[29.911723876087724, 61.38185121584676, 36.87279664550972, 62.990154188087736]",6,"[25, 56, 37, 68]",156
"[43.11059804663589, 18.140794192379552, 61.53926032206323, 19.211940217453662]",4,"[37, 0, 62, 25]",625
"[45.75531052719399, 2.794673326090033, 55.14542074361744, 5.24931329219713]",6,"[44, 0, 56, 12]",156
"[56.11570400602872, 44.99215934249248, 57.99251584089037, 46.82936099578497]",9,"[56, 43, 59, 50]",19
"[72.3651335144214, 58.3259426077563, 73.99655550026783, 67.15977395566128]",7,"[68, 56, 75, 68]",78
"[82.93847597933588, 39.683430071679936, 84.70332069781712, 42.660828726437295]",9,"[82, 37, 85, 43]",20
"[0.993715322438144, 57.519492047443215, 13.842801476298538, 59.721486602995924]",4,"[0, 50, 25, 75]",625
"[31.70655654656964, 38.09877631109982, 39.804218572615675, 39.41624026611099]",6,"[31, 37, 43, 50]",156
"[20.978798334413852, 41.723574523846324, 35.578399065576846, 42.94924196324414]",4,"[12, 25, 37, 50]",625
"[25.68561314159006, 28.94299829033434, 31.209841815266085, 30.908387801551577]",6,"[25, 25, 37, 37]",156
"[17.73971627567682, 4.1552569712628475, 39.761350589196844, 7.349764531431207]",2,"[0, 0, 50, 50]",2500
"[50.529867898051215, 27.958825066042646, 78.18287547776403, 30.13554742240048]",2,"[50, 0, 99, 50]",2500
"[56.70743280518747, 79.4053068371495, 77.8335385708193, 82.2394415009415]",2,"[50, 50, 99, 99]",2500
"[7.322730405038725, 49.55580628043088, 10.918058311428885, 55.00181687182779]",8,"[6, 49, 12, 56]",39
