SRC_random Query: Large,Depth,BBoxes,Data Size
"[6, 12, 10, 16]",4,"[6, 12, 10, 16]",16
"[6, 0, 10, 4]",4,"[6, 0, 10, 4]",16
"[4, 8, 8, 12]",4,"[4, 8, 8, 12]",16
"[7, 6, 11, 10]",2,"[4, 4, 12, 12]",64
"[12, 4, 16, 8]",4,"[12, 4, 16, 8]",16
"[7, 5, 11, 9]",2,"[4, 4, 12, 12]",64
"[9, 3, 13, 7]",2,"[8, 0, 16, 8]",64
"[8, 2, 12, 6]",4,"[8, 2, 12, 6]",16
"[4, 2, 8, 6]",4,"[4, 2, 8, 6]",16
"[12, 1, 16, 5]",3,"[12, 0, 16, 8]",32
"[9, 12, 13, 16]",2,"[8, 8, 16, 16]",64
"[4, 8, 8, 12]",4,"[4, 8, 8, 12]",16
"[11, 12, 15, 16]",2,"[8, 8, 16, 16]",64
"[9, 2, 13, 6]",2,"[8, 0, 16, 8]",64
"[4, 1, 8, 5]",3,"[4, 0, 8, 8]",32
"[11, 1, 15, 5]",2,"[8, 0, 16, 8]",64
"[10, 5, 14, 9]",3,"[10, 4, 14, 12]",32
"[7, 8, 11, 12]",2,"[4, 8, 12, 16]",64
"[1, 5, 5, 9]",2,"[0, 4, 8, 12]",64
"[6, 5, 10, 9]",3,"[6, 4, 10, 12]",32
"[9, 10, 13, 14]",2,"[8, 8, 16, 16]",64
"[3, 8, 7, 12]",2,"[0, 4, 8, 12]",64
"[7, 7, 11, 11]",2,"[4, 4, 12, 12]",64
"[8, 4, 12, 8]",4,"[8, 4, 12, 8]",16
"[0, 12, 4, 16]",4,"[0, 12, 4, 16]",16
"[8, 0, 12, 4]",4,"[8, 0, 12, 4]",16
"[1, 11, 5, 15]",2,"[0, 8, 8, 16]",64
"[6, 11, 10, 15]",3,"[6, 8, 10, 16]",32
"[12, 10, 16, 14]",4,"[12, 10, 16, 14]",16
"[10, 0, 14, 4]",4,"[10, 0, 14, 4]",16
"[9, 7, 13, 11]",2,"[8, 4, 16, 12]",64
