SRC Query,Depth,BBoxes,Data Size
"[6.759953, 9.683393, 10.919953, 13.843393]",2,"[4, 8, 11, 15]",64
"[0.919058, 5.449704, 5.079058, 9.609704]",2,"[0, 4, 8, 11]",64
"[6.462785, 1.116959, 10.622785, 5.276959]",2,"[4, 0, 11, 8]",64
"[6.27132, 4.053029, 10.43132, 8.213029]",2,"[4, 4, 11, 11]",64
"[5.355533, 3.13102, 9.515533, 7.29102]",2,"[4, 0, 11, 8]",64
"[1.630969, 9.778318, 5.790969, 13.938318]",2,"[0, 8, 8, 15]",64
"[5.421813, 10.027653, 9.581813, 14.187653]",2,"[4, 8, 11, 15]",64
"[10.031492, 5.432206, 14.191492, 9.592206]",2,"[8, 4, 15, 11]",64
"[4.616461, 2.783352, 8.776461, 6.943352]",2,"[4, 0, 11, 8]",64
"[5.764982, 3.177512, 9.924982, 7.337512]",2,"[4, 0, 11, 8]",64
"[8.783603, 2.917339, 12.943603, 7.077339]",2,"[8, 0, 15, 8]",64
"[9.678213, 3.928362, 13.838213, 8.088362]",1,"[8, 0, 15, 15]",128
"[7.970623, 9.881237, 12.130623, 14.041237]",0,"[0, 0, 15, 15]",256
"[9.692088, 9.790005, 13.852088, 13.950005]",2,"[8, 8, 15, 15]",64
"[4.426164, 4.718097, 8.586164, 8.878097]",2,"[4, 4, 11, 11]",64
"[6.768198, 6.773351, 10.928198, 10.933351]",2,"[4, 4, 11, 11]",64
"[2.912361, 9.964605, 7.072361, 14.124605]",2,"[0, 8, 8, 15]",64
"[4.232706, 4.670991, 8.392706, 8.830991]",2,"[4, 4, 11, 11]",64
"[6.0709, 9.914919, 10.2309, 14.074919]",2,"[4, 8, 11, 15]",64
"[2.035672, 1.999348, 6.195672, 6.159348]",2,"[0, 0, 8, 8]",64
"[9.019104, 9.677041, 13.179104, 13.837041]",2,"[8, 8, 15, 15]",64
"[4.463737, 0.72708, 8.623737, 4.88708]",2,"[4, 0, 11, 8]",64
"[6.50703, 10.403193, 10.66703, 14.563193]",2,"[4, 8, 11, 15]",64
"[1.503205, 6.388097, 5.663205, 10.548097]",2,"[0, 4, 8, 11]",64
