BRC Query: Large,Points,Num Of Points
"[210096, 228617, 349943, 219328]",[],0
"[29342, 143863, 169189, 219328]",[],0
"[276172, 262883, 416019, 219328]",[],0
"[220419, 167140, 360266, 219328]","[(249218, 208706), (243245, 219327)]",2
"[257991, 195837, 397838, 219328]",[],0
"[313977, 122643, 453824, 219328]",[],0
"[272718, 81136, 412565, 219328]",[],0
"[155881, 81384, 295728, 219328]","[(182621, 142145), (249218, 208706), (243245, 219327)]",3
"[57835, 332320, 197682, 219328]",[],0
"[139454, 287333, 279301, 219328]",[],0
"[323687, 85167, 463534, 219328]",[],0
"[170723, 59897, 310570, 199744]","[(181333, 62750), (200563, 62770), (182621, 142145)]",3
"[46779, 181235, 186626, 219328]",[],0
"[255655, 301620, 395502, 219328]",[],0
"[60913, 193605, 200760, 219328]",[],0
"[235748, 173895, 375595, 219328]","[(249218, 208706), (243245, 219327)]",2
"[328397, 115322, 468244, 219328]",[],0
"[297798, 258207, 437645, 219328]",[],0
"[240215, 281456, 380062, 219328]",[],0
"[144689, 40769, 284536, 180616]","[(181333, 62750), (200563, 62770), (182621, 142145)]",3
"[295793, 15478, 435640, 155325]","[(337473, 17444), (306553, 24096)]",2
"[57018, 217215, 196865, 219328]",[],0
"[8716, 328927, 148563, 219328]",[],0
"[266893, 182775, 406740, 219328]",[],0
"[135996, 178617, 275843, 219328]","[(249218, 208706), (243245, 219327)]",2
"[41138, 108291, 180985, 219328]",[],0
"[305656, 124353, 445503, 219328]",[],0
"[133220, 82825, 273067, 219328]","[(182621, 142145), (249218, 208706), (243245, 219327)]",3
"[292800, 242982, 432647, 219328]",[],0
"[55940, 50293, 195787, 190140]","[(59458, 97155), (181333, 62750), (72803, 67715), (182621, 142145)]",4
"[175917, 274424, 315764, 219328]",[],0
"[264644, 65294, 404491, 205141]",[],0
"[166161, 297139, 306008, 219328]",[],0
"[160732, 73553, 300579, 213400]","[(182621, 142145), (249218, 208706)]",2
"[295133, 182574, 434980, 219328]",[],0
"[291381, 114653, 431228, 219328]",[],0
"[324359, 295023, 464206, 219328]",[],0
"[316197, 158932, 456044, 219328]",[],0
"[241419, 56158, 381266, 196005]",[],0
"[320743, 209916, 460590, 219328]",[],0
"[174340, 309923, 314187, 219328]",[],0
"[135050, 160333, 274897, 219328]","[(249218, 208706), (243245, 219327)]",2
"[104517, 107412, 244364, 219328]","[(182621, 142145), (243245, 219327)]",2
"[106017, 25404, 245864, 165251]","[(111501, 26612), (145935, 34939), (110575, 36221), (181333, 62750), (200563, 62770), (182621, 142145)]",6
"[329386, 144461, 469233, 219328]",[],0
"[257956, 44337, 397803, 184184]",[],0
"[55210, 76392, 195057, 216239]","[(59458, 97155), (182621, 142145)]",2
"[86524, 28376, 226371, 168223]","[(91686, 32602), (98740, 33456), (105291, 33531), (145935, 34939), (110575, 36221), (97885, 36791), (103123, 45841), (97257, 47150), (181333, 62750), (200563, 62770), (182621, 142145)]",11
"[50190, 291547, 190037, 219328]",[],0
"[213268, 283144, 353115, 219328]",[],0
"[152628, 281685, 292475, 219328]",[],0
"[131587, 120944, 271434, 219328]","[(182621, 142145), (249218, 208706), (243245, 219327)]",3
"[317342, 228015, 457189, 219328]",[],0
"[312044, 152406, 451891, 219328]",[],0
"[244341, 266410, 384188, 219328]",[],0
"[195480, 51304, 335327, 191151]","[(200563, 62770)]",1
"[178156, 329391, 318003, 219328]",[],0
"[68593, 263153, 208440, 219328]",[],0
"[315913, 183895, 455760, 219328]",[],0
"[107930, 135537, 247777, 219328]","[(182621, 142145), (243245, 219327)]",2
"[16615, 150218, 156462, 219328]",[],0
"[69529, 123701, 209376, 219328]","[(182621, 142145)]",1
"[203183, 97498, 343030, 219328]","[(249218, 208706), (243245, 219327)]",2
"[182461, 231532, 322308, 219328]",[],0
"[40723, 60864, 180570, 200711]","[(59458, 97155), (72803, 67715)]",2
"[84850, 122817, 224697, 219328]","[(182621, 142145)]",1
"[31832, 308988, 171679, 219328]",[],0
"[288190, 323827, 428037, 219328]",[],0
"[46912, 22113, 186759, 161960]","[(49317, 22137), (47542, 24648), (60551, 27192), (53468, 27679), (59032, 35658), (50806, 40774), (59458, 97155), (165683, 22519), (73225, 23191), (93859, 24177), (73683, 24778), (85915, 25965), (111501, 26612), (91686, 32602), (98740, 33456), (105291, 33531), (145935, 34939), (110575, 36221), (97885, 36791), (103123, 45841), (97257, 47150), (181333, 62750), (72803, 67715), (182621, 142145)]",24
"[73361, 106956, 213208, 219328]","[(182621, 142145)]",1
"[326012, 310082, 465859, 219328]",[],0
"[70871, 213223, 210718, 219328]",[],0
"[56106, 202176, 195953, 219328]",[],0
"[68958, 27196, 208805, 167043]","[(91686, 32602), (98740, 33456), (105291, 33531), (145935, 34939), (110575, 36221), (97885, 36791), (103123, 45841), (97257, 47150), (181333, 62750), (200563, 62770), (72803, 67715), (182621, 142145)]",12
"[325575, 19460, 465422, 159307]","[(462771, 37243)]",1
"[110138, 105095, 249985, 219328]","[(182621, 142145), (249218, 208706), (243245, 219327)]",3
"[73073, 259373, 212920, 219328]",[],0
"[118519, 40143, 258366, 179990]","[(181333, 62750), (200563, 62770), (182621, 142145)]",3
"[20061, 293453, 159908, 219328]",[],0
"[231263, 333490, 371110, 219328]",[],0
"[61332, 144389, 201179, 219328]",[],0
"[44819, 123895, 184666, 219328]","[(182621, 142145)]",1
"[45850, 165959, 185697, 219328]",[],0
"[191771, 236742, 331618, 219328]",[],0
"[102655, 40120, 242502, 179967]","[(103123, 45841), (181333, 62750), (200563, 62770), (182621, 142145)]",4
"[272167, 253028, 412014, 219328]",[],0
"[28762, 320846, 168609, 219328]",[],0
"[61028, 213258, 200875, 219328]",[],0
"[112636, 144501, 252483, 219328]","[(249218, 208706), (243245, 219327)]",2
"[196103, 254645, 335950, 219328]",[],0
"[306839, 96944, 446686, 219328]",[],0
"[114764, 38552, 254611, 178399]","[(181333, 62750), (200563, 62770), (182621, 142145)]",3
"[91063, 93027, 230910, 219328]","[(182621, 142145)]",1
"[187587, 285713, 327434, 219328]",[],0
"[139549, 69570, 279396, 209417]","[(182621, 142145), (249218, 208706)]",2
"[321007, 240016, 460854, 219328]",[],0
"[99772, 15039, 239619, 154886]","[(171536, 15407), (125111, 15411), (125429, 15748), (164496, 15993), (117428, 16207), (114056, 16475), (130706, 16530), (109712, 16598), (138819, 16651), (229026, 16672), (232460, 17215), (144008, 17433), (101506, 17559), (128703, 17618), (194547, 17907), (150585, 18421), (141934, 18755), (108072, 19082), (148995, 19294), (155423, 20233), (165683, 22519), (111501, 26612), (105291, 33531), (145935, 34939), (110575, 36221), (103123, 45841), (181333, 62750), (200563, 62770), (182621, 142145)]",29
"[255384, 223025, 395231, 219328]",[],0
"[306495, 274769, 446342, 219328]",[],0
"[171404, 195367, 311251, 219328]","[(249218, 208706), (243245, 219327)]",2
"[211877, 139677, 351724, 219328]","[(249218, 208706), (243245, 219327)]",2
"[88549, 302032, 228396, 219328]",[],0
