BRC Query: Small,Points,Num Of Points
"[210096, 405503, 256711, 219328]",[],0
"[228617, 29342, 275232, 75957]",[],0
"[143863, 276172, 190478, 219328]",[],0
"[262883, 220419, 309498, 219328]",[],0
"[419053, 167140, 465668, 213755]",[],0
"[257991, 195837, 304606, 219328]",[],0
"[313977, 122643, 360592, 169258]",[],0
"[272718, 81136, 319333, 127751]",[],0
"[155881, 81384, 202496, 127999]",[],0
"[404376, 57835, 450991, 104450]",[],0
"[332320, 427234, 378935, 219328]",[],0
"[139454, 287333, 186069, 219328]",[],0
"[377830, 323687, 424445, 219328]",[],0
"[85167, 170723, 131782, 217338]",[],0
"[59897, 390759, 106512, 219328]",[],0
"[46779, 366721, 93394, 219328]",[],0
"[181235, 255655, 227850, 219328]",[],0
"[301620, 60913, 348235, 107528]",[],0
"[193605, 235748, 240220, 219328]",[],0
"[173895, 328397, 220510, 219328]",[],0
"[343883, 115322, 390498, 161937]",[],0
"[297798, 258207, 344413, 219328]",[],0
"[240215, 281456, 286830, 219328]",[],0
"[144689, 40769, 191304, 87384]","[(181333, 62750)]",1
"[295793, 15478, 342408, 62093]","[(337473, 17444), (306553, 24096)]",2
"[57018, 385449, 103633, 219328]",[],0
"[217215, 380494, 263830, 219328]",[],0
"[419708, 358421, 466323, 219328]",[],0
"[335936, 9783, 382551, 55331]","[(355045, 9783), (364501, 9783), (367671, 9783), (370147, 9783), (358657, 15258), (337473, 17444)]",6
"[328927, 266893, 375542, 219328]",[],0
"[182775, 135996, 229390, 182611]",[],0
"[390993, 178617, 437608, 219328]",[],0
"[377028, 41138, 423643, 87753]",[],0
"[108291, 305656, 154906, 219328]",[],0
"[124353, 133220, 170968, 179835]",[],0
"[82825, 292800, 129440, 219328]",[],0
"[242982, 55940, 289597, 102555]",[],0
"[50293, 175917, 96908, 219328]",[],0
"[274424, 264644, 321039, 219328]",[],0
"[65294, 166161, 111909, 212776]",[],0
"[297139, 160732, 343754, 207347]",[],0
"[378558, 73553, 425173, 120168]",[],0
"[295133, 182574, 341748, 219328]",[],0
