SRC Query,Depth,BBoxes,Data Size
"[[(2.27, 4.83), (2.94, 5.5)]]",4,"[[0, 8], [0, 8]]",64
"[[(9.08, 11.64), (17.83, 20.389999999999997)]]",4,"[[8, 16], [16, 24]]",64
"[[(17.33, 19.889999999999997), (13.55, 16.11)]]",0,"[(0, 31), (0, 31)]",1024
"[[(25.13, 27.689999999999998), (0.25, 2.81)]]",6,"[[24, 28], [0, 4]]",16
"[[(26.7, 29.259999999999998), (3.12, 5.68)]]",4,"[[24, 31], [0, 8]]",64
"[[(4.68, 7.24), (13.7, 16.259999999999998)]]",0,"[(0, 31), (0, 31)]",1024
"[[(27.04, 29.599999999999998), (13.28, 15.84)]]",5,"[[24, 31], [12, 16]]",32
"[[(4.78, 7.34), (24.12, 26.68)]]",6,"[[4, 8], [24, 28]]",16
"[[(5.38, 7.9399999999999995), (22.27, 24.83)]]",2,"[[0, 16], [16, 31]]",256
"[[(1.99, 4.55), (20.33, 22.889999999999997)]]",5,"[[0, 8], [20, 24]]",32
"[[(3.73, 6.29), (10.89, 13.450000000000001)]]",4,"[[0, 8], [8, 16]]",64
"[[(13.37, 15.93), (28.15, 30.709999999999997)]]",6,"[[12, 16], [28, 31]]",16
"[[(1.86, 4.42), (23.31, 25.869999999999997)]]",2,"[[0, 16], [16, 31]]",256
"[[(25.56, 28.119999999999997), (0.0, 2.54)]]",5,"[[24, 31], [0, 4]]",32
"[[(27.15, 29.709999999999997), (0.32, 2.88)]]",5,"[[24, 31], [0, 4]]",32
"[[(5.23, 7.790000000000001), (13.8, 16.36)]]",0,"[(0, 31), (0, 31)]",1024
"[[(19.95, 22.509999999999998), (26.03, 28.59)]]",4,"[[16, 24], [24, 31]]",64
"[[(7.67, 10.23), (19.44, 22.0)]]",3,"[[0, 16], [16, 24]]",128
"[[(1.1, 3.66), (16.54, 19.099999999999998)]]",6,"[[0, 4], [16, 20]]",16
"[[(7.51, 10.07), (17.75, 20.31)]]",3,"[[0, 16], [16, 24]]",128
"[[(9.26, 11.82), (13.88, 16.44)]]",0,"[(0, 31), (0, 31)]",1024
"[[(17.78, 20.34), (11.93, 14.49)]]",4,"[[16, 24], [8, 16]]",64
"[[(8.12, 10.68), (3.76, 6.32)]]",4,"[[8, 16], [0, 8]]",64
"[[(8.39, 10.950000000000001), (3.49, 6.050000000000001)]]",4,"[[8, 16], [0, 8]]",64
"[[(4.29, 6.85), (1.29, 3.85)]]",6,"[[4, 8], [0, 4]]",16
"[[(16.54, 19.099999999999998), (1.42, 3.98)]]",6,"[[16, 20], [0, 4]]",16
"[[(20.68, 23.24), (12.31, 14.870000000000001)]]",6,"[[20, 24], [12, 16]]",16
"[[(27.68, 30.24), (15.22, 17.78)]]",0,"[(0, 31), (0, 31)]",1024
"[[(0.29, 2.85), (26.63, 29.189999999999998)]]",4,"[[0, 8], [24, 31]]",64
"[[(22.82, 25.38), (3.52, 6.08)]]",3,"[[16, 31], [0, 8]]",128
"[[(25.15, 27.709999999999997), (27.2, 29.759999999999998)]]",4,"[[24, 31], [24, 31]]",64
"[[(14.93, 17.49), (9.44, 12.0)]]",1,"[(0, 31), [0, 16]]",512
"[[(13.59, 16.15), (15.4, 17.96)]]",0,"[(0, 31), (0, 31)]",1024
"[[(5.26, 7.82), (8.08, 10.64)]]",6,"[[4, 8], [8, 12]]",16
"[[(24.71, 27.27), (11.22, 13.780000000000001)]]",4,"[[24, 31], [8, 16]]",64
"[[(6.05, 8.61), (26.01, 28.57)]]",3,"[[0, 16], [24, 31]]",128
"[[(18.34, 20.9), (28.67, 31.0)]]",5,"[[16, 24], [28, 31]]",32
"[[(2.89, 5.45), (23.83, 26.389999999999997)]]",2,"[[0, 16], [16, 31]]",256
"[[(8.54, 11.1), (2.07, 4.63)]]",4,"[[8, 16], [0, 8]]",64
"[[(5.86, 8.42), (28.92, 31.0)]]",3,"[[0, 16], [24, 31]]",128
"[[(16.63, 19.189999999999998), (3.4, 5.96)]]",4,"[[16, 24], [0, 8]]",64
"[[(5.43, 7.99), (6.49, 9.05)]]",2,"[[0, 16], [0, 16]]",256
"[[(12.56, 15.120000000000001), (15.49, 18.05)]]",0,"[(0, 31), (0, 31)]",1024
"[[(5.95, 8.51), (0.0, 2.2600000000000002)]]",3,"[[0, 16], [0, 8]]",128
"[[(26.01, 28.57), (23.57, 26.13)]]",2,"[[16, 31], [16, 31]]",256
"[[(24.14, 26.7), (25.56, 28.119999999999997)]]",4,"[[24, 31], [24, 31]]",64
"[[(1.25, 3.81), (23.02, 25.58)]]",2,"[[0, 16], [16, 31]]",256
"[[(8.28, 10.84), (18.95, 21.509999999999998)]]",4,"[[8, 16], [16, 24]]",64
"[[(3.45, 6.01), (17.09, 19.65)]]",5,"[[0, 8], [16, 20]]",32
"[[(22.78, 25.34), (1.44, 4.0)]]",3,"[[16, 31], [0, 8]]",128
"[[(24.42, 26.98), (14.29, 16.849999999999998)]]",0,"[(0, 31), (0, 31)]",1024
"[[(28.58, 31.0), (16.5, 19.06)]]",6,"[[28, 31], [16, 20]]",16
"[[(25.53, 28.09), (25.61, 28.169999999999998)]]",4,"[[24, 31], [24, 31]]",64
"[[(12.08, 14.64), (0.0, 2.14)]]",6,"[[12, 16], [0, 4]]",16
"[[(20.79, 23.349999999999998), (4.02, 6.58)]]",6,"[[20, 24], [4, 8]]",16
"[[(0.35, 2.91), (22.14, 24.7)]]",2,"[[0, 16], [16, 31]]",256
"[[(7.74, 10.3), (9.72, 12.280000000000001)]]",3,"[[0, 16], [8, 16]]",128
"[[(19.79, 22.349999999999998), (1.48, 4.04)]]",4,"[[16, 24], [0, 8]]",64
"[[(7.06, 9.62), (14.94, 17.5)]]",0,"[(0, 31), (0, 31)]",1024
"[[(27.19, 29.75), (19.2, 21.759999999999998)]]",4,"[[24, 31], [16, 24]]",64
"[[(8.44, 11.0), (5.57, 8.13)]]",2,"[[0, 16], [0, 16]]",256
"[[(0.28, 2.84), (26.63, 29.189999999999998)]]",4,"[[0, 8], [24, 31]]",64
"[[(25.15, 27.709999999999997), (20.18, 22.74)]]",6,"[[24, 28], [20, 24]]",16
"[[(6.51, 9.07), (24.26, 26.82)]]",3,"[[0, 16], [24, 31]]",128
"[[(9.01, 11.57), (14.43, 16.99)]]",0,"[(0, 31), (0, 31)]",1024
"[[(10.27, 12.83), (11.8, 14.360000000000001)]]",4,"[[8, 16], [8, 16]]",64
"[[(15.22, 17.78), (19.91, 22.47)]]",1,"[(0, 31), [16, 31]]",512
"[[(5.89, 8.45), (17.74, 20.299999999999997)]]",3,"[[0, 16], [16, 24]]",128
"[[(26.19, 28.75), (12.94, 15.5)]]",5,"[[24, 31], [12, 16]]",32
"[[(2.86, 5.42), (2.36, 4.92)]]",4,"[[0, 8], [0, 8]]",64
"[[(11.71, 14.270000000000001), (16.11, 18.669999999999998)]]",5,"[[8, 16], [16, 20]]",32
"[[(25.78, 28.34), (9.49, 12.05)]]",4,"[[24, 31], [8, 16]]",64
"[[(14.39, 16.95), (15.14, 17.7)]]",0,"[(0, 31), (0, 31)]",1024
"[[(6.19, 8.75), (9.4, 11.96)]]",3,"[[0, 16], [8, 16]]",128
"[[(24.52, 27.08), (28.81, 31.0)]]",6,"[[24, 28], [28, 31]]",16
"[[(22.86, 25.419999999999998), (3.49, 6.050000000000001)]]",3,"[[16, 31], [0, 8]]",128
"[[(7.89, 10.45), (5.28, 7.84)]]",3,"[[0, 16], [0, 8]]",128
"[[(9.08, 11.64), (25.42, 27.98)]]",6,"[[8, 12], [24, 28]]",16
"[[(5.79, 8.35), (25.69, 28.25)]]",3,"[[0, 16], [24, 31]]",128
"[[(22.58, 25.139999999999997), (24.21, 26.77)]]",3,"[[16, 31], [24, 31]]",128
"[[(23.19, 25.75), (9.89, 12.450000000000001)]]",3,"[[16, 31], [8, 16]]",128
"[[(13.31, 15.870000000000001), (22.16, 24.72)]]",2,"[[0, 16], [16, 31]]",256
"[[(7.57, 10.13), (28.6, 31.0)]]",3,"[[0, 16], [24, 31]]",128
"[[(13.22, 15.780000000000001), (11.84, 14.4)]]",4,"[[8, 16], [8, 16]]",64
"[[(22.13, 24.689999999999998), (20.31, 22.869999999999997)]]",3,"[[16, 31], [16, 24]]",128
"[[(27.58, 30.139999999999997), (28.19, 30.75)]]",5,"[[24, 31], [28, 31]]",32
"[[(25.94, 28.5), (14.42, 16.98)]]",0,"[(0, 31), (0, 31)]",1024
"[[(2.85, 5.41), (16.75, 19.31)]]",5,"[[0, 8], [16, 20]]",32
"[[(19.39, 21.95), (24.41, 26.97)]]",5,"[[16, 24], [24, 28]]",32
"[[(20.87, 23.43), (1.11, 3.67)]]",6,"[[20, 24], [0, 4]]",16
"[[(10.21, 12.770000000000001), (25.31, 27.869999999999997)]]",5,"[[8, 16], [24, 28]]",32
"[[(19.08, 21.639999999999997), (0.18, 2.74)]]",5,"[[16, 24], [0, 4]]",32
"[[(21.91, 24.47), (21.29, 23.849999999999998)]]",3,"[[16, 31], [16, 24]]",128
"[[(15.31, 17.87), (15.83, 18.39)]]",0,"[(0, 31), (0, 31)]",1024
"[[(21.56, 24.119999999999997), (9.55, 12.110000000000001)]]",3,"[[16, 31], [8, 16]]",128
"[[(0.0, 2.0700000000000003), (10.62, 13.18)]]",4,"[[0, 8], [8, 16]]",64
"[[(7.48, 10.040000000000001), (20.83, 23.389999999999997)]]",3,"[[0, 16], [16, 24]]",128
"[[(18.41, 20.97), (25.53, 28.09)]]",4,"[[16, 24], [24, 31]]",64
"[[(16.02, 18.58), (7.42, 9.98)]]",2,"[[16, 31], [0, 16]]",256
