SRC_exhaustive Query: Large,Depth,BBoxes,Data Size
"[6, 12, 10, 16]",4,"[6, 12, 10, 16]",16
"[6, 0, 10, 4]",4,"[6, 0, 10, 4]",16
"[4, 8, 8, 12]",4,"[4, 8, 8, 12]",16
"[7, 6, 11, 10]",2,"[4, 4, 12, 12]",64
"[12, 4, 16, 8]",4,"[12, 4, 16, 8]",16
