BRC Query,Data Size
"[[(10.72, 11.71), (53.18, 54.18)]]",4
"[[(10.61, 11.61), (51.59, 52.59)]]",34
"[[(11.74, 12.74), (50.24, 51.24)]]",5
"[[(9.37, 10.36), (51.21, 52.21)]]",39
"[[(8.73, 9.72), (49.75, 50.74)]]",61
"[[(10.99, 11.99), (48.6, 49.6)]]",35
"[[(7.18, 8.17), (48.39, 49.39)]]",0
"[[(10.59, 11.58), (48.19, 49.19)]]",25
"[[(7.61, 8.61), (51.96, 52.95)]]",38
"[[(8.8, 9.8), (48.94, 49.94)]]",7
"[[(11.81, 12.81), (49.39, 50.38)]]",0
"[[(12.55, 13.55), (53.41, 54.4)]]",4
"[[(7.03, 8.03), (50.9, 51.89)]]",200
"[[(7.54, 8.53), (50.85, 51.84)]]",90
"[[(12.54, 13.53), (48.45, 49.45)]]",0
"[[(12.66, 13.66), (50.51, 51.5)]]",0
"[[(6.86, 7.86), (49.04, 50.03)]]",0
"[[(10.41, 11.41), (50.06, 51.05)]]",47
"[[(8.04, 9.03), (52.93, 53.92)]]",0
"[[(12.73, 13.73), (51.55, 52.55)]]",248
"[[(11.08, 12.08), (53.81, 54.79805556)]]",10
"[[(11.63, 12.62), (48.92, 49.91)]]",0
"[[(9.05, 10.05), (51.49, 52.48)]]",86
"[[(9.41, 10.41), (51.26, 52.25)]]",43
"[[(7.48, 8.47), (53.27, 54.27)]]",0
"[[(12.61, 13.61), (48.78, 49.77)]]",0
"[[(7.34, 8.33), (49.47, 50.46)]]",29
"[[(12.05, 13.05), (52.91, 53.9)]]",9
"[[(7.76, 8.76), (51.87, 52.86)]]",58
"[[(11.87, 12.87), (50.0, 50.99)]]",0
"[[(11.4, 12.39), (49.44, 50.44)]]",0
"[[(6.88, 7.87), (53.26, 54.25)]]",0
"[[(7.45, 8.45), (53.39, 54.39)]]",0
"[[(6.74, 7.74), (52.55, 53.55)]]",0
"[[(9.42, 10.41), (50.04, 51.03)]]",33
"[[(11.26, 12.25), (53.3, 54.29)]]",23
"[[(7.87, 8.86), (49.63, 50.62)]]",82
"[[(10.0, 10.99), (52.57, 53.57)]]",10
"[[(7.17, 8.17), (51.28, 52.27)]]",209
"[[(10.03, 11.02), (48.49, 49.48)]]",7
"[[(12.63, 13.63), (53.6, 54.6)]]",0
"[[(10.0, 11.0), (50.59, 51.58)]]",31
"[[(8.2, 9.2), (52.63, 53.63)]]",0
"[[(12.17, 13.16), (48.97, 49.96)]]",0
"[[(11.69, 12.68), (53.11, 54.11)]]",20
"[[(7.99, 8.98), (48.51, 49.51)]]",25
"[[(11.92, 12.91), (49.42, 50.41)]]",0
"[[(10.61, 11.61), (50.1, 51.1)]]",53
"[[(12.78, 13.78), (50.36, 51.35)]]",0
"[[(7.11, 8.11), (49.06, 50.05)]]",0
"[[(10.36, 11.35), (49.03, 50.02)]]",50
"[[(7.0, 8.0), (53.1, 54.1)]]",0
"[[(10.4, 11.4), (49.61, 50.6)]]",15
"[[(8.36, 9.36), (53.53, 54.52)]]",0
"[[(11.61, 12.6), (53.7, 54.7)]]",23
"[[(9.49, 10.48), (49.07, 50.07)]]",21
"[[(10.29, 11.28), (53.25, 54.24)]]",11
"[[(12.3, 13.3), (50.4, 51.39)]]",8
"[[(7.93, 8.92), (53.67, 54.67)]]",0
"[[(11.29, 12.29), (48.26, 49.25)]]",28
"[[(6.87, 7.87), (49.8, 50.8)]]",55
"[[(12.43, 13.42), (52.8, 53.79)]]",15
"[[(10.28, 11.28), (52.23, 53.23)]]",42
"[[(10.04, 11.04), (49.0, 50.0)]]",37
"[[(11.67, 12.67), (50.19, 51.19)]]",5
"[[(8.54, 9.53), (48.39, 49.39)]]",38
"[[(10.91, 11.91), (50.1, 51.09)]]",47
"[[(8.59, 9.59), (49.85, 50.84)]]",86
"[[(8.95, 9.95), (48.24, 49.24)]]",36
"[[(9.14, 10.14), (48.15, 49.14)]]",33
"[[(7.87, 8.86), (52.5, 53.5)]]",0
"[[(12.5, 13.5), (50.51, 51.51)]]",0
"[[(9.71, 10.7), (52.42, 53.42)]]",6
"[[(8.56, 9.55), (52.95, 53.95)]]",0
"[[(7.91, 8.9), (49.74, 50.73)]]",82
"[[(11.12, 12.11), (48.42, 49.42)]]",22
"[[(8.84, 9.84), (51.95, 52.95)]]",71
"[[(11.21, 12.2), (50.43, 51.42)]]",42
"[[(11.97, 12.97), (51.77, 52.77)]]",30
"[[(11.54, 12.54), (49.28, 50.28)]]",0
"[[(10.28, 11.27), (53.57, 54.56)]]",11
"[[(8.12, 9.12), (49.35, 50.34)]]",113
"[[(10.6, 11.6), (52.16, 53.16)]]",34
"[[(9.84, 10.84), (50.3, 51.3)]]",24
"[[(8.93, 9.92), (50.04, 51.03)]]",38
"[[(8.1, 9.09), (49.14, 50.14)]]",115
"[[(9.64, 10.64), (49.54, 50.53)]]",20
"[[(7.24, 8.24), (49.2, 50.2)]]",2
"[[(11.93, 12.92), (49.28, 50.28)]]",0
"[[(9.47, 10.47), (48.94, 49.94)]]",19
