,BRC Size,SRC Size,Diff,F/P %,SRC Depth,Error %
0,1753,10524,8771,6.00342270393611,1,16.657164576206764
1,2302,5262,2960,2.2858384013900954,2,43.747624477385024
2,20,5262,5242,263.1,2,0.3800836183960471
3,0,5262,5262,inf,2,0.0
4,2020,2631,611,1.3024752475247525,3,76.77689091600152
5,715,1316,601,1.8405594405594405,4,54.33130699088146
6,0,5262,5262,inf,2,0.0
7,0,5262,5262,inf,2,0.0
8,1273,10524,9251,8.267085624509035,1,12.0961611554542
9,0,5262,5262,inf,2,0.0
10,25,1315,1290,52.6,4,1.9011406844106464
11,0,41,41,inf,9,0.0
12,57,5262,5205,92.3157894736842,2,1.0832383124287344
13,1594,10524,8930,6.602258469259724,1,15.146332193082479
14,1258,5262,4004,4.1828298887122415,2,23.907259597111363
15,1605,5262,3657,3.278504672897196,2,30.50171037628278
16,709,21048,20339,29.686882933709448,0,3.3684910680349676
17,0,5262,5262,inf,2,0.0
18,1,5262,5261,5262.0,2,0.019004180919802355
19,0,2,2,inf,13,0.0
20,2108,5262,3154,2.4962049335863377,2,40.060813378943365
21,0,5262,5262,inf,2,0.0
22,776,5262,4486,6.780927835051546,2,14.747244393766628
23,1116,5262,4146,4.71505376344086,2,21.20866590649943
24,2829,10524,7695,3.7200424178154825,1,26.88141391106043
25,1386,10524,9138,7.593073593073593,1,13.169897377423034
26,0,1315,1315,inf,4,0.0
27,1570,5262,3692,3.351592356687898,2,29.836564044089698
28,0,5262,5262,inf,2,0.0
29,877,2631,1754,3.0,3,33.33333333333333
30,1590,2631,1041,1.6547169811320754,3,60.43329532497149
31,2110,10524,8414,4.987677725118483,1,20.049410870391487
32,2828,5262,2434,1.8606789250353606,2,53.74382364120106
33,197,2631,2434,13.355329949238579,3,7.487647282402128
34,15,5262,5247,350.8,2,0.28506271379703535
35,2330,10524,8194,4.516738197424893,1,22.139870771569743
36,0,329,329,inf,6,0.0
37,0,1315,1315,inf,4,0.0
38,0,41,41,inf,9,0.0
