,BRC Size,SRC Size,Diff,F/P %,SRC Depth,Error %
0,1753,10524,8771,6.00342270393611,1,16.657164576206764
1,2302,5262,2960,2.2858384013900954,2,43.747624477385024
2,20,5262,5242,263.1,2,0.3800836183960471
3,0,5262,5262,inf,2,0.0
4,2020,10524,8504,5.20990099009901,1,19.19422272900038
5,715,21048,20333,29.43776223776224,0,3.396997339414671
6,0,5262,5262,inf,2,0.0
7,0,5262,5262,inf,2,0.0
8,1273,21048,19775,16.53417124901807,0,6.0480805777271
9,0,5262,5262,inf,2,0.0
10,25,1315,1290,52.6,4,1.9011406844106464
11,0,41,41,inf,9,0.0
12,57,5262,5205,92.3157894736842,2,1.0832383124287344
13,1594,21048,19454,13.204516938519449,0,7.5731660965412395
14,1258,10524,9266,8.365659777424483,1,11.953629798555681
15,1605,5262,3657,3.278504672897196,2,30.50171037628278
16,709,21048,20339,29.686882933709448,0,3.3684910680349676
17,0,5262,5262,inf,2,0.0
18,1,5262,5261,5262.0,2,0.019004180919802355
19,0,2,2,inf,13,0.0
20,2108,5262,3154,2.4962049335863377,2,40.060813378943365
21,0,5262,5262,inf,2,0.0
22,776,21048,20272,27.123711340206185,0,3.686811098441657
23,1116,21048,19932,18.86021505376344,0,5.3021664766248575
24,2829,10524,7695,3.7200424178154825,1,26.88141391106043
25,1386,10524,9138,7.593073593073593,1,13.169897377423034
26,0,1315,1315,inf,4,0.0
27,1570,10524,8954,6.703184713375796,1,14.918282022044849
28,0,5262,5262,inf,2,0.0
29,877,2631,1754,3.0,3,33.33333333333333
30,1590,5262,3672,3.309433962264151,2,30.216647662485745
31,2110,10524,8414,4.987677725118483,1,20.049410870391487
32,2828,10524,7696,3.721357850070721,1,26.87191182060053
33,197,2631,2434,13.355329949238579,3,7.487647282402128
34,15,5262,5247,350.8,2,0.28506271379703535
35,2330,10524,8194,4.516738197424893,1,22.139870771569743
36,0,329,329,inf,6,0.0
37,0,1315,1315,inf,4,0.0
38,0,41,41,inf,9,0.0
