,BRC Size,SRC Size,Diff,F/P %,SRC Depth,Error %
0,0,1316,1316,inf,4,0.0
1,47,5262,5215,111.95744680851064,2,0.8931965032307109
2,2987,21048,18061,7.046534984934717,0,14.19137210186241
3,72,328,256,4.555555555555555,6,21.951219512195124
4,0,1316,1316,inf,4,0.0
5,685,5262,4577,7.6817518248175185,2,13.017863930064614
6,3514,10524,7010,2.9948776323278317,1,33.390345876092745
7,0,1315,1315,inf,4,0.0
8,1892,5262,3370,2.781183932346723,2,35.955910300266055
9,2162,5262,3100,2.4338575393154485,2,41.087039148612696
10,1483,5262,3779,3.548213081591369,2,28.183200304066897
11,2749,10524,7775,3.8283012004365222,1,26.12124667426834
12,1492,10524,9032,7.053619302949062,1,14.177118966172559
13,2238,5262,3024,2.351206434316354,2,42.53135689851767
14,771,1316,545,1.7068741893644617,4,58.58662613981763
15,257,5262,5005,20.474708171206224,2,4.884074496389205
16,1253,5262,4009,4.19952114924182,2,23.812238692512352
17,1682,5262,3580,3.1284185493460166,2,31.965032307107567
18,612,2631,2019,4.299019607843137,3,23.261117445838085
19,1241,2631,1390,2.120064464141821,3,47.16837704294945
20,1189,2631,1442,2.2127838519764507,3,45.191942227290006
21,56,1316,1260,23.5,4,4.25531914893617
22,1220,2631,1411,2.15655737704918,3,46.37020144431775
23,0,1316,1316,inf,4,0.0
24,1607,5262,3655,3.2744243932794026,2,30.539718738122385
25,760,1315,555,1.730263157894737,4,57.79467680608364
26,375,21048,20673,56.128,0,1.781641961231471
27,820,2631,1811,3.2085365853658536,3,31.166856708475866
28,0,1316,1316,inf,4,0.0
29,690,5262,4572,7.626086956521739,2,13.112884834663626
30,929,2631,1702,2.8320775026910656,3,35.309768148992774
31,2196,10524,8328,4.7923497267759565,1,20.86659064994299
32,281,1316,1035,4.683274021352313,4,21.35258358662614
33,115,21048,20933,183.02608695652174,0,0.5463702014443178
34,204,1316,1112,6.450980392156863,4,15.501519756838904
35,0,1316,1316,inf,4,0.0
36,0,5262,5262,inf,2,0.0
37,623,10524,9901,16.892455858747994,1,5.919802356518434
38,2374,5262,2888,2.2165122156697556,2,45.1159255036108
39,0,1315,1315,inf,4,0.0
40,2731,10524,7793,3.853533504210912,1,25.950209045990118
41,1813,5262,3449,2.9023717595146166,2,34.45458000760167
42,346,5262,4916,15.208092485549132,2,6.575446598251615
43,0,328,328,inf,6,0.0
44,2146,5262,3116,2.452003727865797,2,40.782972253895856
45,1121,5262,4141,4.694023193577164,2,21.30368681109844
46,158,1315,1157,8.322784810126583,4,12.015209125475284
47,2397,5262,2865,2.195244055068836,2,45.55302166476625
48,230,5262,5032,22.878260869565217,2,4.370961611554542
49,1106,5262,4156,4.757685352622062,2,21.018624097301405
50,0,5262,5262,inf,2,0.0
51,1348,5262,3914,3.9035608308605343,2,25.617635879893573
52,340,5262,4922,15.476470588235294,2,6.461421512732802
53,1426,5262,3836,3.6900420757363253,2,27.09996199163816
54,161,1316,1155,8.173913043478262,4,12.23404255319149
55,426,1315,889,3.0868544600938965,4,32.39543726235741
56,2319,10524,8205,4.538163001293661,1,22.035347776510832
57,0,5262,5262,inf,2,0.0
58,2515,10524,8009,4.184493041749503,1,23.897757506651462
59,71,21048,20977,296.4507042253521,0,0.3373242113264918
