SRC_exhaustive Query: Medium,Depth,BBoxes,Data Size
"[24, 48, 36, 60]",4,"[24, 48, 40, 64]",256
"[26, 2, 38, 14]",4,"[24, 0, 40, 16]",256
"[16, 32, 28, 44]",4,"[16, 32, 32, 48]",256
"[31, 25, 43, 37]",2,"[16, 16, 48, 48]",1024
"[50, 19, 62, 31]",4,"[48, 16, 64, 32]",256
"[30, 22, 42, 34]",2,"[16, 16, 48, 48]",1024
"[37, 13, 49, 25]",2,"[32, 0, 64, 32]",1024
"[32, 8, 44, 20]",4,"[32, 8, 48, 24]",256
"[18, 8, 30, 20]",4,"[16, 8, 32, 24]",256
"[48, 6, 60, 18]",3,"[48, 0, 64, 32]",512
"[39, 51, 51, 63]",2,"[32, 32, 64, 64]",1024
"[16, 34, 28, 46]",4,"[16, 32, 32, 48]",256
"[45, 51, 57, 63]",2,"[32, 32, 64, 64]",1024
"[38, 9, 50, 21]",2,"[32, 0, 64, 32]",1024
"[19, 6, 31, 18]",3,"[16, 0, 32, 32]",512
"[46, 4, 58, 16]",2,"[32, 0, 64, 32]",1024
"[43, 21, 55, 33]",3,"[40, 16, 56, 48]",512
"[30, 35, 42, 47]",2,"[16, 16, 48, 48]",1024
"[6, 22, 18, 34]",2,"[0, 16, 32, 48]",1024
"[27, 20, 39, 32]",4,"[24, 16, 40, 32]",256
"[39, 40, 51, 52]",2,"[32, 32, 64, 64]",1024
"[13, 35, 25, 47]",2,"[0, 16, 32, 48]",1024
"[30, 28, 42, 40]",2,"[16, 16, 48, 48]",1024
"[33, 16, 45, 28]",4,"[32, 16, 48, 32]",256
"[3, 51, 15, 63]",4,"[0, 48, 16, 64]",256
"[35, 0, 47, 12]",4,"[32, 0, 48, 16]",256
"[5, 46, 17, 58]",2,"[0, 32, 32, 64]",1024
"[25, 45, 37, 57]",3,"[24, 32, 40, 64]",512
"[52, 50, 64, 62]",4,"[48, 48, 64, 64]",256
"[42, 40, 54, 52]",4,"[40, 40, 56, 56]",256
"[0, 39, 12, 51]",3,"[0, 32, 16, 64]",512
"[31, 52, 43, 64]",2,"[16, 32, 48, 64]",1024
"[21, 15, 33, 27]",2,"[16, 0, 48, 32]",1024
"[46, 20, 58, 32]",2,"[32, 0, 64, 32]",1024
"[45, 4, 57, 16]",2,"[32, 0, 64, 32]",1024
"[12, 36, 24, 48]",4,"[8, 32, 24, 48]",256
"[14, 15, 26, 27]",2,"[0, 0, 32, 32]",1024
"[51, 9, 63, 21]",4,"[48, 8, 64, 24]",256
"[51, 34, 63, 46]",4,"[48, 32, 64, 48]",256
"[28, 5, 40, 17]",3,"[24, 0, 40, 32]",512
"[5, 20, 17, 32]",2,"[0, 0, 32, 32]",1024
"[32, 31, 44, 43]",3,"[32, 16, 48, 48]",512
"[6, 19, 18, 31]",2,"[0, 0, 32, 32]",1024
"[35, 18, 47, 30]",4,"[32, 16, 48, 32]",256
"[45, 7, 57, 19]",2,"[32, 0, 64, 32]",1024
"[35, 21, 47, 33]",3,"[32, 16, 48, 48]",512
"[52, 34, 64, 46]",4,"[48, 32, 64, 48]",256
"[13, 51, 25, 63]",2,"[0, 32, 32, 64]",1024
"[38, 35, 50, 47]",2,"[32, 16, 64, 48]",1024
"[37, 18, 49, 30]",2,"[32, 0, 64, 32]",1024
"[28, 5, 40, 17]",3,"[24, 0, 40, 32]",512
"[38, 51, 50, 63]",2,"[32, 32, 64, 64]",1024
"[24, 20, 36, 32]",4,"[24, 16, 40, 32]",256
"[36, 15, 48, 27]",3,"[32, 0, 48, 32]",512
"[18, 11, 30, 23]",4,"[16, 8, 32, 24]",256
"[12, 52, 24, 64]",4,"[8, 48, 24, 64]",256
"[11, 2, 23, 14]",4,"[8, 0, 24, 16]",256
"[39, 42, 51, 54]",2,"[32, 32, 64, 64]",1024
"[16, 30, 28, 42]",3,"[16, 16, 32, 48]",512
"[4, 5, 16, 17]",3,"[0, 0, 16, 32]",512
"[43, 48, 55, 60]",4,"[40, 48, 56, 64]",256
"[8, 9, 20, 21]",4,"[8, 8, 24, 24]",256
"[2, 5, 14, 17]",3,"[0, 0, 16, 32]",512
"[44, 34, 56, 46]",4,"[40, 32, 56, 48]",256
"[43, 25, 55, 37]",4,"[40, 24, 56, 40]",256
"[45, 33, 57, 45]",2,"[32, 16, 64, 48]",1024
"[17, 33, 29, 45]",4,"[16, 32, 32, 48]",256
"[51, 15, 63, 27]",3,"[48, 0, 64, 32]",512
"[13, 43, 25, 55]",2,"[0, 32, 32, 64]",1024
"[37, 52, 49, 64]",2,"[32, 32, 64, 64]",1024
"[26, 37, 38, 49]",3,"[24, 32, 40, 64]",512
"[17, 28, 29, 40]",4,"[16, 24, 32, 40]",256
"[31, 42, 43, 54]",2,"[16, 32, 48, 64]",1024
"[41, 44, 53, 56]",4,"[40, 40, 56, 56]",256
"[50, 22, 62, 34]",3,"[48, 16, 64, 48]",512
"[5, 20, 17, 32]",2,"[0, 0, 32, 32]",1024
"[39, 7, 51, 19]",2,"[32, 0, 64, 32]",1024
"[31, 37, 43, 49]",2,"[16, 32, 48, 64]",1024
"[40, 21, 52, 33]",3,"[40, 16, 56, 48]",512
"[12, 15, 24, 27]",3,"[8, 0, 24, 32]",512
"[1, 46, 13, 58]",3,"[0, 32, 16, 64]",512
"[17, 7, 29, 19]",3,"[16, 0, 32, 32]",512
"[45, 14, 57, 26]",2,"[32, 0, 64, 32]",1024
"[23, 50, 35, 62]",2,"[16, 32, 48, 64]",1024
"[10, 21, 22, 33]",3,"[8, 16, 24, 48]",512
"[27, 52, 39, 64]",4,"[24, 48, 40, 64]",256
"[3, 6, 15, 18]",3,"[0, 0, 16, 32]",512
"[50, 9, 62, 21]",4,"[48, 8, 64, 24]",256
"[44, 14, 56, 26]",3,"[40, 0, 56, 32]",512
"[2, 52, 14, 64]",4,"[0, 48, 16, 64]",256
"[36, 40, 48, 52]",4,"[32, 40, 48, 56]",256
"[34, 38, 46, 50]",3,"[32, 32, 48, 64]",512
"[43, 4, 55, 16]",4,"[40, 0, 56, 16]",256
"[1, 7, 13, 19]",3,"[0, 0, 16, 32]",512
"[40, 12, 52, 24]",4,"[40, 8, 56, 24]",256
"[38, 36, 50, 48]",2,"[32, 16, 64, 48]",1024
