SRC_random Query: Medium,Depth,BBoxes,Data Size
"[1, 26, 7, 32]",4,"[0, 24, 8, 32]",64
"[2, 22, 8, 28]",4,"[0, 20, 8, 28]",64
"[26, 17, 32, 23]",4,"[24, 16, 32, 24]",64
"[21, 12, 27, 18]",4,"[20, 12, 28, 20]",64
"[26, 22, 32, 28]",4,"[24, 20, 32, 28]",64
"[16, 8, 22, 14]",4,"[16, 8, 24, 16]",64
"[16, 25, 22, 31]",4,"[16, 24, 24, 32]",64
"[7, 6, 13, 12]",2,"[0, 0, 16, 16]",256
"[21, 18, 27, 24]",4,"[20, 16, 28, 24]",64
"[26, 13, 32, 19]",4,"[24, 12, 32, 20]",64
"[18, 8, 24, 14]",4,"[16, 8, 24, 16]",64
"[14, 15, 20, 21]",3,"[12, 8, 20, 24]",128
"[21, 20, 27, 26]",4,"[20, 20, 28, 28]",64
"[22, 25, 28, 31]",4,"[20, 24, 28, 32]",64
"[11, 2, 17, 8]",2,"[8, 0, 24, 16]",256
"[10, 19, 16, 25]",3,"[8, 16, 16, 32]",128
"[3, 15, 9, 21]",2,"[0, 8, 16, 24]",256
"[18, 20, 24, 26]",4,"[16, 20, 24, 28]",64
"[10, 6, 16, 12]",4,"[8, 4, 16, 12]",64
"[7, 0, 13, 6]",2,"[0, 0, 16, 16]",256
"[23, 8, 29, 14]",2,"[16, 8, 32, 24]",256
"[3, 22, 9, 28]",2,"[0, 16, 16, 32]",256
"[7, 11, 13, 17]",2,"[0, 8, 16, 24]",256
"[25, 5, 31, 11]",4,"[24, 4, 32, 12]",64
"[10, 13, 16, 19]",4,"[8, 12, 16, 20]",64
"[26, 1, 32, 7]",4,"[24, 0, 32, 8]",64
"[3, 25, 9, 31]",2,"[0, 16, 16, 32]",256
"[4, 22, 10, 28]",4,"[4, 20, 12, 28]",64
"[7, 1, 13, 7]",2,"[0, 0, 16, 16]",256
"[26, 18, 32, 24]",4,"[24, 16, 32, 24]",64
"[20, 17, 26, 23]",4,"[20, 16, 28, 24]",64
"[19, 21, 25, 27]",2,"[16, 16, 32, 32]",256
"[2, 0, 8, 6]",4,"[0, 0, 8, 8]",64
"[3, 20, 9, 26]",2,"[0, 16, 16, 32]",256
"[6, 19, 12, 25]",3,"[4, 16, 12, 32]",128
"[26, 18, 32, 24]",4,"[24, 16, 32, 24]",64
"[3, 12, 9, 18]",2,"[0, 8, 16, 24]",256
"[2, 11, 8, 17]",3,"[0, 8, 8, 24]",128
"[26, 3, 32, 9]",3,"[24, 0, 32, 16]",128
"[1, 19, 7, 25]",3,"[0, 16, 8, 32]",128
"[0, 6, 6, 12]",4,"[0, 4, 8, 12]",64
"[5, 22, 11, 28]",4,"[4, 20, 12, 28]",64
"[3, 15, 9, 21]",2,"[0, 8, 16, 24]",256
"[6, 23, 12, 29]",3,"[4, 16, 12, 32]",128
"[25, 1, 31, 7]",4,"[24, 0, 32, 8]",64
"[21, 0, 27, 6]",4,"[20, 0, 28, 8]",64
"[17, 13, 23, 19]",4,"[16, 12, 24, 20]",64
"[19, 3, 25, 9]",2,"[16, 0, 32, 16]",256
"[26, 8, 32, 14]",4,"[24, 8, 32, 16]",64
"[2, 7, 8, 13]",3,"[0, 0, 8, 16]",128
"[2, 20, 8, 26]",4,"[0, 20, 8, 28]",64
"[9, 11, 15, 17]",3,"[8, 8, 16, 24]",128
"[13, 5, 19, 11]",4,"[12, 4, 20, 12]",64
"[1, 16, 7, 22]",4,"[0, 16, 8, 24]",64
"[14, 1, 20, 7]",4,"[12, 0, 20, 8]",64
"[19, 3, 25, 9]",2,"[16, 0, 32, 16]",256
"[22, 12, 28, 18]",4,"[20, 12, 28, 20]",64
"[6, 8, 12, 14]",4,"[4, 8, 12, 16]",64
"[11, 23, 17, 29]",2,"[8, 16, 24, 32]",256
"[15, 26, 21, 32]",2,"[8, 16, 24, 32]",256
"[18, 5, 24, 11]",4,"[16, 4, 24, 12]",64
"[22, 21, 28, 27]",4,"[20, 20, 28, 28]",64
"[6, 24, 12, 30]",4,"[4, 24, 12, 32]",64
"[1, 25, 7, 31]",4,"[0, 24, 8, 32]",64
"[21, 5, 27, 11]",4,"[20, 4, 28, 12]",64
"[5, 10, 11, 16]",4,"[4, 8, 12, 16]",64
"[16, 8, 22, 14]",4,"[16, 8, 24, 16]",64
"[3, 19, 9, 25]",2,"[0, 16, 16, 32]",256
"[14, 21, 20, 27]",4,"[12, 20, 20, 28]",64
"[5, 0, 11, 6]",4,"[4, 0, 12, 8]",64
"[15, 21, 21, 27]",2,"[8, 16, 24, 32]",256
"[13, 18, 19, 24]",4,"[12, 16, 20, 24]",64
"[16, 9, 22, 15]",4,"[16, 8, 24, 16]",64
"[20, 11, 26, 17]",3,"[20, 8, 28, 24]",128
"[12, 26, 18, 32]",4,"[12, 24, 20, 32]",64
"[21, 8, 27, 14]",4,"[20, 8, 28, 16]",64
"[4, 17, 10, 23]",4,"[4, 16, 12, 24]",64
"[22, 0, 28, 6]",4,"[20, 0, 28, 8]",64
"[14, 23, 20, 29]",3,"[12, 16, 20, 32]",128
"[2, 10, 8, 16]",4,"[0, 8, 8, 16]",64
"[23, 1, 29, 7]",2,"[16, 0, 32, 16]",256
"[17, 8, 23, 14]",4,"[16, 8, 24, 16]",64
"[4, 7, 10, 13]",3,"[4, 0, 12, 16]",128
"[24, 15, 30, 21]",3,"[24, 8, 32, 24]",128
"[11, 19, 17, 25]",2,"[8, 16, 24, 32]",256
"[9, 21, 15, 27]",4,"[8, 20, 16, 28]",64
"[11, 18, 17, 24]",2,"[8, 16, 24, 32]",256
"[20, 19, 26, 25]",3,"[20, 16, 28, 32]",128
"[4, 22, 10, 28]",4,"[4, 20, 12, 28]",64
"[9, 12, 15, 18]",4,"[8, 12, 16, 20]",64
"[23, 13, 29, 19]",2,"[16, 8, 32, 24]",256
"[26, 20, 32, 26]",4,"[24, 20, 32, 28]",64
"[2, 0, 8, 6]",4,"[0, 0, 8, 8]",64
"[19, 6, 25, 12]",2,"[16, 0, 32, 16]",256
"[22, 10, 28, 16]",4,"[20, 8, 28, 16]",64
"[5, 7, 11, 13]",3,"[4, 0, 12, 16]",128
"[7, 20, 13, 26]",2,"[0, 16, 16, 32]",256
"[14, 12, 20, 18]",4,"[12, 12, 20, 20]",64
"[22, 21, 28, 27]",4,"[20, 20, 28, 28]",64
"[18, 13, 24, 19]",4,"[16, 12, 24, 20]",64
"[1, 12, 7, 18]",4,"[0, 12, 8, 20]",64
"[22, 18, 28, 24]",4,"[20, 16, 28, 24]",64
"[13, 24, 19, 30]",4,"[12, 24, 20, 32]",64
"[21, 22, 27, 28]",4,"[20, 20, 28, 28]",64
"[1, 5, 7, 11]",4,"[0, 4, 8, 12]",64
"[14, 2, 20, 8]",4,"[12, 0, 20, 8]",64
"[8, 22, 14, 28]",4,"[8, 20, 16, 28]",64
"[5, 14, 11, 20]",4,"[4, 12, 12, 20]",64
"[16, 15, 22, 21]",3,"[16, 8, 24, 24]",128
"[17, 19, 23, 25]",3,"[16, 16, 24, 32]",128
"[24, 0, 30, 6]",4,"[24, 0, 32, 8]",64
"[1, 15, 7, 21]",3,"[0, 8, 8, 24]",128
"[10, 9, 16, 15]",4,"[8, 8, 16, 16]",64
"[26, 14, 32, 20]",4,"[24, 12, 32, 20]",64
"[1, 25, 7, 31]",4,"[0, 24, 8, 32]",64
"[26, 25, 32, 31]",4,"[24, 24, 32, 32]",64
"[13, 6, 19, 12]",4,"[12, 4, 20, 12]",64
"[17, 20, 23, 26]",4,"[16, 20, 24, 28]",64
"[2, 26, 8, 32]",4,"[0, 24, 8, 32]",64
"[23, 4, 29, 10]",2,"[16, 0, 32, 16]",256
"[0, 12, 6, 18]",4,"[0, 12, 8, 20]",64
"[21, 13, 27, 19]",4,"[20, 12, 28, 20]",64
"[10, 0, 16, 6]",4,"[8, 0, 16, 8]",64
"[6, 0, 12, 6]",4,"[4, 0, 12, 8]",64
"[22, 24, 28, 30]",4,"[20, 24, 28, 32]",64
"[0, 26, 6, 32]",4,"[0, 24, 8, 32]",64
"[21, 16, 27, 22]",4,"[20, 16, 28, 24]",64
"[19, 3, 25, 9]",2,"[16, 0, 32, 16]",256
"[6, 3, 12, 9]",3,"[4, 0, 12, 16]",128
"[19, 20, 25, 26]",2,"[16, 16, 32, 32]",256
"[6, 9, 12, 15]",4,"[4, 8, 12, 16]",64
"[8, 22, 14, 28]",4,"[8, 20, 16, 28]",64
"[5, 3, 11, 9]",3,"[4, 0, 12, 16]",128
"[15, 12, 21, 18]",2,"[8, 8, 24, 24]",256
"[20, 2, 26, 8]",4,"[20, 0, 28, 8]",64
"[0, 8, 6, 14]",4,"[0, 8, 8, 16]",64
"[14, 25, 20, 31]",4,"[12, 24, 20, 32]",64
"[25, 3, 31, 9]",3,"[24, 0, 32, 16]",128
"[8, 4, 14, 10]",4,"[8, 4, 16, 12]",64
"[20, 16, 26, 22]",4,"[20, 16, 28, 24]",64
"[26, 20, 32, 26]",4,"[24, 20, 32, 28]",64
"[20, 11, 26, 17]",3,"[20, 8, 28, 24]",128
"[3, 4, 9, 10]",2,"[0, 0, 16, 16]",256
"[8, 0, 14, 6]",4,"[8, 0, 16, 8]",64
"[1, 1, 7, 7]",4,"[0, 0, 8, 8]",64
"[6, 21, 12, 27]",4,"[4, 20, 12, 28]",64
"[8, 17, 14, 23]",4,"[8, 16, 16, 24]",64
"[10, 11, 16, 17]",3,"[8, 8, 16, 24]",128
"[18, 1, 24, 7]",4,"[16, 0, 24, 8]",64
"[23, 22, 29, 28]",2,"[16, 16, 32, 32]",256
"[19, 20, 25, 26]",2,"[16, 16, 32, 32]",256
"[15, 22, 21, 28]",2,"[8, 16, 24, 32]",256
"[20, 14, 26, 20]",4,"[20, 12, 28, 20]",64
"[20, 13, 26, 19]",4,"[20, 12, 28, 20]",64
"[11, 17, 17, 23]",2,"[8, 16, 24, 32]",256
"[5, 6, 11, 12]",4,"[4, 4, 12, 12]",64
"[12, 18, 18, 24]",4,"[12, 16, 20, 24]",64
"[9, 0, 15, 6]",4,"[8, 0, 16, 8]",64
"[4, 4, 10, 10]",4,"[4, 4, 12, 12]",64
"[8, 10, 14, 16]",4,"[8, 8, 16, 16]",64
"[10, 25, 16, 31]",4,"[8, 24, 16, 32]",64
"[11, 22, 17, 28]",2,"[8, 16, 24, 32]",256
"[2, 10, 8, 16]",4,"[0, 8, 8, 16]",64
"[24, 19, 30, 25]",3,"[24, 16, 32, 32]",128
"[1, 1, 7, 7]",4,"[0, 0, 8, 8]",64
"[8, 5, 14, 11]",4,"[8, 4, 16, 12]",64
"[4, 18, 10, 24]",4,"[4, 16, 12, 24]",64
"[9, 11, 15, 17]",3,"[8, 8, 16, 24]",128
"[12, 17, 18, 23]",4,"[12, 16, 20, 24]",64
"[4, 9, 10, 15]",4,"[4, 8, 12, 16]",64
"[3, 15, 9, 21]",2,"[0, 8, 16, 24]",256
"[23, 7, 29, 13]",2,"[16, 0, 32, 16]",256
"[1, 9, 7, 15]",4,"[0, 8, 8, 16]",64
"[5, 16, 11, 22]",4,"[4, 16, 12, 24]",64
"[23, 2, 29, 8]",2,"[16, 0, 32, 16]",256
"[9, 12, 15, 18]",4,"[8, 12, 16, 20]",64
"[26, 10, 32, 16]",4,"[24, 8, 32, 16]",64
"[9, 13, 15, 19]",4,"[8, 12, 16, 20]",64
"[3, 3, 9, 9]",2,"[0, 0, 16, 16]",256
"[17, 15, 23, 21]",3,"[16, 8, 24, 24]",128
"[15, 10, 21, 16]",2,"[8, 8, 24, 24]",256
"[26, 25, 32, 31]",4,"[24, 24, 32, 32]",64
"[25, 10, 31, 16]",4,"[24, 8, 32, 16]",64
"[3, 15, 9, 21]",2,"[0, 8, 16, 24]",256
"[3, 22, 9, 28]",2,"[0, 16, 16, 32]",256
"[15, 13, 21, 19]",2,"[8, 8, 24, 24]",256
"[1, 9, 7, 15]",4,"[0, 8, 8, 16]",64
"[10, 23, 16, 29]",3,"[8, 16, 16, 32]",128
"[21, 4, 27, 10]",4,"[20, 4, 28, 12]",64
"[5, 20, 11, 26]",4,"[4, 20, 12, 28]",64
"[18, 12, 24, 18]",4,"[16, 12, 24, 20]",64
"[25, 20, 31, 26]",4,"[24, 20, 32, 28]",64
"[2, 2, 8, 8]",4,"[0, 0, 8, 8]",64
"[25, 2, 31, 8]",4,"[24, 0, 32, 8]",64
"[6, 23, 12, 29]",3,"[4, 16, 12, 32]",128
"[7, 1, 13, 7]",2,"[0, 0, 16, 16]",256
"[12, 0, 18, 6]",4,"[12, 0, 20, 8]",64
"[3, 12, 9, 18]",2,"[0, 8, 16, 24]",256
"[17, 16, 23, 22]",4,"[16, 16, 24, 24]",64
"[9, 14, 15, 20]",4,"[8, 12, 16, 20]",64
"[15, 25, 21, 31]",2,"[8, 16, 24, 32]",256
"[18, 22, 24, 28]",4,"[16, 20, 24, 28]",64
"[21, 6, 27, 12]",4,"[20, 4, 28, 12]",64
"[13, 2, 19, 8]",4,"[12, 0, 20, 8]",64
"[11, 7, 17, 13]",2,"[8, 0, 24, 16]",256
"[8, 18, 14, 24]",4,"[8, 16, 16, 24]",64
"[24, 5, 30, 11]",4,"[24, 4, 32, 12]",64
"[13, 6, 19, 12]",4,"[12, 4, 20, 12]",64
"[11, 3, 17, 9]",2,"[8, 0, 24, 16]",256
"[2, 26, 8, 32]",4,"[0, 24, 8, 32]",64
"[22, 0, 28, 6]",4,"[20, 0, 28, 8]",64
"[16, 14, 22, 20]",4,"[16, 12, 24, 20]",64
"[24, 21, 30, 27]",4,"[24, 20, 32, 28]",64
"[6, 3, 12, 9]",3,"[4, 0, 12, 16]",128
"[15, 12, 21, 18]",2,"[8, 8, 24, 24]",256
"[8, 6, 14, 12]",4,"[8, 4, 16, 12]",64
"[20, 1, 26, 7]",4,"[20, 0, 28, 8]",64
"[25, 6, 31, 12]",4,"[24, 4, 32, 12]",64
"[19, 4, 25, 10]",2,"[16, 0, 32, 16]",256
"[3, 6, 9, 12]",2,"[0, 0, 16, 16]",256
"[14, 12, 20, 18]",4,"[12, 12, 20, 20]",64
"[11, 17, 17, 23]",2,"[8, 16, 24, 32]",256
"[26, 4, 32, 10]",4,"[24, 4, 32, 12]",64
"[3, 19, 9, 25]",2,"[0, 16, 16, 32]",256
"[15, 4, 21, 10]",2,"[8, 0, 24, 16]",256
"[18, 12, 24, 18]",4,"[16, 12, 24, 20]",64
"[20, 21, 26, 27]",4,"[20, 20, 28, 28]",64
"[13, 16, 19, 22]",4,"[12, 16, 20, 24]",64
"[15, 21, 21, 27]",2,"[8, 16, 24, 32]",256
"[10, 26, 16, 32]",4,"[8, 24, 16, 32]",64
"[15, 15, 21, 21]",2,"[8, 8, 24, 24]",256
"[20, 21, 26, 27]",4,"[20, 20, 28, 28]",64
"[6, 17, 12, 23]",4,"[4, 16, 12, 24]",64
"[19, 7, 25, 13]",2,"[16, 0, 32, 16]",256
"[0, 10, 6, 16]",4,"[0, 8, 8, 16]",64
"[22, 23, 28, 29]",3,"[20, 16, 28, 32]",128
"[10, 26, 16, 32]",4,"[8, 24, 16, 32]",64
"[10, 1, 16, 7]",4,"[8, 0, 16, 8]",64
"[16, 4, 22, 10]",4,"[16, 4, 24, 12]",64
"[8, 19, 14, 25]",3,"[8, 16, 16, 32]",128
"[25, 4, 31, 10]",4,"[24, 4, 32, 12]",64
"[26, 12, 32, 18]",4,"[24, 12, 32, 20]",64
"[18, 9, 24, 15]",4,"[16, 8, 24, 16]",64
"[22, 22, 28, 28]",4,"[20, 20, 28, 28]",64
"[25, 15, 31, 21]",3,"[24, 8, 32, 24]",128
"[2, 25, 8, 31]",4,"[0, 24, 8, 32]",64
"[2, 16, 8, 22]",4,"[0, 16, 8, 24]",64
"[1, 2, 7, 8]",4,"[0, 0, 8, 8]",64
"[7, 4, 13, 10]",2,"[0, 0, 16, 16]",256
"[1, 9, 7, 15]",4,"[0, 8, 8, 16]",64
"[0, 24, 6, 30]",4,"[0, 24, 8, 32]",64
"[14, 10, 20, 16]",4,"[12, 8, 20, 16]",64
"[5, 25, 11, 31]",4,"[4, 24, 12, 32]",64
"[4, 20, 10, 26]",4,"[4, 20, 12, 28]",64
"[14, 11, 20, 17]",3,"[12, 8, 20, 24]",128
"[16, 12, 22, 18]",4,"[16, 12, 24, 20]",64
"[16, 16, 22, 22]",4,"[16, 16, 24, 24]",64
"[1, 18, 7, 24]",4,"[0, 16, 8, 24]",64
"[2, 21, 8, 27]",4,"[0, 20, 8, 28]",64
"[25, 25, 31, 31]",4,"[24, 24, 32, 32]",64
"[16, 24, 22, 30]",4,"[16, 24, 24, 32]",64
"[19, 2, 25, 8]",2,"[16, 0, 32, 16]",256
"[23, 13, 29, 19]",2,"[16, 8, 32, 24]",256
"[24, 6, 30, 12]",4,"[24, 4, 32, 12]",64
"[9, 17, 15, 23]",4,"[8, 16, 16, 24]",64
"[19, 13, 25, 19]",2,"[16, 8, 32, 24]",256
"[26, 15, 32, 21]",3,"[24, 8, 32, 24]",128
"[25, 12, 31, 18]",4,"[24, 12, 32, 20]",64
"[19, 18, 25, 24]",2,"[16, 16, 32, 32]",256
"[7, 25, 13, 31]",2,"[0, 16, 16, 32]",256
"[0, 21, 6, 27]",4,"[0, 20, 8, 28]",64
"[0, 23, 6, 29]",3,"[0, 16, 8, 32]",128
"[5, 9, 11, 15]",4,"[4, 8, 12, 16]",64
"[16, 18, 22, 24]",4,"[16, 16, 24, 24]",64
"[8, 10, 14, 16]",4,"[8, 8, 16, 16]",64
"[2, 15, 8, 21]",3,"[0, 8, 8, 24]",128
"[8, 26, 14, 32]",4,"[8, 24, 16, 32]",64
"[9, 24, 15, 30]",4,"[8, 24, 16, 32]",64
"[13, 12, 19, 18]",4,"[12, 12, 20, 20]",64
"[25, 12, 31, 18]",4,"[24, 12, 32, 20]",64
"[1, 5, 7, 11]",4,"[0, 4, 8, 12]",64
"[20, 4, 26, 10]",4,"[20, 4, 28, 12]",64
"[7, 9, 13, 15]",2,"[0, 0, 16, 16]",256
"[23, 26, 29, 32]",2,"[16, 16, 32, 32]",256
"[10, 1, 16, 7]",4,"[8, 0, 16, 8]",64
"[1, 15, 7, 21]",3,"[0, 8, 8, 24]",128
"[13, 4, 19, 10]",4,"[12, 4, 20, 12]",64
"[15, 19, 21, 25]",2,"[8, 16, 24, 32]",256
"[22, 2, 28, 8]",4,"[20, 0, 28, 8]",64
"[21, 22, 27, 28]",4,"[20, 20, 28, 28]",64
"[4, 25, 10, 31]",4,"[4, 24, 12, 32]",64
"[11, 13, 17, 19]",2,"[8, 8, 24, 24]",256
"[1, 19, 7, 25]",3,"[0, 16, 8, 32]",128
"[14, 12, 20, 18]",4,"[12, 12, 20, 20]",64
"[14, 1, 20, 7]",4,"[12, 0, 20, 8]",64
"[3, 15, 9, 21]",2,"[0, 8, 16, 24]",256
"[24, 4, 30, 10]",4,"[24, 4, 32, 12]",64
"[0, 1, 6, 7]",4,"[0, 0, 8, 8]",64
"[19, 19, 25, 25]",2,"[16, 16, 32, 32]",256
"[4, 20, 10, 26]",4,"[4, 20, 12, 28]",64
"[10, 3, 16, 9]",3,"[8, 0, 16, 16]",128
"[22, 17, 28, 23]",4,"[20, 16, 28, 24]",64
"[20, 11, 26, 17]",3,"[20, 8, 28, 24]",128
"[6, 12, 12, 18]",4,"[4, 12, 12, 20]",64
"[25, 24, 31, 30]",4,"[24, 24, 32, 32]",64
"[24, 15, 30, 21]",3,"[24, 8, 32, 24]",128
"[3, 1, 9, 7]",2,"[0, 0, 16, 16]",256
"[19, 22, 25, 28]",2,"[16, 16, 32, 32]",256
"[14, 19, 20, 25]",3,"[12, 16, 20, 32]",128
"[20, 10, 26, 16]",4,"[20, 8, 28, 16]",64
"[20, 3, 26, 9]",3,"[20, 0, 28, 16]",128
"[21, 22, 27, 28]",4,"[20, 20, 28, 28]",64
"[19, 9, 25, 15]",2,"[16, 0, 32, 16]",256
"[25, 4, 31, 10]",4,"[24, 4, 32, 12]",64
"[12, 25, 18, 31]",4,"[12, 24, 20, 32]",64
"[9, 23, 15, 29]",3,"[8, 16, 16, 32]",128
"[21, 25, 27, 31]",4,"[20, 24, 28, 32]",64
"[3, 16, 9, 22]",2,"[0, 8, 16, 24]",256
"[25, 6, 31, 12]",4,"[24, 4, 32, 12]",64
"[1, 25, 7, 31]",4,"[0, 24, 8, 32]",64
"[12, 14, 18, 20]",4,"[12, 12, 20, 20]",64
"[11, 24, 17, 30]",2,"[8, 16, 24, 32]",256
"[6, 14, 12, 20]",4,"[4, 12, 12, 20]",64
"[11, 25, 17, 31]",2,"[8, 16, 24, 32]",256
"[20, 2, 26, 8]",4,"[20, 0, 28, 8]",64
"[1, 1, 7, 7]",4,"[0, 0, 8, 8]",64
"[15, 8, 21, 14]",2,"[8, 0, 24, 16]",256
"[0, 16, 6, 22]",4,"[0, 16, 8, 24]",64
"[21, 18, 27, 24]",4,"[20, 16, 28, 24]",64
"[18, 6, 24, 12]",4,"[16, 4, 24, 12]",64
"[7, 2, 13, 8]",2,"[0, 0, 16, 16]",256
"[24, 26, 30, 32]",4,"[24, 24, 32, 32]",64
"[20, 24, 26, 30]",4,"[20, 24, 28, 32]",64
"[16, 22, 22, 28]",4,"[16, 20, 24, 28]",64
"[16, 13, 22, 19]",4,"[16, 12, 24, 20]",64
"[16, 9, 22, 15]",4,"[16, 8, 24, 16]",64
"[3, 4, 9, 10]",2,"[0, 0, 16, 16]",256
"[13, 18, 19, 24]",4,"[12, 16, 20, 24]",64
"[13, 2, 19, 8]",4,"[12, 0, 20, 8]",64
"[3, 13, 9, 19]",2,"[0, 8, 16, 24]",256
"[2, 3, 8, 9]",3,"[0, 0, 8, 16]",128
"[13, 24, 19, 30]",4,"[12, 24, 20, 32]",64
"[4, 23, 10, 29]",3,"[4, 16, 12, 32]",128
"[0, 25, 6, 31]",4,"[0, 24, 8, 32]",64
"[14, 13, 20, 19]",4,"[12, 12, 20, 20]",64
"[21, 13, 27, 19]",4,"[20, 12, 28, 20]",64
"[0, 15, 6, 21]",3,"[0, 8, 8, 24]",128
"[10, 23, 16, 29]",3,"[8, 16, 16, 32]",128
"[8, 2, 14, 8]",4,"[8, 0, 16, 8]",64
"[11, 2, 17, 8]",2,"[8, 0, 24, 16]",256
"[3, 11, 9, 17]",2,"[0, 8, 16, 24]",256
"[22, 0, 28, 6]",4,"[20, 0, 28, 8]",64
"[11, 11, 17, 17]",2,"[8, 8, 24, 24]",256
"[5, 0, 11, 6]",4,"[4, 0, 12, 8]",64
"[26, 7, 32, 13]",3,"[24, 0, 32, 16]",128
"[26, 11, 32, 17]",3,"[24, 8, 32, 24]",128
"[2, 19, 8, 25]",3,"[0, 16, 8, 32]",128
"[4, 6, 10, 12]",4,"[4, 4, 12, 12]",64
"[0, 6, 6, 12]",4,"[0, 4, 8, 12]",64
"[21, 21, 27, 27]",4,"[20, 20, 28, 28]",64
"[23, 3, 29, 9]",2,"[16, 0, 32, 16]",256
"[23, 0, 29, 6]",2,"[16, 0, 32, 16]",256
"[9, 11, 15, 17]",3,"[8, 8, 16, 24]",128
"[22, 0, 28, 6]",4,"[20, 0, 28, 8]",64
"[19, 7, 25, 13]",2,"[16, 0, 32, 16]",256
"[4, 5, 10, 11]",4,"[4, 4, 12, 12]",64
"[14, 3, 20, 9]",3,"[12, 0, 20, 16]",128
"[15, 11, 21, 17]",2,"[8, 8, 24, 24]",256
"[22, 8, 28, 14]",4,"[20, 8, 28, 16]",64
"[4, 0, 10, 6]",4,"[4, 0, 12, 8]",64
"[6, 11, 12, 17]",3,"[4, 8, 12, 24]",128
"[10, 15, 16, 21]",3,"[8, 8, 16, 24]",128
